,index,Unnamed: 0,home,fg_r,fga_r,3p_r,3pa_r,3p_max_r,ft_r,fta_r,orb_r,drb_r,ast_r,stl_r,blk_r,tov_r,fg_opp_r,fga_opp_r,3p_opp_r,3pa_opp_r,3p_max_opp_r,ft_opp_r,fta_opp_r,orb_opp_r,drb_opp_r,ast_opp_r,stl_opp_r,blk_opp_r,tov_opp_r,team,team_opp,date,PointDifference,Line,Covered
0,0,1744,0,40.0,80.0,13.0,34.0,5.0,24.0,28.0,4.0,27.0,16.0,8.0,3.0,14.0,46.0,82.0,12.0,35.0,4.0,22.0,28.0,6.0,30.0,24.0,8.0,3.0,10.0,PHI,BOS,10/18/2022,9,3.0,0
1,1,79,1,46.0,82.0,12.0,35.0,4.0,22.0,28.0,6.0,30.0,24.0,8.0,3.0,10.0,40.0,80.0,13.0,34.0,5.0,24.0,28.0,4.0,27.0,16.0,8.0,3.0,14.0,BOS,PHI,10/18/2022,-9,-3.0,1
2,2,1031,0,40.0,94.0,10.0,40.0,3.0,19.0,25.0,9.0,39.0,23.0,12.0,4.0,21.0,45.0,99.0,16.0,45.0,4.0,17.0,23.0,11.0,37.0,31.0,11.0,4.0,18.0,LAL,GSW,10/18/2022,14,7.5,0
3,3,713,1,45.0,99.0,16.0,45.0,4.0,17.0,23.0,11.0,37.0,31.0,11.0,4.0,18.0,40.0,94.0,10.0,40.0,3.0,19.0,25.0,9.0,39.0,23.0,12.0,4.0,21.0,GSW,LAL,10/18/2022,-14,-7.5,1
4,4,2218,1,42.0,83.0,16.0,38.0,4.0,23.0,31.0,11.0,32.0,27.0,10.0,1.0,19.0,40.0,83.0,5.0,22.0,2.0,17.0,18.0,10.0,25.0,21.0,10.0,3.0,21.0,UTA,DEN,10/19/2022,-21,7.0,1
5,5,555,0,40.0,83.0,5.0,22.0,2.0,17.0,18.0,10.0,25.0,21.0,10.0,3.0,21.0,42.0,83.0,16.0,38.0,4.0,23.0,31.0,11.0,32.0,27.0,10.0,1.0,19.0,DEN,UTA,10/19/2022,21,-7.0,0
6,6,2139,1,36.0,86.0,13.0,30.0,4.0,23.0,32.0,12.0,29.0,19.0,15.0,4.0,13.0,38.0,77.0,10.0,28.0,3.0,19.0,23.0,6.0,32.0,25.0,5.0,5.0,17.0,TOR,CLE,10/19/2022,-3,-2.5,1
7,7,396,0,38.0,77.0,10.0,28.0,3.0,19.0,23.0,6.0,32.0,25.0,5.0,5.0,17.0,36.0,86.0,13.0,30.0,4.0,23.0,32.0,12.0,29.0,19.0,15.0,4.0,13.0,CLE,TOR,10/19/2022,3,2.5,0
8,8,2060,1,40.0,99.0,7.0,34.0,3.0,15.0,21.0,14.0,30.0,22.0,8.0,8.0,15.0,48.0,94.0,13.0,29.0,4.0,20.0,23.0,14.0,37.0,26.0,7.0,10.0,15.0,SAS,CHA,10/19/2022,27,0.0,0
9,9,316,0,48.0,94.0,13.0,29.0,4.0,20.0,23.0,14.0,37.0,26.0,7.0,10.0,15.0,40.0,99.0,7.0,34.0,3.0,15.0,21.0,14.0,30.0,22.0,8.0,8.0,15.0,CHA,SAS,10/19/2022,-27,0.0,1
10,10,1902,0,39.0,88.0,11.0,28.0,3.0,26.0,33.0,11.0,33.0,20.0,11.0,2.0,11.0,39.0,85.0,17.0,44.0,6.0,13.0,19.0,4.0,37.0,27.0,8.0,5.0,15.0,POR,SAC,10/19/2022,-7,3.0,1
11,11,1823,1,40.0,85.0,8.0,22.0,3.0,19.0,22.0,8.0,32.0,25.0,4.0,5.0,12.0,35.0,75.0,14.0,35.0,4.0,21.0,34.0,5.0,35.0,17.0,6.0,4.0,12.0,PHX,DAL,10/19/2022,-2,-4.0,0
12,12,476,0,35.0,75.0,14.0,35.0,4.0,21.0,34.0,5.0,35.0,17.0,6.0,4.0,12.0,40.0,85.0,8.0,22.0,3.0,19.0,22.0,8.0,32.0,25.0,4.0,5.0,12.0,DAL,PHX,10/19/2022,2,4.0,1
13,13,1347,1,39.0,94.0,10.0,38.0,3.0,27.0,33.0,14.0,41.0,25.0,6.0,5.0,14.0,38.0,99.0,14.0,45.0,2.0,18.0,22.0,16.0,41.0,22.0,6.0,6.0,13.0,MIN,OKC,10/19/2022,-7,-10.5,0
14,14,1585,0,38.0,99.0,14.0,45.0,2.0,18.0,22.0,16.0,41.0,22.0,6.0,6.0,13.0,39.0,94.0,10.0,38.0,3.0,27.0,33.0,14.0,41.0,25.0,6.0,5.0,14.0,OKC,MIN,10/19/2022,7,10.5,1
15,15,1981,1,39.0,85.0,17.0,44.0,6.0,13.0,19.0,4.0,37.0,27.0,8.0,5.0,15.0,39.0,88.0,11.0,28.0,3.0,26.0,33.0,11.0,33.0,20.0,11.0,2.0,11.0,SAC,POR,10/19/2022,7,-3.0,0
16,16,237,0,41.0,93.0,13.0,36.0,4.0,21.0,28.0,12.0,34.0,23.0,12.0,6.0,14.0,37.0,80.0,12.0,28.0,5.0,22.0,28.0,8.0,38.0,21.0,6.0,2.0,19.0,CHI,MIA,10/19/2022,-8,7.5,1
17,17,1110,1,42.0,108.0,17.0,50.0,4.0,14.0,23.0,20.0,44.0,27.0,6.0,7.0,13.0,44.0,109.0,9.0,37.0,3.0,15.0,18.0,18.0,36.0,28.0,7.0,5.0,12.0,MEM,NYK,10/19/2022,-3,-4.0,0
18,18,1506,0,44.0,109.0,9.0,37.0,3.0,15.0,18.0,18.0,36.0,28.0,7.0,5.0,12.0,42.0,108.0,17.0,50.0,4.0,14.0,23.0,20.0,44.0,27.0,6.0,7.0,13.0,NYK,MEM,10/19/2022,3,4.0,1
19,19,873,1,39.0,97.0,15.0,42.0,4.0,14.0,21.0,12.0,30.0,21.0,7.0,5.0,15.0,42.0,92.0,11.0,31.0,3.0,19.0,24.0,14.0,39.0,21.0,5.0,10.0,16.0,IND,WAS,10/19/2022,7,1.0,0
20,20,2297,0,42.0,92.0,11.0,31.0,3.0,19.0,24.0,14.0,39.0,21.0,5.0,10.0,16.0,39.0,97.0,15.0,42.0,4.0,14.0,21.0,12.0,30.0,21.0,7.0,5.0,15.0,WAS,IND,10/19/2022,-7,-1.0,1
21,21,634,1,40.0,94.0,14.0,38.0,6.0,19.0,24.0,12.0,29.0,31.0,11.0,4.0,12.0,42.0,86.0,11.0,30.0,4.0,14.0,19.0,10.0,38.0,21.0,5.0,5.0,18.0,DET,ORL,10/19/2022,-4,-2.5,1
22,22,1665,0,42.0,86.0,11.0,30.0,4.0,14.0,19.0,10.0,38.0,21.0,5.0,5.0,18.0,40.0,94.0,14.0,38.0,6.0,19.0,24.0,12.0,29.0,31.0,11.0,4.0,12.0,ORL,DET,10/19/2022,4,2.5,0
23,23,158,1,40.0,89.0,10.0,33.0,4.0,18.0,24.0,9.0,30.0,22.0,10.0,10.0,16.0,50.0,102.0,12.0,26.0,4.0,18.0,25.0,21.0,40.0,31.0,9.0,4.0,12.0,BKN,NOP,10/19/2022,22,-2.5,0
24,24,1427,0,50.0,102.0,12.0,26.0,4.0,18.0,25.0,21.0,40.0,31.0,9.0,4.0,12.0,40.0,89.0,10.0,33.0,4.0,18.0,24.0,9.0,30.0,22.0,10.0,10.0,16.0,NOP,BKN,10/19/2022,-22,2.5,1
25,25,0,1,45.0,90.0,7.0,25.0,2.0,20.0,24.0,4.0,34.0,30.0,12.0,5.0,9.0,42.0,98.0,9.0,35.0,3.0,14.0,15.0,15.0,39.0,25.0,4.0,3.0,15.0,ATL,HOU,10/19/2022,-10,-10.0,0
