,Date,Away,Home,Favorite,Line,Over/Under
0,2022-10-18,PHI,BOS,BOS,-3.0,216.0
1,2022-10-18,LAL,GS,GS,-7.5,223.5
2,2022-10-19,ORL,DET,DET,-2.5,217.0
3,2022-10-19,WSH,IND,WSH,-1.0,227.0
4,2022-10-19,HOU,ATL,ATL,-10.0,234.5
5,2022-10-19,NO,BKN,BKN,-2.5,231.5
6,2022-10-19,CHI,MIA,MIA,-7.5,216.0
7,2022-10-19,CLE,TOR,TOR,-2.5,216.0
8,2022-10-19,NY,MEM,MEM,-4.0,226.5
9,2022-10-19,OKC,MIN,MIN,-10.5,225.0
10,2022-10-19,CHA,SA,SA,0,221.5
11,2022-10-19,DEN,UTAH,DEN,-7.0,225.0
12,2022-10-19,DAL,PHX,PHX,-4.0,218.0
13,2022-10-19,POR,SAC,SAC,-3.0,229.0
14,2022-10-20,MIL,PHI,PHI,-4.0,224.0
15,2022-10-20,LAC,LAL,LAC,-5.0,226.5
16,2022-10-21,NO,CHA,NO,-6.5,226.0
17,2022-10-21,SA,IND,IND,-1.0,232.0
18,2022-10-21,CHI,WSH,WSH,-2.0,222.0
19,2022-10-21,ORL,ATL,ATL,-9.0,225.5
20,2022-10-21,TOR,BKN,BKN,-2.5,227.0
21,2022-10-21,BOS,MIA,BOS,-2.0,219.0
22,2022-10-21,DET,NY,NY,-7.0,219.5
23,2022-10-21,MEM,HOU,MEM,-7.0,232.5
24,2022-10-21,UTAH,MIN,MIN,-8.0,226.0
25,2022-10-21,DEN,GS,GS,-5.5,229.5
26,2022-10-21,PHX,POR,PHX,-5.0,224.0
27,2022-10-22,SA,PHI,PHI,-13.5,224.5
28,2022-10-22,DET,IND,DET,-1.5,229.5
29,2022-10-22,BOS,ORL,BOS,-8.5,216.0
30,2022-10-22,TOR,MIA,MIA,-3.0,216.0
31,2022-10-22,CLE,CHI,CLE,-2.0,220.0
32,2022-10-22,HOU,MIL,MIL,-13.0,228.5
33,2022-10-22,MEM,DAL,DAL,-5.5,220.0
34,2022-10-22,OKC,DEN,DEN,-9.0,227.0
35,2022-10-22,LAC,SAC,LAC,-2.5,225.5
36,2022-10-23,POR,LAL,LAL,-3.5,225.5
37,2022-10-23,CHA,ATL,ATL,-10.0,228.5
38,2022-10-23,WSH,CLE,CLE,-3.5,216.5
39,2022-10-23,UTAH,NO,NO,-9.0,231.0
40,2022-10-23,MIN,OKC,MIN,-8.0,227.5
41,2022-10-23,SAC,GS,GS,-10.0,232.5
42,2022-10-23,PHX,LAC,PHX,-1.0,219.0
43,2022-10-24,IND,PHI,PHI,-12.5,229.0
44,2022-10-24,TOR,MIA,MIA,-3.5,215.0
45,2022-10-24,ORL,NY,NY,-7.5,222.0
46,2022-10-24,BOS,CHI,BOS,-6.0,225.5
47,2022-10-24,UTAH,HOU,UTAH,-2.0,234.5
48,2022-10-24,BKN,MEM,MEM,-1.0,234.0
49,2022-10-24,SA,MIN,MIN,-8.5,234.5
50,2022-10-24,DEN,POR,DEN,-5.0,227.5
51,2022-10-25,DET,WSH,WSH,-5.5,221.0
52,2022-10-25,DAL,NO,DAL,-5.0,218.5
53,2022-10-25,LAC,OKC,LAC,-5.5,217.0
54,2022-10-25,GS,PHX,PHX,-1.5,227.0
55,2022-10-26,ORL,CLE,CLE,-8.5,216.0
56,2022-10-26,ATL,DET,ATL,-7.5,230.0
57,2022-10-26,CHA,NY,NY,-7.5,225.0
58,2022-10-26,PHI,TOR,PHI,-2.0,211.5
59,2022-10-26,BKN,MIL,MIL,-3.5,231.0
60,2022-10-26,IND,CHI,CHI,-7.0,233.5
61,2022-10-26,SA,MIN,MIN,-9.5,235.0
62,2022-10-26,HOU,UTAH,UTAH,-8.5,232.5
63,2022-10-26,LAL,DEN,DEN,-5.0,230.5
64,2022-10-26,MIA,POR,MIA,-3.0,220.5
65,2022-10-27,DAL,BKN,DAL,-3.0,224.5
66,2022-10-27,LAC,OKC,LAC,-6.5,218.5
67,2022-10-27,MIA,GS,GS,-5.5,227.0
68,2022-10-27,MEM,SAC,MEM,-3.0,236.0
69,2022-10-28,ATL,DET,ATL,-6.5,229.0
70,2022-10-28,CHA,ORL,CHA,-1.5,221.0
71,2022-10-28,CLE,BOS,BOS,-7.0,218.0
72,2022-10-28,PHI,TOR,TOR,-2.5,213.0
73,2022-10-28,IND,WSH,WSH,-5.0,229.0
74,2022-10-28,NY,MIL,MIL,-6.0,223.5
75,2022-10-28,LAL,MIN,MIN,-7.0,230.5
76,2022-10-28,CHI,SA,CHI,-4.0,230.0
77,2022-10-28,UTAH,DEN,DEN,-7.5,232.0
78,2022-10-28,NO,PHX,PHX,-8.0,225.5
79,2022-10-28,HOU,POR,POR,-4.0,222.5
80,2022-10-29,MIA,SAC,MIA,-4.5,227.0
81,2022-10-29,GS,CHA,GS,-10.0,234.0
82,2022-10-29,IND,BKN,BKN,-11.0,240.0
83,2022-10-29,PHI,CHI,PHI,-3.0,221.5
84,2022-10-29,ATL,MIL,MIL,-5.5,229.0
85,2022-10-29,OKC,DAL,DAL,-10.5,218.5
86,2022-10-29,MEM,UTAH,MEM,-3.0,225.5
87,2022-10-30,NO,LAC,LAC,-2.0,225.5
88,2022-10-30,WSH,BOS,BOS,-9.0,221.5
89,2022-10-30,NY,CLE,CLE,-3.5,220.0
90,2022-10-30,GS,DET,GS,-7.0,230.5
91,2022-10-30,MIN,SA,MIN,-6.0,238.5
92,2022-10-30,ORL,DAL,DAL,-9.0,212.0
93,2022-10-30,HOU,PHX,PHX,-12.5,228.0
94,2022-10-30,DEN,LAL,DEN,-2.5,228.5
95,2022-10-31,SAC,CHA,SAC,-3.0,231.5
96,2022-10-31,PHI,WSH,PHI,-4.0,216.5
97,2022-10-31,IND,BKN,BKN,-7.5,235.0
98,2022-10-31,ATL,TOR,TOR,-3.0,223.0
99,2022-10-31,DET,MIL,MIL,-13.0,225.5
100,2022-10-31,MEM,UTAH,MEM,-2.5,231.5
101,2022-10-31,HOU,LAC,LAC,-8.5,225.5
102,2022-11-1,CHI,BKN,BKN,-1.5,232.0
103,2022-11-1,GS,MIA,MIA,-1.0,225.5
104,2022-11-1,ORL,OKC,OKC,-3.0,216.0
105,2022-11-1,MIN,PHX,PHX,-4.0,228.0
106,2022-11-2,BOS,CLE,BOS,-1.5,220.0
107,2022-11-2,WSH,PHI,PHI,-5.5,218.5
108,2022-11-2,SAC,MIA,MIA,-6.5,220.5
109,2022-11-2,ATL,NY,NY,-2.5,232.5
110,2022-11-2,CHA,CHI,CHI,-4.5,222.5
111,2022-11-2,LAC,HOU,LAC,-6.0,223.0
112,2022-11-2,DET,MIL,MIL,-11.5,223.0
113,2022-11-2,TOR,SA,TOR,-7.5,224.0
114,2022-11-2,UTAH,DAL,DAL,-6.5,222.0
115,2022-11-2,MEM,POR,MEM,-5.0,227.5
116,2022-11-2,NO,LAL,NO,-2.5,230.0
117,2022-11-3,GS,ORL,GS,-9.0,225.5
118,2022-11-3,DEN,OKC,DEN,-6.5,228.5
119,2022-11-4,CLE,DET,CLE,-5.5,220.0
120,2022-11-4,MIA,IND,MIA,-3.5,227.0
121,2022-11-4,NY,PHI,PHI,-3.5,220.0
122,2022-11-4,BKN,WSH,WSH,-3.0,222.5
123,2022-11-4,CHI,BOS,BOS,-7.0,223.5
124,2022-11-4,CHA,MEM,MEM,-11.0,225.5
125,2022-11-4,LAC,SA,LAC,-3.5,225.5
126,2022-11-4,TOR,DAL,DAL,-4.0,216.0
127,2022-11-4,GS,NO,NO,-10.5,226.5
128,2022-11-4,MIL,MIN,MIL,-2.0,225.0
129,2022-11-4,POR,PHX,PHX,-12.0,217.0
130,2022-11-4,UTAH,LAL,LAL,-3.5,228.5
131,2022-11-5,SAC,ORL,SAC,-4.5,228.5
