"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2016-10-27","WAS",101,114,32,62,0.5161290322580645,12,26,0.46153846153846156,0.48,14,32,32,36,0,0.5,0.5714285714285714,1,0.29545454545454547,0.5187741379310344,0.5681818181818182,0.59375,8,4,0.06451612903225806,0,0
"2016-10-29","PHI",101,104,37,65,0.5692307692307692,5,20,0.25,0.25,15,52,22,15,0,0.7027027027027027,0.7027027027027027,1,0.23529411764705882,0.5204107142857143,0.5235294117647059,0.5416666666666666,0,4,0.06153846153846154,1,0.05
"2016-10-31","SAC",93,106,22,49,0.4489795918367347,11,30,0.36666666666666664,0.36666666666666664,29,30,14,27,6,0.6818181818181818,0.75,0.8181818181818182,0.379746835443038,0.5246177215189873,0.4873417721518987,0.5196078431372549,4,6,0.12244897959183673,0,0
"2016-11-02","LAL",102,116,30,53,0.5660377358490566,11,32,0.34375,0.34375,23,38,22,33,0,0.6333333333333333,0.7037037037037037,1,0.3764705882352941,0.5777123529411765,0.5470588235294118,0.5858585858585859,6,9,0.16981132075471697,0,0
"2016-11-04","WAS",103,92,27,58,0.46551724137931033,5,25,0.2,0.2,23,34,20,15,0,0.6296296296296297,0.68,1,0.30120481927710846,0.534139156626506,0.41566265060240964,0.45544554455445546,4,3,0.05172413793103448,0,0
"2016-11-05","HOU",103,112,37,65,0.5692307692307692,8,20,0.4,0.4,14,42,32,24,0,0.5675675675675675,0.5833333333333334,1,0.23529411764705882,0.55375,0.5764705882352941,0.5833333333333334,2,6,0.09230769230769231,1,0.05
"2016-11-08","CLE",97,110,30,52,0.5769230769230769,11,29,0.3793103448275862,0.3793103448275862,17,26,34,27,6,0.43333333333333335,0.4642857142857143,0.8181818181818182,0.35802469135802467,0.5117413580246913,0.5740740740740741,0.5989010989010989,4,1,0.019230769230769232,0,0
"2016-11-09","CHI",100,115,33,63,0.5238095238095238,9,20,0.45,0.45,22,32,34,24,3,0.48484848484848486,0.5714285714285714,0.8888888888888888,0.24096385542168675,0.5108855421686748,0.5602409638554217,0.6052631578947368,10,3,0.047619047619047616,0,0
"2016-11-12","PHI",99,117,35,63,0.5555555555555556,13,32,0.40625,0.40625,8,38,32,36,3,0.5428571428571428,0.59375,0.9230769230769231,0.3368421052631579,0.5765384210526315,0.5736842105263158,0.58,6,4,0.06349206349206349,0,0
"2016-11-15","MIA",98,93,31,63,0.49206349206349204,6,17,0.35294117647058826,0.35294117647058826,13,28,34,12,6,0.45161290322580644,0.4827586206896552,0.6666666666666666,0.2125,0.503425625,0.5,0.5224719101123596,4,7,0.1111111111111111,0,0
"2016-11-16","MIL",99,107,25,40,0.625,10,32,0.3125,0.3125,27,38,12,30,0,0.76,0.76,1,0.4444444444444444,0.5357534722222222,0.5555555555555556,0.6149425287356322,0,2,0.05,0,0
"2016-11-18","CHA",98,96,32,56,0.5714285714285714,7,28,0.25,0.25,11,36,28,21,0,0.5625,0.5806451612903226,1,0.3333333333333333,0.5303708333333333,0.5059523809523809,0.5217391304347826,2,4,0.07142857142857142,0,0
"2016-11-20","NYK",96,94,28,64,0.4375,6,21,0.2857142857142857,0.2857142857142857,20,24,32,15,3,0.42857142857142855,0.48,0.8333333333333334,0.24705882352941178,0.5270152941176471,0.43529411764705883,0.4744897959183674,6,1,0.015625,0,0
"2016-11-22","NOP",96,94,29,56,0.5178571428571429,10,29,0.3448275862068966,0.3448275862068966,6,30,28,21,9,0.5172413793103449,0.5172413793103449,0.7,0.3411764705882353,0.5196229411764706,0.5176470588235295,0.5222222222222223,0,8,0.14285714285714285,1,0.034482758620689655
"2016-11-23","IND",97,96,31,65,0.47692307692307695,5,20,0.25,0.25,19,24,38,15,0,0.3870967741935484,0.46153846153846156,1,0.23529411764705882,0.46876058823529415,0.45294117647058824,0.510752688172043,10,4,0.06153846153846154,1,0.05
"2016-11-25","UTA",94,68,18,58,0.3103448275862069,8,25,0.32,0.32,8,10,26,18,6,0.2777777777777778,0.29411764705882354,0.75,0.30120481927710846,0.503044578313253,0.3614457831325301,0.38636363636363635,2,8,0.13793103448275862,1,0.04
"2016-11-27","LAL",93,94,27,53,0.5094339622641509,12,35,0.34285714285714286,0.34285714285714286,4,32,22,27,9,0.5925925925925926,0.6153846153846154,0.75,0.3977272727272727,0.5185947674418605,0.5113636363636364,0.5053763440860215,2,2,0.03773584905660377,0,0
"2016-11-28","GSW",99,100,29,56,0.5178571428571429,7,29,0.2413793103448276,0.2413793103448276,21,28,30,18,3,0.4827586206896552,0.56,0.8571428571428571,0.3411764705882353,0.4773235294117647,0.4647058823529412,0.5050505050505051,8,10,0.17857142857142858,0,0
"2016-11-30","PHX",100,107,36,64,0.5625,9,25,0.36,0.36,8,26,46,21,6,0.3611111111111111,0.38235294117647056,0.7777777777777778,0.2808988764044944,0.49584213483146067,0.5561797752808989,0.5752688172043011,4,3,0.046875,1,0.04
"2016-12-02","DET",97,85,26,64,0.40625,6,24,0.25,0.25,15,32,20,18,0,0.6153846153846154,0.6153846153846154,1,0.2727272727272727,0.5137778409090908,0.3977272727272727,0.4329896907216495,0,3,0.046875,0,0
"2016-12-03","TOR",96,84,28,60,0.4666666666666667,7,28,0.25,0.25925925925925924,7,30,26,18,3,0.5357142857142857,0.6,0.8571428571428571,0.3181818181818182,0.5037683908045977,0.4375,0.44680851063829785,6,7,0.11666666666666667,0,0
"2016-12-05","OKC",99,99,27,55,0.4909090909090909,7,22,0.3181818181818182,0.3181818181818182,24,38,16,21,0,0.7037037037037037,0.7037037037037037,1,0.2857142857142857,0.5445753246753247,0.487012987012987,0.5380434782608695,0,5,0.09090909090909091,0,0
"2016-12-07","MIA",93,103,39,69,0.5652173913043478,4,19,0.21052631578947367,0.21052631578947367,13,46,32,12,0,0.5897435897435898,0.6764705882352942,1,0.2159090909090909,0.5514556818181818,0.5113636363636364,0.5368421052631579,10,6,0.08695652173913043,0,0
"2016-12-09","MIL",101,114,28,50,0.56,12,34,0.35294117647058826,0.35294117647058826,22,42,14,33,3,0.75,0.7777777777777778,0.9166666666666666,0.40476190476190477,0.547117261904762,0.5476190476190477,0.5947368421052631,2,5,0.1,0,0
"2016-12-13","ORL",96,120,34,61,0.5573770491803278,11,28,0.39285714285714285,0.39285714285714285,19,36,32,33,0,0.5294117647058824,0.6666666666666666,1,0.3146067415730337,0.526764606741573,0.5674157303370787,0.6122448979591837,14,5,0.08196721311475409,0,0
"2016-12-16","TOR",90,125,35,61,0.5737704918032787,11,25,0.44,0.4583333333333333,22,32,38,30,3,0.45714285714285713,0.5333333333333333,0.9090909090909091,0.29069767441860467,0.4980636904761905,0.5988372093023255,0.6224489795918368,10,5,0.08196721311475409,0,0
"2016-12-17","CHA",98,99,30,60,0.5,10,26,0.38461538461538464,0.38461538461538464,9,34,26,27,3,0.5666666666666667,0.6071428571428571,0.9,0.3023255813953488,0.5136482558139535,0.5232558139534884,0.526595744680851,4,3,0.05,0,0
"2016-12-19","OKC",94,110,32,52,0.6153846153846154,9,23,0.391304347826087,0.4090909090909091,19,32,32,24,3,0.5,0.5,0.8888888888888888,0.30666666666666664,0.5221743243243243,0.6066666666666667,0.6395348837209303,0,3,0.057692307692307696,0,0
"2016-12-21","MIN",88,84,27,56,0.48214285714285715,7,26,0.2692307692307692,0.2692307692307692,9,24,30,21,0,0.4444444444444444,0.46153846153846156,1,0.3170731707317073,0.5002648148148149,0.4573170731707317,0.4772727272727273,2,6,0.10714285714285714,0,0
"2016-12-23","DEN",97,109,29,61,0.47540983606557374,8,25,0.32,0.32,27,38,20,21,3,0.6551724137931034,0.6551724137931034,0.875,0.29069767441860467,0.5170901162790698,0.47674418604651164,0.54,0,7,0.11475409836065574,0,0
"2016-12-26","MIN",93,90,27,51,0.5294117647058824,8,32,0.25,0.25,12,24,30,24,0,0.4444444444444444,0.5714285714285714,1,0.3855421686746988,0.5660638554216867,0.46987951807228917,0.5,12,3,0.058823529411764705,0,0
"2016-12-28","NYK",103,102,30,74,0.40540540540540543,7,27,0.25925925925925924,0.25925925925925924,21,24,36,21,0,0.4,0.48,1,0.26732673267326734,0.513100495049505,0.400990099009901,0.4419642857142857,10,7,0.0945945945945946,0,0
"2016-12-30","DET",96,105,31,62,0.5,8,26,0.3076923076923077,0.3076923076923077,19,42,20,24,0,0.6774193548387096,0.7241379310344828,1,0.29545454545454547,0.5230079545454546,0.48863636363636365,0.546875,4,7,0.11290322580645161,0,0
"2017-01-01","SAS",100,114,28,64,0.4375,14,28,0.5,0.5185185185185185,16,26,30,36,6,0.4642857142857143,0.5,0.8571428571428571,0.30434782608695654,0.5128851648351649,0.532608695652174,0.5432692307692307,4,6,0.09375,0,0
"2017-01-04","ORL",96,111,34,62,0.5483870967741935,10,19,0.5263157894736842,0.5263157894736842,13,36,32,27,3,0.5294117647058824,0.5454545454545454,0.9,0.2345679012345679,0.5245574074074074,0.6049382716049383,0.625,2,6,0.0967741935483871,0,0
"2017-01-05","NOP",99,99,29,67,0.43283582089552236,9,23,0.391304347826087,0.391304347826087,14,30,28,24,3,0.5172413793103449,0.6,0.8888888888888888,0.25555555555555554,0.516851111111111,0.4722222222222222,0.5051020408163265,8,4,0.05970149253731343,0,0
"2017-01-07","DAL",93,97,19,52,0.36538461538461536,11,22,0.5,0.5,26,22,16,24,9,0.5789473684210527,0.6111111111111112,0.7272727272727273,0.2972972972972973,0.5048945945945946,0.4797297297297297,0.5449438202247191,2,3,0.057692307692307696,0,0
"2017-01-10","BKN",99,117,37,69,0.5362318840579711,7,23,0.30434782608695654,0.3181818181818182,22,38,36,18,3,0.5135135135135135,0.5588235294117647,0.8571428571428571,0.25,0.5008472527472527,0.5163043478260869,0.5321100917431193,6,3,0.043478260869565216,1,0.043478260869565216
"2017-01-13","BOS",91,101,25,54,0.46296296296296297,11,30,0.36666666666666664,0.3793103448275862,18,24,26,30,3,0.48,0.5,0.9090909090909091,0.35714285714285715,0.5249548192771084,0.49404761904761907,0.543010752688172,2,2,0.037037037037037035,1,0.03333333333333333
"2017-01-15","MIL",89,111,29,54,0.5370370370370371,13,26,0.5,0.5,14,34,24,36,3,0.5862068965517241,0.6071428571428571,0.9230769230769231,0.325,0.548899375,0.60625,0.6379310344827587,2,4,0.07407407407407407,0,0
"2017-01-16","NYK",95,108,28,55,0.509090909090909,12,32,0.375,0.375,16,28,28,36,0,0.5,0.5384615384615384,1,0.367816091954023,0.4995063218390805,0.5287356321839081,0.5510204081632653,4,3,0.05454545454545454,0,0
"2017-01-18","DET",96,95,24,53,0.4528301886792453,6,25,0.24,0.24,29,34,14,15,3,0.7083333333333334,0.7083333333333334,0.8333333333333334,0.32051282051282054,0.5080538461538462,0.4230769230769231,0.510752688172043,0,0,0,0,0
"2017-01-20","CHI",100,102,30,60,0.5,9,22,0.4090909090909091,0.4090909090909091,15,32,28,21,6,0.5333333333333333,0.5333333333333333,0.7777777777777778,0.2682926829268293,0.5386006097560976,0.5304878048780488,0.5604395604395604,0,5,0.08333333333333333,0,0
"2017-01-21","PHI",102,110,38,71,0.5352112676056338,7,20,0.35,0.35,13,38,38,15,6,0.5,0.5588235294117647,0.7142857142857143,0.21978021978021978,0.5331422222222222,0.532967032967033,0.5445544554455446,8,6,0.08450704225352113,0,0
"2017-01-23","LAC",94,105,28,59,0.4745762711864407,9,29,0.3103448275862069,0.32142857142857145,22,38,18,27,0,0.6785714285714286,0.7037037037037037,1,0.32954545454545453,0.5415413793103449,0.4715909090909091,0.5357142857142857,2,7,0.11864406779661017,1,0.034482758620689655
"2017-01-25","CHI",94,119,26,53,0.49056603773584906,17,30,0.5666666666666667,0.5666666666666667,16,28,24,45,6,0.5384615384615384,0.56,0.8823529411764706,0.3614457831325301,0.5297391566265061,0.6204819277108434,0.65,2,5,0.09433962264150944,0,0
"2017-01-27","WAS",99,86,21,52,0.40384615384615385,9,31,0.2903225806451613,0.2903225806451613,17,20,22,24,3,0.47619047619047616,0.5555555555555556,0.8888888888888888,0.37349397590361444,0.5360132530120482,0.41566265060240964,0.45263157894736844,6,9,0.17307692307692307,1,0.03225806451612903
"2017-01-29","NYK",127,142,42,88,0.4772727272727273,10,31,0.3225806451612903,0.3225806451612903,28,54,30,27,3,0.6428571428571429,0.675,0.9,0.2605042016806723,0.522290756302521,0.4789915966386555,0.5182481751824818,4,10,0.11363636363636363,1,0.03225806451612903
"2017-02-01","MIA",98,93,27,60,0.45,7,26,0.2692307692307692,0.2692307692307692,18,14,40,18,3,0.25925925925925924,0.28,0.8571428571428571,0.3023255813953488,0.5401773255813953,0.436046511627907,0.489247311827957,4,11,0.18333333333333332,0,0
"2017-02-02","HOU",105,113,36,55,0.6545454545454545,8,30,0.26666666666666666,0.27586206896551724,17,40,32,18,6,0.5555555555555556,0.6666666666666666,0.75,0.35294117647058826,0.5419964285714286,0.5647058823529412,0.5957446808510638,12,4,0.07272727272727272,0,0
"2017-02-04","ORL",96,113,31,50,0.62,10,28,0.35714285714285715,0.35714285714285715,21,40,22,24,6,0.6451612903225806,0.7142857142857143,0.8,0.358974358974359,0.5679673076923077,0.5897435897435898,0.6277777777777778,6,4,0.08,0,0
"2017-02-06","UTA",91,95,27,57,0.47368421052631576,6,17,0.35294117647058826,0.35294117647058826,23,22,32,15,3,0.4074074074074074,0.4583333333333333,0.8333333333333334,0.22972972972972974,0.5396939189189189,0.4864864864864865,0.5280898876404494,6,7,0.12280701754385964,0,0
"2017-02-08","DEN",95,117,39,66,0.5909090909090909,8,27,0.2962962962962963,0.3076923076923077,15,46,32,24,0,0.5897435897435898,0.6052631578947368,1,0.2903225806451613,0.5476798913043478,0.5483870967741935,0.5792079207920792,2,3,0.045454545454545456,1,0.037037037037037035
"2017-02-10","SAC",96,107,25,41,0.6097560975609756,11,30,0.36666666666666664,0.3793103448275862,24,20,30,27,6,0.4,0.4,0.8181818181818182,0.4225352112676056,0.5076014285714285,0.5845070422535211,0.625,0,2,0.04878048780487805,0,0
"2017-02-13","POR",104,109,24,55,0.43636363636363634,8,28,0.2857142857142857,0.2857142857142857,37,26,22,21,3,0.5416666666666666,0.5652173913043478,0.875,0.3373493975903614,0.5229716867469879,0.43373493975903615,0.5141509433962265,2,4,0.07272727272727272,0,0
"2017-02-15","LAC",96,84,25,53,0.4716981132075472,7,26,0.2692307692307692,0.28,13,28,22,18,3,0.56,0.6666666666666666,0.8571428571428571,0.3291139240506329,0.48671168831168826,0.44936708860759494,0.4827586206896552,8,3,0.05660377358490566,0,0
"2017-02-24","MIA",98,90,24,59,0.4067796610169492,6,20,0.3,0.3,24,20,28,12,6,0.4166666666666667,0.45454545454545453,0.6666666666666666,0.25316455696202533,0.5124961538461539,0.4177215189873418,0.46875,4,5,0.0847457627118644,0,0
"2017-02-25","ORL",100,86,24,60,0.4,8,25,0.32,0.32,14,28,20,21,3,0.5833333333333334,0.6086956521739131,0.875,0.29411764705882354,0.5364588235294118,0.4235294117647059,0.4381443298969072,2,7,0.11666666666666667,1,0.04
"2017-02-27","BOS",103,114,40,70,0.5714285714285714,6,25,0.24,0.24,16,36,44,12,6,0.45,0.5142857142857142,0.6666666666666666,0.2631578947368421,0.5279810526315789,0.5157894736842106,0.5485436893203883,10,7,0.1,0,0
"2017-03-01","DAL",93,100,26,43,0.6046511627906976,10,21,0.47619047619047616,0.47619047619047616,18,28,24,30,0,0.5384615384615384,0.6086956521739131,1,0.328125,0.53092265625,0.640625,0.6578947368421053,6,5,0.11627906976744186,0,0
"2017-03-03","CLE",103,130,39,65,0.6,10,26,0.38461538461538464,0.38461538461538464,22,42,36,27,3,0.5384615384615384,0.5675675675675675,0.9,0.2857142857142857,0.5369620879120879,0.5934065934065934,0.6190476190476191,4,5,0.07692307692307693,0,0
"2017-03-05","IND",92,96,25,50,0.5,9,27,0.3333333333333333,0.3333333333333333,19,26,24,24,3,0.52,0.5909090909090909,0.8888888888888888,0.35064935064935066,0.5080155844155844,0.5,0.5274725274725275,6,4,0.08,0,0
"2017-03-06","GSW",98,111,25,54,0.46296296296296297,13,28,0.4642857142857143,0.5,22,22,28,24,15,0.44,0.5238095238095238,0.6153846153846154,0.34146341463414637,0.528133125,0.5426829268292683,0.5721649484536082,8,4,0.07407407407407407,0,0
"2017-03-08","BKN",108,110,37,75,0.49333333333333335,4,20,0.2,0.21052631578947367,24,32,42,9,3,0.43243243243243246,0.5161290322580645,0.75,0.21052631578947367,0.5325989361702128,0.45263157894736844,0.5,12,11,0.14666666666666667,0,0
"2017-03-10","TOR",99,105,31,53,0.5849056603773585,8,22,0.36363636363636365,0.36363636363636365,19,34,28,21,3,0.5483870967741935,0.5862068965517241,0.875,0.29333333333333333,0.5695873333333333,0.5733333333333334,0.5898876404494382,4,5,0.09433962264150944,0,0
"2017-03-11","MEM",97,107,21,42,0.5,15,30,0.5,0.5,20,16,26,42,3,0.38095238095238093,0.38095238095238093,0.9333333333333333,0.4166666666666667,0.5507375,0.6041666666666666,0.6309523809523809,0,3,0.07142857142857142,0,0
"2017-03-13","SAS",101,99,31,59,0.5254237288135594,6,22,0.2727272727272727,0.2727272727272727,19,42,20,18,0,0.6774193548387096,0.6774193548387096,1,0.2716049382716049,0.4995802469135803,0.49382716049382713,0.5210526315789473,0,8,0.13559322033898305,1,0.045454545454545456
"2017-03-16","MEM",92,91,21,44,0.4772727272727273,8,27,0.2962962962962963,0.3076923076923077,25,24,18,21,3,0.5714285714285714,0.631578947368421,0.875,0.38028169014084506,0.5328378571428571,0.4647887323943662,0.5172413793103449,4,5,0.11363636363636363,0,0
"2017-03-18","POR",99,97,25,62,0.4032258064516129,7,26,0.2692307692307692,0.2692307692307692,26,30,20,21,0,0.6,0.6818181818181818,1,0.29545454545454547,0.550071590909091,0.4034090909090909,0.47549019607843135,6,9,0.14516129032258066,0,0
"2017-03-20","CHA",88,90,25,47,0.5319148936170213,12,37,0.32432432432432434,0.32432432432432434,4,30,20,33,3,0.6,0.625,0.9166666666666666,0.44047619047619047,0.5457023809523809,0.5119047619047619,0.5113636363636364,2,2,0.0425531914893617,2,0.05405405405405406
"2017-03-22","WAS",100,100,26,61,0.4262295081967213,8,25,0.32,0.32,24,30,22,15,9,0.5769230769230769,0.6521739130434783,0.625,0.29069767441860467,0.5171905882352941,0.4418604651162791,0.5050505050505051,6,4,0.06557377049180328,2,0.08
"2017-03-24","MIL",92,97,26,61,0.4262295081967213,8,22,0.36363636363636365,0.36363636363636365,21,26,26,21,3,0.5,0.5416666666666666,0.875,0.26506024096385544,0.5598304878048781,0.4578313253012048,0.5159574468085106,4,6,0.09836065573770492,0,0
"2017-03-26","BKN",103,92,29,71,0.4084507042253521,5,27,0.18518518518518517,0.18518518518518517,19,26,32,9,6,0.4482758620689655,0.5909090909090909,0.6,0.2755102040816326,0.5259316326530612,0.37244897959183676,0.40625,14,7,0.09859154929577464,0,0
"2017-03-28","PHX",103,95,28,58,0.4827586206896552,6,27,0.2222222222222222,0.2222222222222222,21,40,16,12,6,0.7142857142857143,0.7407407407407407,0.6666666666666666,0.3176470588235294,0.5415217647058823,0.43529411764705883,0.4846938775510204,2,6,0.10344827586206896,0,0
"2017-03-29","PHI",93,99,25,62,0.4032258064516129,9,18,0.5,0.5,22,22,28,24,3,0.44,0.5,0.8888888888888888,0.225,0.5144974999999999,0.48125,0.532967032967033,6,3,0.04838709677419355,0,0
"2017-04-01","CHI",96,104,29,62,0.46774193548387094,11,28,0.39285714285714285,0.39285714285714285,13,30,28,30,3,0.5172413793103449,0.5555555555555556,0.9090909090909091,0.3111111111111111,0.5083578651685393,0.5055555555555555,0.5360824742268041,4,3,0.04838709677419355,1,0.03571428571428571
"2017-04-02","BKN",101,82,23,56,0.4107142857142857,7,24,0.2916666666666667,0.2916666666666667,15,26,20,18,3,0.5652173913043478,0.6190476190476191,0.8571428571428571,0.3,0.5176275,0.41875,0.4606741573033708,4,6,0.10714285714285714,0,0
"2017-04-06","BOS",103,123,33,66,0.5,11,23,0.4782608695652174,0.4782608695652174,24,34,32,27,6,0.5151515151515151,0.6071428571428571,0.8181818181818182,0.25842696629213485,0.5462,0.5561797752808989,0.5857142857142857,10,4,0.06060606060606061,0,0
"2017-04-07","CLE",99,114,29,52,0.5576923076923077,16,37,0.43243243243243246,0.43243243243243246,8,48,10,45,3,0.8275862068965517,0.8888888888888888,0.9375,0.4157303370786517,0.565770786516854,0.5955056179775281,0.6129032258064516,4,3,0.057692307692307696,0,0
"2017-04-09","CLE",111,126,35,63,0.5555555555555556,9,31,0.2903225806451613,0.2903225806451613,29,44,26,27,0,0.6285714285714286,0.6666666666666666,1,0.32978723404255317,0.5525601063829787,0.5159574468085106,0.5779816513761468,4,3,0.047619047619047616,0,0
"2017-04-11","CHA",90,103,34,52,0.6538461538461539,7,27,0.25925925925925924,0.25925925925925924,14,48,20,18,3,0.7058823529411765,0.7741935483870968,0.8571428571428571,0.34177215189873417,0.5561854430379747,0.5632911392405063,0.5919540229885057,6,1,0.019230769230769232,0,0
"2017-04-12","IND",90,86,19,43,0.4418604651162791,11,29,0.3793103448275862,0.3793103448275862,15,18,20,30,3,0.47368421052631576,0.5,0.9090909090909091,0.4027777777777778,0.5080208333333334,0.4930555555555556,0.5375,2,6,0.13953488372093023,1,0.034482758620689655
"2017-10-18","DAL",99,117,39,76,0.5131578947368421,9,18,0.5,0.5294117647058824,12,30,48,15,12,0.38461538461538464,0.46875,0.5555555555555556,0.19148936170212766,0.48840161290322576,0.5585106382978723,0.585,14,4,0.05263157894736842,0,0
"2017-10-20","CHA",101,91,29,65,0.4461538461538462,7,30,0.23333333333333334,0.23333333333333334,12,24,34,21,0,0.41379310344827586,0.42857142857142855,1,0.3157894736842105,0.5059273684210526,0.41578947368421054,0.44554455445544555,2,4,0.06153846153846154,0,0
"2017-10-22","BKN",104,104,25,67,0.373134328358209,7,27,0.25925925925925924,0.25925925925925924,33,28,22,21,0,0.56,0.6363636363636364,1,0.2872340425531915,0.4957367021276596,0.3776595744680851,0.4681818181818182,6,7,0.1044776119402985,1,0.037037037037037035
"2017-10-23","MIA",100,93,29,60,0.48333333333333334,7,17,0.4117647058823529,0.4117647058823529,14,20,38,12,9,0.3448275862068966,0.37037037037037035,0.5714285714285714,0.22077922077922077,0.5138907894736843,0.512987012987013,0.5470588235294118,4,6,0.1,0,0
"2017-10-26","CHI",91,86,21,53,0.39622641509433965,11,28,0.39285714285714285,0.39285714285714285,11,22,20,33,0,0.5238095238095238,0.5789473684210527,1,0.345679012345679,0.48170061728395064,0.46296296296296297,0.4942528735632184,4,4,0.07547169811320754,0,0
"2017-10-27","DEN",94,100,23,56,0.4107142857142857,14,33,0.42424242424242425,0.42424242424242425,12,22,24,36,6,0.4782608695652174,0.5,0.8571428571428571,0.3707865168539326,0.48584550561797757,0.4943820224719101,0.5263157894736842,2,4,0.07142857142857142,0,0
