,Date,Home_Team,Away_Team,Spread_Result,Line,O/U_Result
0,2012-11-02,ATL,HOU,,,
1,2012-11-04,OKC,ATL,,9.0,
2,2012-11-07,ATL,IND,,,
3,2012-11-09,ATL,MIA,,,
4,2012-11-11,LAC,ATL,,6.5,
5,2012-11-12,POR,ATL,,2.5,
6,2012-11-14,GSW,ATL,,1.0,
7,2012-11-16,SAC,ATL,,-2.0,
8,2012-11-19,ATL,ORL,,,
9,2012-11-21,ATL,WAS,,,
10,2012-11-23,CHA,ATL,,-3.5,
11,2012-11-24,ATL,LAC,,,
12,2012-11-28,ATL,CHA,,,
13,2012-11-30,ATL,CLE,,,
14,2012-12-05,ATL,DEN,,,
15,2012-12-07,ATL,WAS,,,
16,2012-12-08,MEM,ATL,,7.5,
17,2012-12-10,MIA,ATL,,6.5,
18,2012-12-12,ORL,ATL,,-5.0,
19,2012-12-13,ATL,CHA,,,
20,2012-12-15,ATL,GSW,,,
21,2012-12-18,WAS,ATL,,-7.0,
22,2012-12-19,ATL,OKC,,,
23,2012-12-21,PHI,ATL,,-2.0,
24,2012-12-22,ATL,CHI,,,
25,2012-12-26,ATL,DET,,,
26,2012-12-28,CLE,ATL,,-5.0,
27,2012-12-29,ATL,IND,,,
28,2012-12-31,HOU,ATL,,5.0,
29,2013-01-01,NOH,ATL,,-2.0,
30,2013-01-04,DET,ATL,,-1.5,
31,2013-01-05,ATL,BOS,,,
32,2013-01-08,MIN,ATL,,1.0,
33,2013-01-09,CLE,ATL,,-4.0,
34,2013-01-11,ATL,UTA,,,
35,2013-01-12,WAS,ATL,,-3.0,
36,2013-01-14,CHI,ATL,,4.5,
37,2013-01-16,ATL,BRK,,,
38,2013-01-18,BRK,ATL,,6.5,
39,2013-01-19,ATL,SAS,,,
40,2013-01-21,ATL,MIN,,,
41,2013-01-23,CHA,ATL,,-2.5,
42,2013-01-25,ATL,BOS,,,
43,2013-01-27,NYK,ATL,,5.5,
44,2013-01-30,ATL,TOR,,,
45,2013-02-02,ATL,CHI,,,
46,2013-02-05,IND,ATL,,6.0,
47,2013-02-06,ATL,MEM,,,
48,2013-02-08,ATL,NOH,,,
49,2013-02-11,DAL,ATL,,5.5,
50,2013-02-13,ORL,ATL,,-2.5,
51,2013-02-20,ATL,MIA,,,
52,2013-02-22,ATL,SAC,,,
53,2013-02-23,MIL,ATL,,4.5,
54,2013-02-25,DET,ATL,,-3.5,
55,2013-02-27,UTA,ATL,,3.0,
56,2013-03-01,PHO,ATL,,-3.5,
57,2013-03-03,LAL,ATL,,5.5,
58,2013-03-04,DEN,ATL,,9.5,
59,2013-03-06,ATL,PHI,,,
60,2013-03-08,BOS,ATL,,4.5,
61,2013-03-09,ATL,BRK,,,
62,2013-03-12,MIA,ATL,,9.5,
63,2013-03-13,ATL,LAL,,,
64,2013-03-15,ATL,PHO,,,
65,2013-03-17,BRK,ATL,,4.0,
66,2013-03-18,ATL,DAL,,,
67,2013-03-20,ATL,MIL,,,
68,2013-03-22,ATL,POR,,,
69,2013-03-24,MIL,ATL,,2.5,
70,2013-03-25,IND,ATL,,6.5,
71,2013-03-27,TOR,ATL,,-2.5,
72,2013-03-29,BOS,ATL,,2.5,
73,2013-03-30,ATL,ORL,,,
74,2013-04-01,ATL,CLE,,,
75,2013-04-03,ATL,NYK,,,
76,2013-04-05,ATL,PHI,,,
77,2013-04-06,SAS,ATL,,10.5,
78,2013-04-10,PHI,ATL,,-3.5,
79,2013-04-12,ATL,MIL,,,
80,2013-04-16,ATL,TOR,,,
81,2013-04-17,NYK,ATL,,5.0,
82,2013-04-21,IND,ATL,,7.0,
83,2013-04-24,IND,ATL,,7.0,
84,2013-04-27,ATL,IND,,,
85,2013-04-29,ATL,IND,,,
86,2013-05-01,IND,ATL,,7.0,
87,2013-05-03,ATL,IND,,,
88,2013-10-30,DAL,ATL,,,
89,2013-11-01,ATL,TOR,,,
90,2013-11-03,LAL,ATL,,1.0,
91,2013-11-05,SAC,ATL,,2.0,
92,2013-11-07,DEN,ATL,,5.0,
93,2013-11-09,ATL,ORL,,,
94,2013-11-11,CHA,ATL,,-2.0,
95,2013-11-13,ATL,NYK,,,
96,2013-11-15,ATL,PHI,,,
97,2013-11-16,NYK,ATL,,4.0,
98,2013-11-19,MIA,ATL,,8.5,
99,2013-11-20,ATL,DET,,,
100,2013-11-22,DET,ATL,,3.5,
101,2013-11-23,ATL,BOS,,,
102,2013-11-26,ATL,ORL,,,
103,2013-11-27,HOU,ATL,,8.0,
104,2013-11-29,ATL,DAL,,,
105,2013-11-30,WAS,ATL,,4.5,
106,2013-12-02,SAS,ATL,,12.0,
107,2013-12-04,ATL,LAC,,,
108,2013-12-06,ATL,CLE,,,
109,2013-12-10,ATL,OKC,,,
110,2013-12-13,ATL,WAS,,,
111,2013-12-14,NYK,ATL,,1.0,
112,2013-12-16,ATL,LAL,,,
113,2013-12-18,ATL,SAC,,,
114,2013-12-20,ATL,UTA,,,
115,2013-12-23,MIA,ATL,,7.5,
116,2013-12-26,CLE,ATL,,-3.0,
