"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2020-12-23","CHI",106,124,29,45,0.6444444444444445,14,35,0.4,0.4,24,32,26,24,18,0.5517241379310345,0.5925925925925926,0.5714285714285714,0.4375,0.565523125,0.625,0.6813186813186813,4,3,0.06666666666666667,0,0
"2020-12-26","MEM",103,122,25,53,0.4716981132075472,13,36,0.3611111111111111,0.37142857142857144,33,22,28,36,3,0.44,0.4782608695652174,0.9230769230769231,0.4044943820224719,0.5483261363636364,0.5,0.5769230769230769,4,6,0.11320754716981132,0,0
"2020-12-28","DET",99,128,20,40,0.5,20,42,0.47619047619047616,0.47619047619047616,28,24,16,54,6,0.6,0.6666666666666666,0.9,0.5121951219512195,0.545284756097561,0.6097560975609756,0.6666666666666666,4,4,0.1,0,0
"2020-12-30","BKN",107,141,29,53,0.5471698113207547,18,46,0.391304347826087,0.4,29,22,36,48,6,0.3793103448275862,0.44,0.8888888888888888,0.46464646464646464,0.5492316326530612,0.5656565656565656,0.6077586206896551,8,3,0.05660377358490566,0,0
"2021-01-01","BKN",98,114,27,54,0.5,16,39,0.41025641025641024,0.41025641025641024,12,24,30,36,12,0.4444444444444444,0.5217391304347826,0.75,0.41935483870967744,0.5294924731182796,0.5483870967741935,0.57,8,6,0.1111111111111111,0,0
"2021-01-02","CLE",95,91,24,53,0.4528301886792453,11,32,0.34375,0.3548387096774194,10,24,24,30,3,0.5,0.6,0.9090909090909091,0.3764705882352941,0.5636353658536586,0.4764705882352941,0.4945652173913043,8,2,0.03773584905660377,0,0
"2021-01-04","NYK",98,108,30,56,0.5357142857142857,10,31,0.3225806451612903,0.3225806451612903,18,30,30,27,3,0.5,0.5172413793103449,0.9,0.3563218390804598,0.5751218390804598,0.5172413793103449,0.5567010309278351,2,6,0.10714285714285714,0,0
"2021-01-06","CHA",99,94,29,56,0.5178571428571429,7,40,0.175,0.175,15,36,22,21,0,0.6206896551724138,0.75,1,0.4166666666666667,0.5808984375,0.4114583333333333,0.4519230769230769,10,7,0.125,0,0
"2021-01-09","CHA",95,105,20,44,0.45454545454545453,14,45,0.3111111111111111,0.3111111111111111,23,24,16,39,3,0.6,0.7058823529411765,0.9285714285714286,0.5056179775280899,0.5580921348314607,0.4606741573033708,0.5098039215686274,6,7,0.1590909090909091,0,0
"2021-01-11","PHI",98,112,20,55,0.36363636363636365,17,44,0.38636363636363635,0.38636363636363635,21,14,26,39,12,0.35,0.3888888888888889,0.7647058823529411,0.4444444444444444,0.5590918367346939,0.4595959595959596,0.5,4,10,0.18181818181818182,2,0.045454545454545456
