"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2020-12-23","CHI",105,104,28,52,0.5384615384615384,8,35,0.22857142857142856,0.22857142857142856,24,24,32,24,0,0.42857142857142855,0.5,1,0.40229885057471265,0.5446,0.45977011494252873,0.5148514851485149,8,3,0.057692307692307696,0,0
"2020-12-26","MEM",103,112,24,50,0.48,13,43,0.3023255813953488,0.3023255813953488,25,16,32,36,3,0.3333333333333333,0.34782608695652173,0.9230769230769231,0.46236559139784944,0.5182623655913978,0.46774193548387094,0.5186915887850467,2,4,0.08,1,0.023255813953488372
"2020-12-28","DET",99,120,30,57,0.5263157894736842,13,41,0.3170731707317073,0.3170731707317073,21,28,32,30,9,0.4666666666666667,0.5,0.7692307692307693,0.41836734693877553,0.562309693877551,0.5051020408163265,0.5458715596330275,4,7,0.12280701754385964,0,0
"2020-12-30","BKN",107,145,35,59,0.5932203389830508,19,41,0.4634146341463415,0.4634146341463415,18,34,36,39,18,0.4857142857142857,0.5151515151515151,0.6842105263157895,0.41,0.542027,0.635,0.6590909090909091,4,2,0.03389830508474576,0,0
"2021-01-01","BKN",99,96,28,49,0.5714285714285714,7,37,0.1891891891891892,0.1891891891891892,19,30,26,12,9,0.5357142857142857,0.5555555555555556,0.5714285714285714,0.43023255813953487,0.5114747058823529,0.4476744186046512,0.4948453608247423,2,3,0.061224489795918366,0,0
"2021-01-02","CLE",95,96,31,62,0.5,7,29,0.2413793103448276,0.25,13,28,34,15,6,0.45161290322580644,0.5185185185185185,0.7142857142857143,0.31868131868131866,0.5466522222222222,0.45604395604395603,0.4845360824742268,8,5,0.08064516129032258,0,0
"2021-01-04","NYK",98,113,36,64,0.5625,7,21,0.3333333333333333,0.3333333333333333,20,38,34,21,0,0.5277777777777778,0.5588235294117647,1,0.24705882352941178,0.5574529411764706,0.5470588235294118,0.5842105263157895,4,2,0.03125,0,0
"2021-01-06","CHA",100,102,21,49,0.42857142857142855,11,36,0.3055555555555556,0.3142857142857143,27,24,18,30,3,0.5714285714285714,0.631578947368421,0.9090909090909091,0.4235294117647059,0.5666047619047619,0.4411764705882353,0.51,4,1,0.02040816326530612,0,0
"2021-01-09","CHA",97,113,25,44,0.5681818181818182,15,33,0.45454545454545453,0.45454545454545453,18,28,22,39,6,0.56,0.56,0.8666666666666667,0.42857142857142855,0.5473694805194805,0.6168831168831169,0.6363636363636364,0,4,0.09090909090909091,0,0
"2021-01-11","PHI",98,94,29,56,0.5178571428571429,8,36,0.2222222222222222,0.2222222222222222,12,24,34,24,0,0.41379310344827586,0.4444444444444444,1,0.391304347826087,0.5395157608695652,0.44565217391304346,0.47959183673469385,4,3,0.05357142857142857,0,0
"2021-01-15","UTA",101,116,23,48,0.4791666666666667,20,44,0.45454545454545453,0.46511627906976744,10,22,24,48,12,0.4782608695652174,0.6111111111111112,0.8,0.4782608695652174,0.5181554945054945,0.5760869565217391,0.5918367346938775,10,1,0.020833333333333332,0,0
"2021-01-16","POR",103,112,25,59,0.423728813559322,15,44,0.3409090909090909,0.3409090909090909,17,14,36,33,12,0.28,0.3333333333333333,0.7333333333333333,0.42718446601941745,0.5537650485436892,0.46116504854368934,0.5,8,6,0.1016949152542373,0,0
"2021-01-18","MIN",104,97,22,54,0.4074074074074074,14,37,0.3783783783783784,0.3888888888888889,11,22,22,33,9,0.5,0.5238095238095238,0.7857142857142857,0.4065934065934066,0.5635344444444444,0.4725274725274725,0.4897959183673469,2,8,0.14814814814814814,0,0
"2021-01-20","DET",107,115,34,66,0.5151515151515151,10,31,0.3225806451612903,0.3225806451612903,17,34,34,15,15,0.5,0.53125,0.5,0.31958762886597936,0.5202943298969073,0.5051546391752577,0.5480769230769231,4,10,0.15151515151515152,0,0
"2021-01-22","MIN",99,98,32,61,0.5245901639344263,8,32,0.25,0.25,10,46,18,21,3,0.71875,0.8214285714285714,0.875,0.34408602150537637,0.532641935483871,0.4731182795698925,0.5051546391752577,8,12,0.19672131147540983,0,0
"2021-01-24","MIL",98,129,40,60,0.6666666666666666,10,31,0.3225806451612903,0.3225806451612903,19,48,32,24,6,0.6,0.631578947368421,0.8,0.34065934065934067,0.5340576923076923,0.6043956043956044,0.6323529411764706,4,4,0.06666666666666667,0,0
"2021-01-26","LAC",96,99,28,63,0.4444444444444444,8,26,0.3076923076923077,0.3076923076923077,19,30,26,24,0,0.5357142857142857,0.6,1,0.29213483146067415,0.500438202247191,0.449438202247191,0.495,6,9,0.14285714285714285,0,0
"2021-01-27","BKN",103,132,41,66,0.6212121212121212,11,32,0.34375,0.34375,17,46,36,18,15,0.5609756097560976,0.6052631578947368,0.5454545454545454,0.32653061224489793,0.5221142857142858,0.5867346938775511,0.6111111111111112,6,7,0.10606060606060606,0,0
"2021-01-29","WAS",100,100,24,57,0.42105263157894735,7,28,0.25,0.25,31,14,34,18,3,0.2916666666666667,0.35,0.8571428571428571,0.32941176470588235,0.47505470588235293,0.40588235294117647,0.4900990099009901,8,4,0.07017543859649122,0,0
"2021-02-01","LAL",93,107,33,54,0.6111111111111112,7,23,0.30434782608695654,0.30434782608695654,20,36,30,18,3,0.5454545454545454,0.5625,0.8571428571428571,0.2987012987012987,0.5622818181818181,0.564935064935065,0.6091954022988506,2,3,0.05555555555555555,0,0
"2021-02-03","DAL",100,122,30,53,0.5660377358490566,13,40,0.325,0.325,23,30,30,36,3,0.5,0.5555555555555556,0.9230769230769231,0.43010752688172044,0.5714709677419355,0.532258064516129,0.5761904761904761,6,4,0.07547169811320754,0,0
"2021-02-04","UTA",97,112,31,64,0.484375,13,27,0.48148148148148145,0.5,11,22,40,24,15,0.3548387096774194,0.3793103448275862,0.6153846153846154,0.2967032967032967,0.5663111111111111,0.554945054945055,0.5773195876288659,4,1,0.015625,0,0
"2021-02-06","TOR",99,121,28,59,0.4745762711864407,13,38,0.34210526315789475,0.34210526315789475,26,28,28,30,9,0.5,0.6363636363636364,0.7692307692307693,0.3917525773195876,0.5844773195876288,0.4896907216494845,0.536036036036036,12,10,0.1694915254237288,0,0
"2021-02-10","DAL",97,118,29,49,0.5918367346938775,14,35,0.4,0.4,18,26,32,36,6,0.4482758620689655,0.4482758620689655,0.8571428571428571,0.4166666666666667,0.5251202380952381,0.5952380952380952,0.6290322580645161,0,4,0.08163265306122448,0,0
"2021-02-12","SAS",103,125,33,54,0.6111111111111112,12,31,0.3870967741935484,0.3870967741935484,23,34,32,30,6,0.5151515151515151,0.5666666666666667,0.8333333333333334,0.36470588235294116,0.5339488235294118,0.6,0.6377551020408163,6,4,0.07407407407407407,0,0
"2021-02-13","IND",102,125,33,58,0.5689655172413793,12,31,0.3870967741935484,0.3870967741935484,23,44,22,36,0,0.6666666666666666,0.7096774193548387,1,0.34831460674157305,0.5853207865168539,0.5730337078651685,0.6188118811881188,4,4,0.06896551724137931,0,0
