"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2020-12-22","GSW",111,125,27,57,0.47368421052631576,15,35,0.42857142857142855,0.42857142857142855,26,26,28,33,12,0.48148148148148145,0.5652173913043478,0.7333333333333333,0.3804347826086957,0.5345619565217391,0.5380434782608695,0.5841121495327103,8,6,0.10526315789473684,0,0
"2020-12-25","BOS",97,123,26,47,0.5531914893617021,15,29,0.5172413793103449,0.5172413793103449,26,22,30,30,15,0.4230769230769231,0.4583333333333333,0.6666666666666666,0.3815789473684211,0.4946394736842105,0.6381578947368421,0.6703296703296703,4,5,0.10638297872340426,0,0
"2020-12-27","CHA",103,104,18,35,0.5142857142857142,17,47,0.3617021276595745,0.3617021276595745,17,14,22,48,3,0.3888888888888889,0.4117647058823529,0.9411764705882353,0.573170731707317,0.5247682926829268,0.5304878048780488,0.5531914893617021,2,2,0.05714285714285714,1,0.02127659574468085
"2020-12-28","MEM",110,111,27,58,0.46551724137931033,14,42,0.3333333333333333,0.3333333333333333,15,38,16,27,15,0.7037037037037037,0.76,0.6428571428571429,0.42,0.5274595,0.48,0.5138888888888888,4,4,0.06896551724137931,0,0
"2020-12-30","ATL",107,145,35,59,0.5932203389830508,19,41,0.4634146341463415,0.4634146341463415,18,34,36,39,18,0.4857142857142857,0.5151515151515151,0.6842105263157895,0.41,0.542027,0.635,0.6590909090909091,4,2,0.03389830508474576,0,0
"2021-01-01","ATL",99,96,28,49,0.5714285714285714,7,37,0.1891891891891892,0.1891891891891892,19,30,26,12,9,0.5357142857142857,0.5555555555555556,0.5714285714285714,0.43023255813953487,0.5114747058823529,0.4476744186046512,0.4948453608247423,2,3,0.061224489795918366,0,0
"2021-01-03","WAS",107,122,26,49,0.5306122448979592,14,32,0.4375,0.4375,28,26,26,36,6,0.5,0.5,0.8571428571428571,0.3950617283950617,0.5211981481481481,0.5802469135802469,0.6382978723404256,0,3,0.061224489795918366,0,0
"2021-01-05","UTA",101,130,38,57,0.6666666666666666,14,36,0.3888888888888889,0.3888888888888889,12,44,32,27,15,0.5789473684210527,0.6111111111111112,0.6428571428571429,0.3870967741935484,0.541697311827957,0.6344086021505376,0.6565656565656566,4,3,0.05263157894736842,0,0
"2021-01-07","PHI",109,122,29,60,0.48333333333333334,15,37,0.40540540540540543,0.40540540540540543,19,32,26,42,3,0.5517241379310345,0.5925925925925926,0.9333333333333333,0.38144329896907214,0.5590659793814433,0.5309278350515464,0.5545454545454546,4,4,0.06666666666666667,2,0.05405405405405406
"2021-01-08","MEM",102,110,24,50,0.48,14,31,0.45161290322580644,0.45161290322580644,20,34,14,27,15,0.7083333333333334,0.7083333333333334,0.6428571428571429,0.38271604938271603,0.47550740740740743,0.5555555555555556,0.6079545454545454,0,6,0.12,0,0
