"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2020-12-22","GSW",111,99,27,66,0.4090909090909091,10,33,0.30303030303030304,0.3225806451612903,15,34,20,27,3,0.6296296296296297,0.7083333333333334,0.9,0.3333333333333333,0.5520788659793815,0.42424242424242425,0.45,6,7,0.10606060606060606,0,0
"2020-12-25","BOS",97,95,29,71,0.4084507042253521,8,27,0.2962962962962963,0.3076923076923077,13,34,24,18,6,0.5862068965517241,0.68,0.75,0.2755102040816326,0.47077886597938146,0.41836734693877553,0.4439252336448598,8,10,0.14084507042253522,0,0
"2020-12-27","CHA",103,106,33,62,0.532258064516129,10,34,0.29411764705882354,0.29411764705882354,10,52,14,27,3,0.7878787878787878,0.8125,0.9,0.3541666666666667,0.5308890625,0.5,0.5096153846153846,2,5,0.08064516129032258,0,0
"2020-12-28","MEM",109,116,32,69,0.463768115942029,10,29,0.3448275862068966,0.3448275862068966,22,24,40,24,6,0.375,0.41379310344827586,0.8,0.29591836734693877,0.5281918367346938,0.47959183673469385,0.5181818181818182,6,6,0.08695652173913043,0,0
"2020-12-30","ATL",107,141,29,53,0.5471698113207547,18,46,0.391304347826087,0.4,29,22,36,48,6,0.3793103448275862,0.44,0.8888888888888888,0.46464646464646464,0.5492316326530612,0.5656565656565656,0.6077586206896551,8,3,0.05660377358490566,0,0
"2021-01-01","ATL",98,114,27,54,0.5,16,39,0.41025641025641024,0.41025641025641024,12,24,30,36,12,0.4444444444444444,0.5217391304347826,0.75,0.41935483870967744,0.5294924731182796,0.5483870967741935,0.57,8,6,0.1111111111111111,0,0
"2021-01-03","WAS",107,123,31,71,0.43661971830985913,12,33,0.36363636363636365,0.36363636363636365,25,34,28,30,6,0.5483870967741935,0.6296296296296297,0.8333333333333334,0.3173076923076923,0.5168067307692308,0.47115384615384615,0.5169491525423728,8,9,0.1267605633802817,0,0
"2021-01-05","UTA",102,96,22,52,0.4230769230769231,11,34,0.3235294117647059,0.3235294117647059,19,16,28,27,6,0.36363636363636365,0.4,0.8181818181818182,0.3953488372093023,0.5392761627906977,0.4476744186046512,0.4897959183673469,4,5,0.09615384615384616,0,0
"2021-01-07","PHI",108,109,32,61,0.5245901639344263,9,26,0.34615384615384615,0.34615384615384615,18,32,32,21,6,0.5,0.5161290322580645,0.7777777777777778,0.2988505747126437,0.5310442528735633,0.5229885057471264,0.5691489361702128,2,7,0.11475409836065574,0,0
"2021-01-08","MEM",101,115,32,66,0.48484848484848486,13,32,0.40625,0.40625,12,38,26,30,9,0.59375,0.6551724137931034,0.7692307692307693,0.32653061224489793,0.49330714285714283,0.5255102040816326,0.5528846153846154,6,4,0.06060606060606061,0,0
"2021-01-10","OKC",103,129,34,51,0.6666666666666666,15,39,0.38461538461538464,0.38461538461538464,16,32,36,24,21,0.47058823529411764,0.47058823529411764,0.5333333333333333,0.43333333333333335,0.5175088888888889,0.6277777777777778,0.6666666666666666,0,2,0.0392156862745098,0,0
"2021-01-12","DEN",96,116,26,51,0.5098039215686274,18,37,0.4864864864864865,0.4864864864864865,10,32,20,36,18,0.6153846153846154,0.64,0.6666666666666666,0.42045454545454547,0.5433443181818182,0.6022727272727273,0.6105263157894737,2,5,0.09803921568627451,1,0.02702702702702703
"2021-01-13","NYK",92,109,33,64,0.515625,11,28,0.39285714285714285,0.39285714285714285,10,22,44,33,0,0.3333333333333333,0.3793103448275862,1,0.30434782608695654,0.5073032608695652,0.5380434782608695,0.5677083333333334,8,5,0.078125,0,0
"2021-01-16","ORL",102,115,30,49,0.6122448979591837,14,46,0.30434782608695654,0.3111111111111111,13,34,26,33,9,0.5666666666666667,0.5862068965517241,0.7857142857142857,0.4842105263157895,0.522836170212766,0.5368421052631579,0.558252427184466,2,5,0.10204081632653061,0,0
"2021-01-18","MIL",104,123,35,67,0.5223880597014925,11,38,0.2894736842105263,0.2894736842105263,20,30,40,18,15,0.42857142857142855,0.46875,0.5454545454545454,0.3619047619047619,0.5638309523809524,0.49047619047619045,0.5301724137931034,6,4,0.05970149253731343,1,0.02631578947368421
"2021-01-20","CLE",120,147,36,69,0.5217391304347826,20,40,0.5,0.5,15,28,44,45,15,0.3888888888888889,0.4666666666666667,0.75,0.3669724770642202,0.5202532110091743,0.6055045871559633,0.6228813559322034,12,8,0.11594202898550725,3,0.075
"2021-01-22","CLE",99,125,37,62,0.5967741935483871,8,25,0.32,0.32,27,38,36,15,9,0.5135135135135135,0.59375,0.625,0.28735632183908044,0.5375781609195402,0.5632183908045977,0.6138613861386139,10,8,0.12903225806451613,0,0
"2021-01-23","MIA",102,124,29,43,0.6744186046511628,13,46,0.2826086956521739,0.2826086956521739,27,32,26,39,0,0.5517241379310345,0.5517241379310345,1,0.5168539325842697,0.5270073033707865,0.5449438202247191,0.6019417475728155,0,6,0.13953488372093023,0,0
"2021-01-25","MIA",94,85,20,41,0.4878048780487805,11,43,0.2558139534883721,0.2558139534883721,12,20,20,30,3,0.5,0.5882352941176471,0.9090909090909091,0.5119047619047619,0.5561434523809524,0.43452380952380953,0.46703296703296704,6,4,0.0975609756097561,1,0.023255813953488372
"2021-01-27","ATL",102,128,32,61,0.5245901639344263,13,33,0.3939393939393939,0.40625,25,38,26,30,9,0.59375,0.6333333333333333,0.7692307692307693,0.35106382978723405,0.4963897849462366,0.5478723404255319,0.5990566037735849,4,9,0.14754098360655737,1,0.030303030303030304
"2021-01-29","OKC",105,125,24,48,0.5,16,38,0.42105263157894735,0.42105263157894735,29,16,32,45,3,0.3333333333333333,0.34782608695652173,0.9375,0.4418604651162791,0.5303290697674419,0.5581395348837209,0.6188118811881188,2,4,0.08333333333333333,0,0
"2021-01-31","WAS",112,149,44,69,0.6376811594202898,12,39,0.3076923076923077,0.3157894736842105,25,32,56,24,12,0.36363636363636365,0.38095238095238093,0.6666666666666666,0.3611111111111111,0.4860799065420561,0.5740740740740741,0.6157024793388429,4,5,0.07246376811594203,0,0
"2021-02-02","LAC",98,120,30,63,0.47619047619047616,15,36,0.4166666666666667,0.4166666666666667,15,16,44,39,6,0.26666666666666666,0.26666666666666666,0.8666666666666667,0.36363636363636365,0.4943393939393939,0.5303030303030303,0.5714285714285714,0,4,0.06349206349206349,0,0
"2021-02-05","TOR",99,123,36,65,0.5538461538461539,13,32,0.40625,0.40625,12,28,44,24,15,0.3888888888888889,0.4375,0.6153846153846154,0.32989690721649484,0.5374087628865979,0.5721649484536082,0.5980392156862745,8,6,0.09230769230769231,0,0
"2021-02-06","PHI",101,124,38,67,0.5671641791044776,10,27,0.37037037037037035,0.37037037037037035,18,36,40,27,3,0.47368421052631576,0.5625,0.9,0.2872340425531915,0.5180005319148936,0.5638297872340425,0.5922330097087378,12,3,0.04477611940298507,0,0
"2021-02-09","DET",95,122,34,55,0.6181818181818182,13,29,0.4482758620689655,0.4642857142857143,15,30,38,39,0,0.4411764705882353,0.46875,1,0.34523809523809523,0.5666222891566265,0.6369047619047619,0.6467391304347826,4,5,0.09090909090909091,1,0.034482758620689655
