"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2020-12-23","MIL",99,122,30,61,0.4918032786885246,18,40,0.45,0.45,8,20,40,39,15,0.3333333333333333,0.35714285714285715,0.7222222222222222,0.39603960396039606,0.48657079207920795,0.5643564356435643,0.5761904761904761,4,6,0.09836065573770492,0,0
"2020-12-25","BKN",97,95,29,71,0.4084507042253521,8,27,0.2962962962962963,0.3076923076923077,13,34,24,18,6,0.5862068965517241,0.68,0.75,0.2755102040816326,0.47077886597938146,0.41836734693877553,0.4439252336448598,8,10,0.14084507042253522,0,0
"2020-12-27","IND",101,107,31,56,0.5535714285714286,9,23,0.391304347826087,0.391304347826087,18,28,34,21,6,0.45161290322580644,0.5,0.7777777777777778,0.2911392405063291,0.5026987341772152,0.5632911392405063,0.5879120879120879,6,6,0.10714285714285714,1,0.043478260869565216
"2020-12-29","IND",100,116,31,58,0.5344827586206896,9,22,0.4090909090909091,0.4090909090909091,27,26,36,24,3,0.41935483870967744,0.4642857142857143,0.8888888888888888,0.275,0.5556650000000001,0.55625,0.5927835051546392,6,5,0.08620689655172414,0,0
"2020-12-30","MEM",102,126,33,52,0.6346153846153846,16,39,0.41025641025641024,0.41025641025641024,12,34,32,30,18,0.5151515151515151,0.5666666666666667,0.625,0.42857142857142855,0.5263598901098901,0.6263736263736264,0.6510416666666666,6,3,0.057692307692307696,0,0
"2021-01-01","DET",102,93,31,52,0.5961538461538461,8,31,0.25806451612903225,0.26666666666666666,7,30,32,15,9,0.4838709677419355,0.5172413793103449,0.625,0.37349397590361444,0.5233420731707318,0.5180722891566265,0.5168539325842697,4,2,0.038461538461538464,0,0
"2021-01-03","DET",95,122,34,54,0.6296296296296297,15,33,0.45454545454545453,0.45454545454545453,9,46,22,36,9,0.6764705882352942,0.71875,0.8,0.3793103448275862,0.5428908045977011,0.6494252873563219,0.6630434782608695,4,7,0.12962962962962962,0,0
"2021-01-04","TOR",103,126,26,55,0.4727272727272727,15,29,0.5172413793103449,0.5172413793103449,29,18,34,30,15,0.34615384615384615,0.4090909090909091,0.6666666666666666,0.34523809523809523,0.4851815476190476,0.5773809523809523,0.6494845360824743,8,3,0.05454545454545454,1,0.034482758620689655
"2021-01-06","MIA",93,107,30,64,0.46875,12,35,0.34285714285714286,0.34285714285714286,11,26,34,27,9,0.43333333333333335,0.5652173913043478,0.75,0.35353535353535354,0.5012606060606061,0.48484848484848486,0.5095238095238095,14,7,0.109375,0,0
"2021-01-08","WAS",106,116,29,54,0.5370370370370371,12,32,0.375,0.375,22,22,36,30,6,0.3793103448275862,0.4074074074074074,0.8333333333333334,0.37209302325581395,0.4825081395348837,0.5465116279069767,0.5808080808080808,4,4,0.07407407407407407,0,0
