"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2020-12-23","CLE",101,114,29,46,0.6304347826086957,16,44,0.36363636363636365,0.37209302325581395,8,36,22,33,15,0.6206896551724138,0.6428571428571429,0.6875,0.4888888888888889,0.5636752808988764,0.5888888888888889,0.6,2,3,0.06521739130434782,0,0
"2020-12-26","OKC",104,107,24,61,0.39344262295081966,13,32,0.40625,0.40625,20,32,16,33,6,0.6666666666666666,0.6956521739130435,0.8461538461538461,0.34408602150537637,0.5512741935483871,0.46774193548387094,0.5,2,6,0.09836065573770492,1,0.03125
"2020-12-27","BKN",103,106,33,62,0.532258064516129,10,34,0.29411764705882354,0.29411764705882354,10,52,14,27,3,0.7878787878787878,0.8125,0.9,0.3541666666666667,0.5308890625,0.5,0.5096153846153846,2,5,0.08064516129032258,0,0
"2020-12-30","DAL",100,118,28,50,0.56,15,34,0.4411764705882353,0.4411764705882353,17,32,24,42,3,0.5714285714285714,0.6153846153846154,0.9333333333333333,0.40476190476190477,0.5069910714285714,0.6011904761904762,0.6290322580645161,4,6,0.12,0,0
"2021-01-01","MEM",100,93,26,55,0.4727272727272727,9,31,0.2903225806451613,0.2903225806451613,14,34,18,18,9,0.6538461538461539,0.68,0.6666666666666666,0.36046511627906974,0.5389226744186046,0.45930232558139533,0.4842105263157895,2,6,0.10909090909090909,0,0
"2021-01-02","PHI",103,112,25,57,0.43859649122807015,13,35,0.37142857142857144,0.37142857142857144,23,42,8,39,0,0.84,0.875,1,0.3804347826086957,0.5484983695652174,0.483695652173913,0.5336538461538461,2,7,0.12280701754385964,0,0
"2021-01-04","PHI",101,101,23,47,0.48936170212765956,13,39,0.3333333333333333,0.3333333333333333,16,40,6,30,9,0.8695652173913043,0.9090909090909091,0.7692307692307693,0.45348837209302323,0.5488441860465116,0.4941860465116279,0.5260416666666666,2,5,0.10638297872340426,0,0
"2021-01-06","ATL",100,102,21,49,0.42857142857142855,11,36,0.3055555555555556,0.3142857142857143,27,24,18,30,3,0.5714285714285714,0.631578947368421,0.9090909090909091,0.4235294117647059,0.5666047619047619,0.4411764705882353,0.51,4,1,0.02040816326530612,0,0
"2021-01-08","NOP",96,118,25,45,0.5555555555555556,16,42,0.38095238095238093,0.38095238095238093,20,36,14,45,3,0.72,0.782608695652174,0.9375,0.4827586206896552,0.5567994252873563,0.5632183908045977,0.5959595959595959,4,4,0.08888888888888889,0,0
"2021-01-09","ATL",97,113,25,44,0.5681818181818182,15,33,0.45454545454545453,0.45454545454545453,18,28,22,39,6,0.56,0.56,0.8666666666666667,0.42857142857142855,0.5473694805194805,0.6168831168831169,0.6363636363636364,0,4,0.09090909090909091,0,0
"2021-01-11","NYK",91,109,25,46,0.5434782608695652,13,32,0.40625,0.40625,20,34,16,33,6,0.68,0.68,0.8461538461538461,0.41025641025641024,0.5264089743589744,0.5705128205128205,0.6149425287356322,0,6,0.13043478260869565,0,0
"2021-01-13","DAL",96,93,28,62,0.45161290322580644,10,38,0.2631578947368421,0.2702702702702703,7,34,22,27,3,0.6071428571428571,0.68,0.9,0.38,0.5391262626262626,0.43,0.4386792452830189,6,12,0.1935483870967742,0,0
"2021-01-14","TOR",96,108,27,52,0.5192307692307693,15,35,0.42857142857142855,0.42857142857142855,9,34,20,45,0,0.6296296296296297,0.68,1,0.40229885057471265,0.47889244186046515,0.5689655172413793,0.5806451612903226,4,6,0.11538461538461539,0,0
"2021-01-16","TOR",101,113,23,51,0.45098039215686275,15,36,0.4166666666666667,0.4166666666666667,22,26,20,39,6,0.5652173913043478,0.5909090909090909,0.8666666666666667,0.41379310344827586,0.5091166666666667,0.5229885057471264,0.565,2,7,0.13725490196078433,1,0.027777777777777776
"2021-01-22","CHI",101,110,35,53,0.660377358490566,7,32,0.21875,0.22580645161290322,19,34,36,15,6,0.4857142857142857,0.5,0.7142857142857143,0.3764705882352941,0.5240738095238096,0.5352941176470588,0.5789473684210527,2,4,0.07547169811320754,0,0
"2021-01-24","ORL",96,107,28,52,0.5384615384615384,14,36,0.3888888888888889,0.3888888888888889,9,34,22,33,9,0.6071428571428571,0.6071428571428571,0.7857142857142857,0.4090909090909091,0.4773289772727273,0.5568181818181818,0.5638297872340425,0,4,0.07692307692307693,0,0
"2021-01-25","ORL",101,108,28,51,0.5490196078431373,11,38,0.2894736842105263,0.2894736842105263,19,28,28,24,9,0.5,0.5384615384615384,0.7272727272727273,0.42696629213483145,0.536638202247191,0.5,0.5346534653465347,4,2,0.0392156862745098,1,0.02631578947368421
"2021-01-27","IND",94,106,24,52,0.46153846153846156,13,38,0.34210526315789475,0.35135135135135137,19,30,18,39,0,0.625,0.7142857142857143,1,0.4222222222222222,0.5340314606741573,0.48333333333333334,0.53,6,8,0.15384615384615385,1,0.02631578947368421
"2021-01-29","IND",97,108,27,48,0.5625,16,37,0.43243243243243246,0.43243243243243246,6,40,14,45,3,0.7407407407407407,0.7692307692307693,0.9375,0.43529411764705883,0.5555241176470588,0.6,0.6067415730337079,2,4,0.08333333333333333,0,0
"2021-01-30","MIL",98,126,23,48,0.4791666666666667,21,44,0.4772727272727273,0.4772727272727273,17,30,16,51,12,0.6521739130434783,0.7142857142857143,0.8095238095238095,0.4782608695652174,0.5175571428571429,0.592391304347826,0.62,4,6,0.125,0,0
"2021-02-01","MIA",106,129,22,54,0.4074074074074074,21,41,0.5121951219512195,0.5121951219512195,22,26,18,54,9,0.5909090909090909,0.6190476190476191,0.8571428571428571,0.43157894736842106,0.5000442105263158,0.5631578947368421,0.602803738317757,2,7,0.12962962962962962,0,0
"2021-02-03","PHI",102,111,25,50,0.5,14,37,0.3783783783783784,0.3783783783783784,19,28,22,42,0,0.56,0.5833333333333334,1,0.42528735632183906,0.544916091954023,0.5287356321839081,0.5721649484536082,2,4,0.08,2,0.05405405405405406
"2021-02-05","UTA",103,121,37,69,0.5362318840579711,11,35,0.3142857142857143,0.3142857142857143,14,40,34,18,15,0.5405405405405406,0.625,0.5454545454545454,0.33653846153846156,0.5400259615384615,0.5144230769230769,0.5401785714285714,10,9,0.13043478260869565,0,0
"2021-02-07","WAS",100,119,27,63,0.42857142857142855,15,36,0.4166666666666667,0.4166666666666667,20,18,36,36,9,0.3333333333333333,0.375,0.8,0.36363636363636365,0.5417055555555556,0.5,0.5318181818181819,6,5,0.07936507936507936,0,0
"2021-02-08","HOU",97,119,25,49,0.5102040816326531,19,41,0.4634146341463415,0.475,12,26,24,45,12,0.52,0.5909090909090909,0.7894736842105263,0.45555555555555555,0.543658988764045,0.5944444444444444,0.6197916666666666,6,4,0.08163265306122448,0,0
"2021-02-10","MEM",98,114,31,53,0.5849056603773585,14,29,0.4827586206896552,0.4827586206896552,10,28,34,27,15,0.45161290322580644,0.5,0.6428571428571429,0.35365853658536583,0.5209591463414633,0.6341463414634146,0.6551724137931034,6,2,0.03773584905660377,0,0
"2021-02-12","MIN",102,120,31,54,0.5740740740740741,13,36,0.3611111111111111,0.3611111111111111,19,24,38,24,15,0.3870967741935484,0.42857142857142855,0.6153846153846154,0.4,0.5610888888888889,0.5611111111111111,0.6185567010309279,6,4,0.07407407407407407,0,0
"2021-02-14","SAS",102,110,33,61,0.5409836065573771,12,34,0.35294117647058826,0.35294117647058826,8,26,40,30,6,0.3939393939393939,0.43333333333333335,0.8333333333333334,0.35789473684210527,0.541183510638298,0.5368421052631579,0.5555555555555556,6,4,0.06557377049180328,0,0
