"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2020-12-23","CLE",102,121,32,57,0.5614035087719298,14,30,0.4666666666666667,0.4666666666666667,15,44,20,36,6,0.6875,0.6875,0.8571428571428571,0.3448275862068966,0.5654383720930233,0.6091954022988506,0.6329787234042553,0,4,0.07017543859649122,0,0
"2020-12-26","OKC",104,109,30,52,0.5769230769230769,10,36,0.2777777777777778,0.2777777777777778,19,34,26,24,6,0.5666666666666667,0.6296296296296297,0.8,0.4090909090909091,0.5359488636363636,0.5113636363636364,0.5505050505050505,6,8,0.15384615384615385,0,0
"2020-12-27","BKN",103,104,18,35,0.5142857142857142,17,47,0.3617021276595745,0.3617021276595745,17,14,22,48,3,0.3888888888888889,0.4117647058823529,0.9411764705882353,0.573170731707317,0.5247682926829268,0.5304878048780488,0.5531914893617021,2,2,0.05714285714285714,1,0.02127659574468085
"2020-12-30","DAL",100,99,22,45,0.4888888888888889,12,42,0.2857142857142857,0.2857142857142857,19,24,20,36,0,0.5454545454545454,0.5714285714285714,1,0.4827586206896552,0.5279224137931035,0.45977011494252873,0.4852941176470588,2,6,0.13333333333333333,0,0
"2021-01-01","MEM",98,108,29,51,0.5686274509803921,14,39,0.358974358974359,0.3684210526315789,8,42,16,39,3,0.7241379310344828,0.7777777777777778,0.9285714285714286,0.43333333333333335,0.5554185393258427,0.5555555555555556,0.5684210526315789,4,4,0.0784313725490196,0,0
"2021-01-02","PHI",102,127,31,44,0.7045454545454546,16,35,0.45714285714285713,0.45714285714285713,17,38,24,48,0,0.6129032258064516,0.6333333333333333,1,0.4430379746835443,0.5390202531645569,0.6962025316455697,0.7078651685393258,2,5,0.11363636363636363,0,0
"2021-01-04","PHI",102,118,35,63,0.5555555555555556,11,32,0.34375,0.34375,15,48,22,30,3,0.6857142857142857,0.8,0.9090909090909091,0.3368421052631579,0.5451794736842106,0.5421052631578948,0.5619047619047619,10,4,0.06349206349206349,0,0
"2021-01-06","ATL",99,94,29,56,0.5178571428571429,7,40,0.175,0.175,15,36,22,21,0,0.6206896551724138,0.75,1,0.4166666666666667,0.5808984375,0.4114583333333333,0.4519230769230769,10,7,0.125,0,0
"2021-01-08","NOP",97,110,23,39,0.5897435897435898,15,38,0.39473684210526316,0.39473684210526316,19,32,14,39,6,0.6956521739130435,0.8421052631578947,0.8666666666666667,0.4935064935064935,0.5735118421052632,0.5909090909090909,0.625,8,4,0.10256410256410256,0,0
"2021-01-09","ATL",95,105,20,44,0.45454545454545453,14,45,0.3111111111111111,0.3111111111111111,23,24,16,39,3,0.6,0.7058823529411765,0.9285714285714286,0.5056179775280899,0.5580921348314607,0.4606741573033708,0.5098039215686274,6,7,0.1590909090909091,0,0
"2021-01-11","NYK",90,88,25,50,0.5,9,37,0.24324324324324326,0.24324324324324326,11,26,24,21,6,0.52,0.5909090909090909,0.7777777777777778,0.42528735632183906,0.5658580459770115,0.4425287356321839,0.46808510638297873,6,8,0.16,0,0
"2021-01-13","DAL",97,104,25,50,0.5,15,46,0.32608695652173914,0.32608695652173914,9,22,28,33,12,0.44,0.4782608695652174,0.7333333333333333,0.4791666666666667,0.5350786458333333,0.4947916666666667,0.5,4,6,0.12,1,0.021739130434782608
"2021-01-14","TOR",96,111,20,38,0.5263157894736842,20,50,0.4,0.4,11,30,10,54,6,0.75,0.8333333333333334,0.9,0.5681818181818182,0.5185545454545455,0.5681818181818182,0.5904255319148937,4,5,0.13157894736842105,0,0
"2021-01-16","TOR",101,116,15,37,0.40540540540540543,21,49,0.42857142857142855,0.42857142857142855,23,16,14,60,3,0.5333333333333333,0.5714285714285714,0.9523809523809523,0.5697674418604651,0.5074087209302326,0.5406976744186046,0.5858585858585859,2,5,0.13513513513513514,0,0
"2021-01-22","CHI",101,123,34,53,0.6415094339622641,15,43,0.3488372093023256,0.3488372093023256,10,38,30,42,3,0.5588235294117647,0.6129032258064516,0.9333333333333333,0.4479166666666667,0.5698838541666666,0.5885416666666666,0.605,6,1,0.018867924528301886,0,0
"2021-01-24","ORL",94,104,22,49,0.4489795918367347,17,38,0.4473684210526316,0.4473684210526316,9,24,20,45,6,0.5454545454545454,0.5714285714285714,0.8823529411764706,0.4367816091954023,0.47581091954022986,0.5459770114942529,0.5591397849462365,2,5,0.10204081632653061,0,0
"2021-01-25","ORL",101,117,23,51,0.45098039215686275,19,37,0.5135135135135135,0.5277777777777778,14,28,18,51,6,0.6086956521739131,0.6666666666666666,0.8947368421052632,0.42045454545454547,0.5349074712643678,0.5852272727272727,0.5969387755102041,4,6,0.11764705882352941,0,0
"2021-01-27","IND",95,116,29,48,0.6041666666666666,16,40,0.4,0.4,10,40,18,42,6,0.6896551724137931,0.8,0.875,0.45454545454545453,0.5624011363636364,0.6022727272727273,0.6182795698924731,8,3,0.0625,0,0
"2021-01-29","IND",98,105,31,52,0.5961538461538461,11,35,0.3142857142857143,0.3142857142857143,10,40,22,30,3,0.6451612903225806,0.7407407407407407,0.9090909090909091,0.40229885057471265,0.5497637931034483,0.5459770114942529,0.5645161290322581,8,5,0.09615384615384616,0,0
"2021-01-30","MIL",99,114,22,37,0.5945945945945946,18,45,0.4,0.4,16,14,30,45,9,0.3181818181818182,0.3888888888888889,0.8333333333333334,0.5487804878048781,0.5496768292682928,0.5975609756097561,0.6129032258064516,8,5,0.13513513513513514,0,0
"2021-02-01","MIA",107,121,24,45,0.5333333333333333,19,46,0.41304347826086957,0.41304347826086957,16,20,28,54,3,0.4166666666666667,0.45454545454545453,0.9473684210526315,0.5054945054945055,0.5204554945054944,0.5769230769230769,0.587378640776699,4,3,0.06666666666666667,1,0.021739130434782608
"2021-02-03","PHI",102,118,31,55,0.5636363636363636,10,24,0.4166666666666667,0.4166666666666667,26,26,36,30,0,0.41935483870967744,0.4482758620689655,1,0.3037974683544304,0.5187208860759494,0.5822784810126582,0.6290322580645161,4,4,0.07272727272727272,0,0
"2021-02-05","UTA",103,138,22,37,0.5945945945945946,26,50,0.52,0.52,16,18,26,69,9,0.4090909090909091,0.45,0.8846153846153846,0.5747126436781609,0.5609086206896552,0.7011494252873564,0.7263157894736842,4,2,0.05405405405405406,0,0
"2021-02-07","WAS",101,97,25,50,0.5,9,40,0.225,0.225,20,28,22,24,3,0.56,0.5833333333333334,0.8888888888888888,0.4444444444444444,0.5475038888888889,0.42777777777777776,0.46601941747572817,2,6,0.12,0,0
"2021-02-08","HOU",96,94,22,39,0.5641025641025641,13,47,0.2765957446808511,0.2765957446808511,11,22,22,27,12,0.5,0.5789473684210527,0.6923076923076923,0.5465116279069767,0.5592069767441861,0.48255813953488375,0.5053763440860215,6,6,0.15384615384615385,0,0
"2021-02-10","MEM",97,130,24,45,0.5333333333333333,23,49,0.46938775510204084,0.46938775510204084,13,24,24,66,3,0.5,0.631578947368421,0.9565217391304348,0.5212765957446809,0.5591420212765957,0.6223404255319149,0.6310679611650486,10,3,0.06666666666666667,1,0.02040816326530612
"2021-02-12","MIN",102,114,29,58,0.5,16,41,0.3902439024390244,0.3902439024390244,8,30,28,39,9,0.5172413793103449,0.5555555555555556,0.8125,0.41414141414141414,0.5545707070707071,0.5353535353535354,0.5380952380952381,4,3,0.05172413793103448,0,0
"2021-02-14","SAS",100,122,38,62,0.6129032258064516,10,34,0.29411764705882354,0.29411764705882354,16,44,32,27,3,0.5789473684210527,0.6111111111111112,0.9,0.3541666666666667,0.5244166666666666,0.5520833333333334,0.587378640776699,4,6,0.0967741935483871,0,0
"2021-02-20","GSW",97,100,24,46,0.5217391304347826,13,39,0.3333333333333333,0.3333333333333333,13,22,26,36,3,0.4583333333333333,0.5238095238095238,0.9230769230769231,0.4588235294117647,0.55147,0.5117647058823529,0.532258064516129,6,2,0.043478260869565216,0,0
"2021-02-22","UTA",106,132,17,30,0.5666666666666667,28,55,0.509090909090909,0.509090909090909,14,20,14,72,12,0.5882352941176471,0.625,0.8571428571428571,0.6470588235294118,0.5247829411764706,0.6941176470588235,0.7119565217391305,2,2,0.06666666666666667,0,0
"2021-02-24","PHX",103,121,30,49,0.6122448979591837,14,38,0.3684210526315789,0.3783783783783784,19,30,30,33,9,0.5,0.5357142857142857,0.7857142857142857,0.4367816091954023,0.5458668604651162,0.5862068965517241,0.6071428571428571,4,5,0.10204081632653061,0,0
"2021-02-26","GSW",109,130,37,55,0.6727272727272727,11,24,0.4583333333333333,0.5,23,58,16,27,6,0.7837837837837838,0.8055555555555556,0.8181818181818182,0.3037974683544304,0.5077649350649351,0.6772151898734177,0.7166666666666667,2,1,0.01818181818181818,0,0
"2021-02-28","SAC",96,126,34,56,0.6071428571428571,16,36,0.4444444444444444,0.45714285714285713,10,32,36,48,0,0.47058823529411764,0.5161290322580645,1,0.391304347826087,0.520445054945055,0.6304347826086957,0.6313131313131313,6,5,0.08928571428571429,1,0.027777777777777776
"2021-03-01","POR",97,123,22,40,0.55,24,46,0.5217391304347826,0.5217391304347826,7,20,24,48,24,0.45454545454545453,0.5555555555555556,0.6666666666666666,0.5348837209302325,0.5148641176470589,0.6744186046511628,0.6833333333333333,8,4,0.1,1,0.021739130434782608
"2021-03-03","MIN",109,102,30,56,0.5357142857142857,9,40,0.225,0.225,15,34,26,24,3,0.5666666666666667,0.6296296296296297,0.8888888888888888,0.4166666666666667,0.5942984375,0.453125,0.49038461538461536,6,4,0.07142857142857142,3,0.075
"2021-03-11","DET",94,102,23,39,0.5897435897435898,15,46,0.32608695652173914,0.32608695652173914,11,26,20,42,3,0.5652173913043478,0.5909090909090909,0.9333333333333333,0.5411764705882353,0.5637470588235294,0.5352941176470588,0.5604395604395604,2,3,0.07692307692307693,0,0
"2021-03-13","TOR",105,104,22,50,0.44,15,46,0.32608695652173914,0.32608695652173914,15,24,20,39,6,0.5454545454545454,0.631578947368421,0.8666666666666667,0.4791666666666667,0.5783010416666666,0.4635416666666667,0.4951923076923077,6,6,0.12,0,0
"2021-03-15","SAC",101,116,39,55,0.7090909090909091,9,31,0.2903225806451613,0.2903225806451613,11,40,38,24,3,0.5128205128205128,0.5263157894736842,0.8888888888888888,0.36046511627906974,0.5542029069767442,0.6104651162790697,0.6182795698924731,2,3,0.05454545454545454,0,0
"2021-03-17","DEN",101,129,36,46,0.782608695652174,16,44,0.36363636363636365,0.36363636363636365,9,44,28,45,3,0.6111111111111112,0.6875,0.9375,0.4888888888888889,0.5287404494382022,0.6666666666666666,0.6789473684210526,8,1,0.021739130434782608,0,0
"2021-03-18","LAL",101,116,31,53,0.5849056603773585,13,39,0.3333333333333333,0.3333333333333333,15,24,38,33,6,0.3870967741935484,0.4444444444444444,0.8461538461538461,0.42391304347826086,0.5254125,0.5489130434782609,0.5686274509803921,8,8,0.1509433962264151,0,0
"2021-03-20","LAC",94,125,33,52,0.6346153846153846,12,34,0.35294117647058826,0.35294117647058826,23,34,32,27,9,0.5151515151515151,0.5483870967741935,0.75,0.3953488372093023,0.5365029069767442,0.5930232558139535,0.6578947368421053,4,4,0.07692307692307693,0,0
"2021-03-22","SAS",92,97,25,46,0.5434782608695652,11,32,0.34375,0.34375,14,12,38,33,0,0.24,0.25,1,0.41025641025641024,0.47874551282051275,0.532051282051282,0.5647058823529412,2,7,0.15217391304347827,0,0
"2021-03-24","HOU",93,97,17,37,0.4594594594594595,16,49,0.32653061224489793,0.3333333333333333,15,20,14,42,6,0.5882352941176471,0.6666666666666666,0.875,0.5697674418604651,0.5278852941176471,0.47674418604651164,0.5,4,2,0.05405405405405406,1,0.02040816326530612
"2021-03-26","MIA",93,105,25,44,0.5681818181818182,15,43,0.3488372093023256,0.3488372093023256,10,28,22,42,3,0.56,0.56,0.9333333333333333,0.4942528735632184,0.5272137931034483,0.5459770114942529,0.546875,0,6,0.13636363636363635,1,0.023255813953488372
"2021-03-28","PHX",97,101,26,56,0.4642857142857143,8,40,0.2,0.2,25,20,32,21,3,0.38461538461538464,0.45454545454545453,0.875,0.4166666666666667,0.5252687500000001,0.3958333333333333,0.45871559633027525,8,3,0.05357142857142857,0,0
"2021-03-30","WAS",101,104,31,63,0.49206349206349204,10,37,0.2702702702702703,0.2702702702702703,12,28,34,24,6,0.45161290322580644,0.5185185185185185,0.8,0.37,0.493947,0.46,0.4951923076923077,8,6,0.09523809523809523,0,0
"2021-04-01","BKN",94,111,24,46,0.5217391304347826,20,45,0.4444444444444444,0.4444444444444444,3,28,20,60,0,0.5833333333333334,0.6086956521739131,1,0.4945054945054945,0.5341802197802198,0.5934065934065934,0.5967741935483871,2,5,0.10869565217391304,0,0
"2021-04-02","IND",102,97,28,49,0.5714285714285714,10,33,0.30303030303030304,0.30303030303030304,11,38,18,30,0,0.6785714285714286,0.7037037037037037,1,0.4024390243902439,0.5584902439024391,0.524390243902439,0.5333333333333333,2,3,0.061224489795918366,0,0
"2021-04-04","BOS",90,116,22,40,0.55,21,54,0.3888888888888889,0.3888888888888889,9,22,22,54,9,0.5,0.55,0.8571428571428571,0.574468085106383,0.5220393617021276,0.5691489361702128,0.5858585858585859,4,3,0.075,2,0.037037037037037035
"2021-04-07","OKC",102,102,21,44,0.4772727272727273,16,41,0.3902439024390244,0.3902439024390244,12,28,14,45,3,0.6666666666666666,0.7368421052631579,0.9375,0.4823529411764706,0.5507217647058823,0.5294117647058824,0.5489130434782609,4,5,0.11363636363636363,0,0
"2021-04-09","MIL",108,119,30,60,0.5,14,38,0.3684210526315789,0.3684210526315789,17,22,38,36,6,0.36666666666666664,0.4230769230769231,0.8571428571428571,0.3877551020408163,0.5211576530612245,0.5204081632653061,0.5509259259259259,8,10,0.16666666666666666,0,0
"2021-04-11","ATL",89,105,21,45,0.4666666666666667,17,39,0.4358974358974359,0.4473684210526316,12,26,16,42,9,0.6190476190476191,0.65,0.8235294117647058,0.4642857142857143,0.5219210843373494,0.5535714285714286,0.5714285714285714,2,5,0.1111111111111111,0,0
"2021-04-13","LAL",89,101,18,38,0.47368421052631576,16,44,0.36363636363636365,0.36363636363636365,17,18,18,45,3,0.5,0.5625,0.9375,0.5365853658536586,0.5277670731707317,0.5121951219512195,0.5617977528089888,4,2,0.05263157894736842,1,0.022727272727272728
"2021-04-14","CLE",90,103,24,45,0.5333333333333333,13,31,0.41935483870967744,0.41935483870967744,16,32,16,33,6,0.6666666666666666,0.6956521739130435,0.8461538461538461,0.40789473684210525,0.5404763157894736,0.5723684210526315,0.6130952380952381,2,5,0.1111111111111111,0,0
"2021-04-16","BKN",101,130,26,44,0.5909090909090909,21,41,0.5121951219512195,0.5121951219512195,15,36,16,51,12,0.6923076923076923,0.75,0.8095238095238095,0.4823529411764706,0.5601352941176471,0.6764705882352942,0.7222222222222222,4,3,0.06818181818181818,0,0
"2021-04-18","POR",95,101,26,55,0.4727272727272727,10,36,0.2777777777777778,0.2777777777777778,19,20,32,24,6,0.38461538461538464,0.43478260869565216,0.8,0.3956043956043956,0.5478186813186814,0.45054945054945056,0.4854368932038835,6,7,0.12727272727272726,1,0.027777777777777776
"2021-04-20","NYK",87,109,22,38,0.5789473684210527,18,45,0.4,0.4186046511627907,11,12,32,48,6,0.2727272727272727,0.3,0.8888888888888888,0.5421686746987951,0.5155598765432099,0.5903614457831325,0.6136363636363636,4,2,0.05263157894736842,1,0.022222222222222223
"2021-04-22","CHI",96,108,29,44,0.6590909090909091,14,43,0.32558139534883723,0.32558139534883723,8,34,24,39,3,0.5862068965517241,0.6538461538461539,0.9285714285714286,0.4942528735632184,0.5557281609195402,0.5747126436781609,0.5934065934065934,6,3,0.06818181818181818,0,0
"2021-04-23","CLE",89,102,31,50,0.62,10,30,0.3333333333333333,0.3333333333333333,10,38,24,24,6,0.6129032258064516,0.6785714285714286,0.8,0.375,0.5609625,0.575,0.5872093023255814,6,1,0.02,0,0
"2021-04-25","BOS",97,104,20,47,0.425531914893617,14,41,0.34146341463414637,0.35,22,10,30,39,3,0.25,0.2777777777777778,0.9285714285714286,0.4659090909090909,0.5554206896551723,0.4659090909090909,0.52,4,8,0.1702127659574468,0,0
"2021-04-27","MIL",104,114,38,58,0.6551724137931034,9,35,0.2571428571428571,0.2571428571428571,11,42,34,21,6,0.5526315789473685,0.5675675675675675,0.7777777777777778,0.3763440860215054,0.5491736559139785,0.553763440860215,0.5757575757575758,2,6,0.10344827586206896,1,0.02857142857142857
"2021-04-28","BOS",96,120,29,52,0.5576923076923077,15,40,0.375,0.375,17,26,32,39,6,0.4482758620689655,0.5,0.8666666666666667,0.43478260869565216,0.5083027472527473,0.5597826086956522,0.5825242718446602,6,5,0.09615384615384616,0,0
"2021-05-01","DET",95,94,22,54,0.4074074074074074,13,37,0.35135135135135137,0.3611111111111111,11,30,14,36,3,0.6818181818181818,0.7894736842105263,0.9230769230769231,0.4065934065934066,0.5344616666666667,0.45604395604395603,0.4845360824742268,6,13,0.24074074074074073,2,0.05405405405405406
"2021-05-02","MIA",96,121,34,50,0.68,11,38,0.2894736842105263,0.2972972972972973,20,38,30,33,0,0.5588235294117647,0.6129032258064516,1,0.4318181818181818,0.5638913793103448,0.5738636363636364,0.6173469387755102,6,0,0,1,0.02631578947368421
"2021-05-04","DET",92,99,30,53,0.5660377358490566,9,32,0.28125,0.28125,12,24,36,27,0,0.4,0.4444444444444444,1,0.3764705882352941,0.5270064705882352,0.5117647058823529,0.5268817204301075,6,5,0.09433962264150944,0,0
