"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2020-12-23","ATL",105,104,28,52,0.5384615384615384,8,35,0.22857142857142856,0.22857142857142856,24,24,32,24,0,0.42857142857142855,0.5,1,0.40229885057471265,0.5446,0.45977011494252873,0.5148514851485149,8,3,0.057692307692307696,0,0
"2020-12-26","IND",106,106,18,52,0.34615384615384615,16,39,0.41025641025641024,0.42105263157894735,22,18,18,42,6,0.5,0.5625,0.875,0.42857142857142855,0.5378288888888889,0.46153846153846156,0.5196078431372549,4,4,0.07692307692307693,0,0
"2020-12-27","GSW",112,128,27,45,0.6,17,41,0.4146341463414634,0.4473684210526316,23,26,28,42,9,0.48148148148148145,0.5,0.8235294117647058,0.47674418604651164,0.5417156626506024,0.6104651162790697,0.635,2,4,0.08888888888888889,0,0
"2020-12-29","WAS",108,115,23,51,0.45098039215686275,15,36,0.4166666666666667,0.4166666666666667,24,28,18,36,9,0.6086956521739131,0.6363636363636364,0.8,0.41379310344827586,0.48585114942528734,0.5229885057471264,0.5637254901960784,2,5,0.09803921568627451,1,0.027777777777777776
"2020-12-31","WAS",103,133,36,56,0.6428571428571429,14,36,0.3888888888888889,0.3888888888888889,19,40,32,42,0,0.5555555555555556,0.5714285714285714,1,0.391304347826087,0.4627695652173913,0.6195652173913043,0.6565656565656566,2,3,0.05357142857142857,1,0.027777777777777776
"2021-01-01","MIL",110,96,32,61,0.5245901639344263,6,26,0.23076923076923078,0.23076923076923078,14,24,40,18,0,0.375,0.4,1,0.2988505747126437,0.5126735632183909,0.47126436781609193,0.4947916666666667,4,6,0.09836065573770492,0,0
"2021-01-03","DAL",100,118,26,48,0.5416666666666666,13,37,0.35135135135135137,0.35135135135135137,27,20,32,18,21,0.38461538461538464,0.45454545454545453,0.46153846153846156,0.43529411764705883,0.5330382352941176,0.5352941176470588,0.6020408163265306,8,4,0.08333333333333333,0,0
"2021-01-05","POR",98,111,24,50,0.48,16,41,0.3902439024390244,0.3902439024390244,15,28,20,39,9,0.5833333333333334,0.6363636363636364,0.8125,0.45054945054945056,0.5345054945054946,0.5274725274725275,0.5612244897959183,4,3,0.06,0,0
"2021-01-06","SAC",98,124,35,53,0.660377358490566,14,40,0.35,0.358974358974359,12,32,38,33,9,0.45714285714285713,0.47058823529411764,0.7857142857142857,0.43010752688172044,0.5075646739130435,0.6021505376344086,0.6262626262626263,2,2,0.03773584905660377,1,0.025
"2021-01-08","LAL",95,115,36,65,0.5538461538461539,10,26,0.38461538461538464,0.38461538461538464,13,40,32,18,12,0.5555555555555556,0.6451612903225806,0.6,0.2857142857142857,0.5116604395604396,0.5604395604395604,0.5989583333333334,10,8,0.12307692307692308,0,0
"2021-01-10","LAC",102,127,29,44,0.6590909090909091,18,33,0.5454545454545454,0.5454545454545454,15,36,22,36,18,0.6206896551724138,0.6428571428571429,0.6666666666666666,0.42857142857142855,0.5094357142857143,0.7272727272727273,0.7559523809523809,2,5,0.11363636363636363,0,0
"2021-01-15","OKC",115,125,22,45,0.4888888888888889,21,46,0.45652173913043476,0.45652173913043476,18,26,18,42,21,0.5909090909090909,0.65,0.6666666666666666,0.5054945054945055,0.4981263736263737,0.5879120879120879,0.6127450980392157,4,2,0.044444444444444446,0,0
"2021-01-17","DAL",103,117,36,60,0.6,7,25,0.28,0.2916666666666667,24,50,22,21,0,0.6944444444444444,0.7142857142857143,1,0.29411764705882354,0.5052451807228916,0.5470588235294118,0.5909090909090909,2,2,0.03333333333333333,0,0
"2021-01-18","HOU",106,125,23,47,0.48936170212765956,20,45,0.4444444444444444,0.4444444444444444,19,18,28,42,18,0.391304347826087,0.42857142857142855,0.7,0.4891304347826087,0.5363131868131867,0.5760869565217391,0.6138613861386139,4,1,0.02127659574468085,0,0
"2021-01-22","CHA",101,123,34,53,0.6415094339622641,15,43,0.3488372093023256,0.3488372093023256,10,38,30,42,3,0.5588235294117647,0.6129032258064516,0.9333333333333333,0.4479166666666667,0.5698838541666666,0.5885416666666666,0.605,6,1,0.018867924528301886,0,0
