"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2020-12-23","ATL",106,124,29,45,0.6444444444444445,14,35,0.4,0.4,24,32,26,24,18,0.5517241379310345,0.5925925925925926,0.5714285714285714,0.4375,0.565523125,0.625,0.6813186813186813,4,3,0.06666666666666667,0,0
"2020-12-26","IND",107,125,43,67,0.6417910447761194,9,26,0.34615384615384615,0.34615384615384615,12,50,36,27,0,0.5813953488372093,0.6578947368421053,1,0.27956989247311825,0.568810752688172,0.6075268817204301,0.6138613861386139,10,7,0.1044776119402985,0,0
"2020-12-27","GSW",114,129,24,57,0.42105263157894735,18,47,0.3829787234042553,0.3829787234042553,27,20,28,45,9,0.4166666666666667,0.5,0.8333333333333334,0.4519230769230769,0.5581004807692308,0.49038461538461536,0.5512820512820513,8,6,0.10526315789473684,0,0
"2020-12-29","WAS",108,107,27,47,0.574468085106383,10,37,0.2702702702702703,0.2702702702702703,23,30,24,30,0,0.5555555555555556,0.5555555555555556,1,0.44047619047619047,0.4848571428571429,0.5,0.5631578947368421,0,1,0.02127659574468085,0,0
"2020-12-31","WAS",103,130,28,55,0.509090909090909,14,29,0.4827586206896552,0.4827586206896552,32,26,30,42,0,0.4642857142857143,0.5652173913043478,1,0.34523809523809523,0.47437380952380953,0.5833333333333334,0.6386138613861386,10,3,0.05454545454545454,0,0
"2021-01-01","MIL",109,126,20,40,0.5,22,45,0.4888888888888889,0.4888888888888889,20,16,24,57,9,0.4,0.4,0.8636363636363636,0.5294117647058824,0.5206405882352941,0.6235294117647059,0.6363636363636364,0,6,0.15,0,0
"2021-01-03","DAL",100,108,28,47,0.5957446808510638,11,42,0.2619047619047619,0.2619047619047619,19,30,26,24,9,0.5357142857142857,0.5769230769230769,0.7272727272727273,0.47191011235955055,0.5331561797752808,0.5,0.5346534653465347,4,2,0.0425531914893617,0,0
"2021-01-05","POR",99,108,20,43,0.46511627906976744,19,51,0.37254901960784315,0.37254901960784315,11,26,14,30,27,0.65,0.7222222222222222,0.5263157894736842,0.5425531914893617,0.5400335106382979,0.5159574468085106,0.5294117647058824,4,5,0.11627906976744186,0,0
"2021-01-06","SAC",97,128,33,54,0.6111111111111112,14,37,0.3783783783783784,0.3888888888888889,20,32,34,42,0,0.48484848484848486,0.5714285714285714,1,0.4065934065934066,0.5357616666666667,0.5934065934065934,0.616504854368932,10,2,0.037037037037037035,0,0
"2021-01-08","LAL",97,117,29,52,0.5576923076923077,12,29,0.41379310344827586,0.41379310344827586,23,20,38,33,3,0.3448275862068966,0.37037037037037035,0.9166666666666666,0.35802469135802467,0.49848518518518514,0.5802469135802469,0.6304347826086957,4,3,0.057692307692307696,0,0
"2021-01-10","LAC",100,130,25,54,0.46296296296296297,20,38,0.5263157894736842,0.5263157894736842,20,16,34,60,0,0.32,0.36363636363636365,1,0.41304347826086957,0.5309967391304348,0.5978260869565217,0.6310679611650486,6,2,0.037037037037037035,0,0
"2021-01-15","OKC",115,127,33,60,0.55,15,45,0.3333333333333333,0.3333333333333333,16,28,38,36,9,0.42424242424242425,0.4375,0.8,0.42857142857142855,0.5029333333333333,0.5285714285714286,0.5521739130434783,2,8,0.13333333333333333,0,0
"2021-01-17","DAL",105,101,33,62,0.532258064516129,8,31,0.25806451612903225,0.26666666666666666,11,30,36,9,15,0.45454545454545453,0.5172413793103449,0.375,0.3333333333333333,0.5366157608695652,0.4838709677419355,0.505,8,5,0.08064516129032258,1,0.03225806451612903
"2021-01-18","HOU",106,120,29,48,0.6041666666666666,17,40,0.425,0.425,11,22,36,42,9,0.3793103448275862,0.3793103448275862,0.8235294117647058,0.45454545454545453,0.5875295454545454,0.6193181818181818,0.631578947368421,0,3,0.0625,0,0
"2021-01-22","CHA",101,110,35,53,0.660377358490566,7,32,0.21875,0.22580645161290322,19,34,36,15,6,0.4857142857142857,0.5,0.7142857142857143,0.3764705882352941,0.5240738095238096,0.5352941176470588,0.5789473684210527,2,4,0.07547169811320754,0,0
"2021-01-23","LAL",103,101,32,60,0.5333333333333333,4,19,0.21052631578947367,0.21052631578947367,25,32,32,12,0,0.5,0.5,1,0.24050632911392406,0.5449575949367089,0.4810126582278481,0.5489130434782609,0,1,0.016666666666666666,0,0
"2021-01-25","BOS",100,119,29,58,0.5,15,29,0.5172413793103449,0.5172413793103449,16,28,30,42,3,0.4827586206896552,0.5,0.9333333333333333,0.3333333333333333,0.5494005747126437,0.5919540229885057,0.6263157894736842,2,7,0.1206896551724138,0,0
