"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2020-12-23","CHA",102,121,32,57,0.5614035087719298,14,30,0.4666666666666667,0.4666666666666667,15,44,20,36,6,0.6875,0.6875,0.8571428571428571,0.3448275862068966,0.5654383720930233,0.6091954022988506,0.6329787234042553,0,4,0.07017543859649122,0,0
"2020-12-26","DET",122,128,35,69,0.5072463768115942,13,30,0.43333333333333335,0.4482758620689655,19,40,30,27,12,0.5714285714285714,0.6060606060606061,0.6923076923076923,0.30303030303030304,0.5787586734693878,0.5505050505050505,0.5714285714285714,4,4,0.057971014492753624,1,0.03333333333333333
"2020-12-27","PHI",100,118,39,68,0.5735294117647058,9,23,0.391304347826087,0.391304347826087,13,44,34,27,0,0.5641025641025641,0.6285714285714286,1,0.25274725274725274,0.5419313186813187,0.5769230769230769,0.6020408163265306,8,4,0.058823529411764705,1,0.043478260869565216
"2020-12-29","NYK",99,86,25,56,0.44642857142857145,7,32,0.21875,0.21875,15,30,20,21,0,0.6,0.7142857142857143,1,0.36363636363636365,0.5597517045454545,0.4034090909090909,0.43434343434343436,8,6,0.10714285714285714,0,0
"2020-12-31","IND",98,99,25,59,0.423728813559322,12,23,0.5217391304347826,0.5217391304347826,13,24,26,30,6,0.48,0.48,0.8333333333333334,0.2804878048780488,0.5361481707317073,0.524390243902439,0.526595744680851,0,1,0.01694915254237288,0,0
"2021-01-02","ATL",95,96,31,62,0.5,7,29,0.2413793103448276,0.25,13,28,34,15,6,0.45161290322580644,0.5185185185185185,0.7142857142857143,0.31868131868131866,0.5466522222222222,0.45604395604395603,0.4845360824742268,8,5,0.08064516129032258,0,0
"2021-01-04","ORL",92,83,23,57,0.40350877192982454,10,28,0.35714285714285715,0.35714285714285715,7,24,22,24,6,0.5217391304347826,0.5714285714285714,0.8,0.32941176470588235,0.49936941176470584,0.4470588235294118,0.45604395604395603,4,7,0.12280701754385964,0,0
"2021-01-06","ORL",93,94,32,59,0.5423728813559322,4,26,0.15384615384615385,0.15384615384615385,18,42,22,9,3,0.65625,0.7241379310344828,0.75,0.3058823529411765,0.5196188235294118,0.4470588235294118,0.47959183673469385,6,4,0.06779661016949153,0,0
"2021-01-07","MEM",93,94,23,49,0.46938775510204084,13,30,0.43333333333333335,0.43333333333333335,9,26,20,33,6,0.5652173913043478,0.5652173913043478,0.8461538461538461,0.379746835443038,0.531656329113924,0.5379746835443038,0.5465116279069767,0,6,0.12244897959183673,0,0
"2021-01-09","MIL",93,90,29,61,0.47540983606557374,7,26,0.2692307692307692,0.2692307692307692,11,20,38,18,3,0.3448275862068966,0.37037037037037035,0.8571428571428571,0.2988505747126437,0.5092666666666666,0.4540229885057471,0.4787234042553192,4,4,0.06557377049180328,0,0
"2021-01-11","MEM",95,91,26,56,0.4642857142857143,11,26,0.4230769230769231,0.4230769230769231,6,22,30,27,6,0.4230769230769231,0.44,0.8181818181818182,0.3170731707317073,0.5497865853658537,0.5182926829268293,0.5229885057471264,2,6,0.10714285714285714,0,0
"2021-01-12","UTA",96,87,27,59,0.4576271186440678,8,31,0.25806451612903225,0.25806451612903225,9,30,24,24,0,0.5555555555555556,0.6,1,0.34444444444444444,0.5306788888888889,0.43333333333333335,0.453125,4,6,0.1016949152542373,2,0.06451612903225806
"2021-01-15","NYK",93,106,27,52,0.5192307692307693,9,27,0.3333333333333333,0.3333333333333333,25,34,20,27,0,0.6296296296296297,0.7391304347826086,1,0.34177215189873417,0.6037246835443038,0.5126582278481012,0.5578947368421052,8,9,0.17307692307692307,1,0.037037037037037035
"2021-01-20","BKN",120,147,36,69,0.5217391304347826,20,40,0.5,0.5,15,28,44,45,15,0.3888888888888889,0.4666666666666667,0.75,0.3669724770642202,0.5202532110091743,0.6055045871559633,0.6228813559322034,12,8,0.11594202898550725,3,0.075
"2021-01-22","BKN",99,125,37,62,0.5967741935483871,8,25,0.32,0.32,27,38,36,15,9,0.5135135135135135,0.59375,0.625,0.28735632183908044,0.5375781609195402,0.5632183908045977,0.6138613861386139,10,8,0.12903225806451613,0,0
"2021-01-24","BOS",107,103,24,52,0.46153846153846156,10,33,0.30303030303030304,0.30303030303030304,25,30,18,27,3,0.625,0.6521739130434783,0.9,0.38823529411764707,0.50663,0.4588235294117647,0.5099009900990099,2,8,0.15384615384615385,0,0
"2021-01-25","LAL",96,108,31,65,0.47692307692307695,9,21,0.42857142857142855,0.42857142857142855,19,26,36,18,9,0.41935483870967744,0.5,0.6666666666666666,0.2441860465116279,0.5512511627906977,0.5174418604651163,0.5572916666666666,10,6,0.09230769230769231,1,0.047619047619047616
"2021-01-27","DET",102,122,36,66,0.5454545454545454,11,21,0.5238095238095238,0.55,17,32,40,24,9,0.4444444444444444,0.47058823529411764,0.7272727272727273,0.2413793103448276,0.5817209302325581,0.603448275862069,0.6288659793814433,4,5,0.07575757575757576,0,0
"2021-01-29","NYK",90,81,21,58,0.3620689655172414,8,26,0.3076923076923077,0.3076923076923077,15,18,24,18,6,0.42857142857142855,0.45,0.75,0.30952380952380953,0.5513005952380953,0.39285714285714285,0.43548387096774194,2,6,0.10344827586206896,0,0
