"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2020-12-23","CHA",101,114,29,46,0.6304347826086957,16,44,0.36363636363636365,0.37209302325581395,8,36,22,33,15,0.6206896551724138,0.6428571428571429,0.6875,0.4888888888888889,0.5636752808988764,0.5888888888888889,0.6,2,3,0.06521739130434782,0,0
"2020-12-26","DET",123,119,24,53,0.4528301886792453,16,45,0.35555555555555557,0.35555555555555557,23,24,24,36,12,0.5,0.5714285714285714,0.75,0.45918367346938777,0.5519209183673469,0.4897959183673469,0.5265486725663717,6,4,0.07547169811320754,0,0
"2020-12-27","PHI",99,94,21,42,0.5,12,37,0.32432432432432434,0.32432432432432434,16,24,18,36,0,0.5714285714285714,0.6666666666666666,1,0.46835443037974683,0.56885,0.4936708860759494,0.5280898876404494,6,6,0.14285714285714285,0,0
"2020-12-29","NYK",98,95,20,54,0.37037037037037035,14,25,0.56,0.5833333333333334,13,22,18,36,6,0.55,0.5789473684210527,0.8571428571428571,0.31645569620253167,0.5579923076923077,0.5189873417721519,0.5337078651685393,2,10,0.18518518518518517,0,0
"2020-12-31","IND",98,119,26,52,0.5,16,35,0.45714285714285713,0.45714285714285713,19,34,18,33,15,0.6538461538461539,0.6538461538461539,0.6875,0.40229885057471265,0.5750804597701149,0.5747126436781609,0.6157894736842106,0,6,0.11538461538461539,0,0
"2021-01-02","ATL",95,91,24,53,0.4528301886792453,11,32,0.34375,0.3548387096774194,10,24,24,30,3,0.5,0.6,0.9090909090909091,0.3764705882352941,0.5636353658536586,0.4764705882352941,0.4945652173913043,8,2,0.03773584905660377,0,0
"2021-01-04","ORL",94,103,23,54,0.42592592592592593,15,34,0.4411764705882353,0.4411764705882353,12,20,26,36,9,0.43478260869565216,0.47619047619047616,0.8,0.38636363636363635,0.4987681818181818,0.5170454545454546,0.5483870967741935,4,3,0.05555555555555555,1,0.029411764705882353
"2021-01-06","ORL",94,105,28,52,0.5384615384615384,12,29,0.41379310344827586,0.41379310344827586,13,20,36,30,6,0.35714285714285715,0.38461538461538464,0.8333333333333334,0.35802469135802467,0.4804629629629629,0.5679012345679012,0.5977011494252874,4,4,0.07692307692307693,0,0
"2021-01-07","MEM",92,90,25,52,0.4807692307692308,11,31,0.3548387096774194,0.3548387096774194,7,36,14,27,6,0.72,0.782608695652174,0.8181818181818182,0.37349397590361444,0.544033734939759,0.5,0.5172413793103449,4,3,0.057692307692307696,0,0
"2021-01-09","MIL",94,100,25,48,0.5208333333333334,12,36,0.3333333333333333,0.3333333333333333,14,26,24,36,0,0.52,0.5416666666666666,1,0.42857142857142855,0.5503827380952381,0.5119047619047619,0.5384615384615384,2,4,0.08333333333333333,0,0
