"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2020-12-23","PHX",102,102,27,48,0.5625,9,37,0.24324324324324326,0.24324324324324326,21,20,34,21,6,0.37037037037037035,0.37037037037037035,0.7777777777777778,0.43529411764705883,0.5286335294117647,0.4764705882352941,0.5257731958762887,0,6,0.125,1,0.02702702702702703
"2020-12-25","LAL",101,115,28,51,0.5490196078431373,13,32,0.40625,0.40625,20,20,36,30,9,0.35714285714285715,0.35714285714285715,0.7692307692307693,0.3855421686746988,0.5098355421686747,0.572289156626506,0.6052631578947368,0,4,0.0784313725490196,0,0
"2020-12-27","LAC",93,124,29,46,0.6304347826086957,14,41,0.34146341463414637,0.34146341463414637,24,26,32,36,6,0.4482758620689655,0.4642857142857143,0.8571428571428571,0.47126436781609193,0.5136494252873564,0.5747126436781609,0.6326530612244898,2,1,0.021739130434782608,1,0.024390243902439025
"2020-12-30","CHA",100,99,22,45,0.4888888888888889,12,42,0.2857142857142857,0.2857142857142857,19,24,20,36,0,0.5454545454545454,0.5714285714285714,1,0.4827586206896552,0.5279224137931035,0.45977011494252873,0.4852941176470588,2,6,0.13333333333333333,0,0
"2021-01-01","MIA",98,93,20,41,0.4878048780487805,12,37,0.32432432432432434,0.32432432432432434,17,18,22,27,9,0.45,0.47368421052631576,0.75,0.47435897435897434,0.5011160256410256,0.48717948717948717,0.5224719101123596,2,2,0.04878048780487805,0,0
"2021-01-03","CHI",100,108,28,47,0.5957446808510638,11,42,0.2619047619047619,0.2619047619047619,19,30,26,24,9,0.5357142857142857,0.5769230769230769,0.7272727272727273,0.47191011235955055,0.5331561797752808,0.5,0.5346534653465347,4,2,0.0425531914893617,0,0
"2021-01-04","HOU",95,113,23,43,0.5348837209302325,16,39,0.41025641025641024,0.41025641025641024,19,22,24,39,9,0.4782608695652174,0.55,0.8125,0.47560975609756095,0.4946347560975609,0.573170731707317,0.6179775280898876,6,4,0.09302325581395349,0,0
"2021-01-07","DEN",106,124,26,47,0.5531914893617021,16,40,0.4,0.4,24,24,28,45,3,0.46153846153846156,0.5217391304347826,0.9375,0.45977011494252873,0.49707183908045977,0.5747126436781609,0.62,6,1,0.02127659574468085,0,0
"2021-01-09","ORL",98,112,19,39,0.48717948717948717,20,40,0.5,0.5,14,20,18,45,15,0.5263157894736842,0.5555555555555556,0.75,0.5063291139240507,0.5461626582278482,0.620253164556962,0.6436781609195402,2,2,0.05128205128205128,0,0
"2021-01-13","CHA",97,104,25,50,0.5,15,46,0.32608695652173914,0.32608695652173914,9,22,28,33,12,0.44,0.4782608695652174,0.7333333333333333,0.4791666666666667,0.5350786458333333,0.4947916666666667,0.5,4,6,0.12,1,0.021739130434782608
