"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2020-12-23","PHX",102,106,27,49,0.5510204081632653,11,30,0.36666666666666664,0.36666666666666664,19,26,28,24,9,0.48148148148148145,0.48148148148148145,0.7272727272727273,0.379746835443038,0.5035367088607595,0.5506329113924051,0.5760869565217391,0,0,0,0,0
"2020-12-25","LAL",100,138,32,52,0.6153846153846154,19,39,0.48717948717948717,0.5,17,34,30,48,9,0.53125,0.6071428571428571,0.8421052631578947,0.42857142857142855,0.5147744444444444,0.6648351648351648,0.6831683168316832,8,3,0.057692307692307696,0,0
"2020-12-27","LAC",93,73,22,43,0.5116279069767442,4,33,0.12121212121212122,0.12121212121212122,17,22,22,6,6,0.5,0.5789473684210527,0.5,0.4342105263157895,0.47065460526315794,0.3684210526315789,0.42441860465116277,6,2,0.046511627906976744,0,0
"2020-12-30","CHA",100,118,28,50,0.56,15,34,0.4411764705882353,0.4411764705882353,17,32,24,42,3,0.5714285714285714,0.6153846153846154,0.9333333333333333,0.40476190476190477,0.5069910714285714,0.6011904761904762,0.6290322580645161,4,6,0.12,0,0
"2021-01-01","MIA",97,83,22,45,0.4888888888888889,7,33,0.21212121212121213,0.21212121212121213,18,28,16,18,3,0.6363636363636364,0.6363636363636364,0.8571428571428571,0.4230769230769231,0.5240730769230769,0.4166666666666667,0.45555555555555555,0,2,0.044444444444444446,1,0.030303030303030304
"2021-01-03","CHI",100,118,26,48,0.5416666666666666,13,37,0.35135135135135137,0.35135135135135137,27,20,32,18,21,0.38461538461538464,0.45454545454545453,0.46153846153846156,0.43529411764705883,0.5330382352941176,0.5352941176470588,0.6020408163265306,8,4,0.08333333333333333,0,0
"2021-01-04","HOU",95,100,19,37,0.5135135135135135,11,40,0.275,0.275,29,22,16,18,15,0.5789473684210527,0.6111111111111112,0.5454545454545454,0.5194805194805194,0.5379077922077922,0.461038961038961,0.532608695652174,2,3,0.08108108108108109,0,0
"2021-01-07","DEN",107,117,28,53,0.5283018867924528,15,44,0.3409090909090909,0.3409090909090909,16,26,30,36,9,0.4642857142857143,0.5,0.8,0.4536082474226804,0.48377113402061855,0.520618556701031,0.5467289719626168,4,7,0.1320754716981132,0,0
"2021-01-09","ORL",97,98,32,58,0.5517241379310345,6,31,0.1935483870967742,0.1935483870967742,16,22,42,18,0,0.34375,0.36666666666666664,1,0.34831460674157305,0.5212792134831461,0.4606741573033708,0.4898989898989899,4,8,0.13793103448275862,0,0
"2021-01-13","CHA",96,93,28,62,0.45161290322580644,10,38,0.2631578947368421,0.2702702702702703,7,34,22,27,3,0.6071428571428571,0.68,0.9,0.38,0.5391262626262626,0.43,0.4386792452830189,6,12,0.1935483870967742,0,0
"2021-01-15","MIL",98,112,29,59,0.4915254237288136,14,37,0.3783783783783784,0.3783783783783784,12,24,34,30,12,0.41379310344827586,0.48,0.7142857142857143,0.3854166666666667,0.5207802083333334,0.5208333333333334,0.5333333333333333,8,6,0.1016949152542373,0,0
"2021-01-17","CHI",103,117,36,60,0.6,7,25,0.28,0.2916666666666667,24,50,22,21,0,0.6944444444444444,0.7142857142857143,1,0.29411764705882354,0.5052451807228916,0.5470588235294118,0.5909090909090909,2,2,0.03333333333333333,0,0
"2021-01-18","TOR",100,116,32,55,0.5818181818181818,12,33,0.36363636363636365,0.36363636363636365,16,26,38,30,6,0.40625,0.41935483870967744,0.8333333333333334,0.375,0.5290363636363636,0.5681818181818182,0.6063829787234043,2,3,0.05454545454545454,1,0.030303030303030304
"2021-01-20","IND",100,112,25,53,0.4716981132075472,16,39,0.41025641025641024,0.42105263157894735,14,14,36,42,6,0.28,0.30434782608695654,0.875,0.42391304347826086,0.5565186813186813,0.532608695652174,0.5544554455445545,4,2,0.03773584905660377,4,0.10256410256410256
"2021-01-22","SAS",100,117,29,61,0.47540983606557374,12,28,0.42857142857142855,0.4444444444444444,23,20,38,33,3,0.3448275862068966,0.38461538461538464,0.9166666666666666,0.3146067415730337,0.5344613636363637,0.5280898876404494,0.5625,6,2,0.03278688524590164,0,0
"2021-01-23","HOU",99,133,31,49,0.6326530612244898,16,37,0.43243243243243246,0.43243243243243246,23,26,36,45,3,0.41935483870967744,0.52,0.9375,0.43023255813953487,0.5353982352941177,0.6395348837209303,0.6717171717171717,12,4,0.08163265306122448,0,0
"2021-01-25","DEN",94,117,25,44,0.5681818181818182,15,35,0.42857142857142855,0.42857142857142855,22,26,24,36,9,0.52,0.5416666666666666,0.8,0.4430379746835443,0.5462525316455696,0.6012658227848101,0.6358695652173914,2,4,0.09090909090909091,0,0
"2021-01-27","UTA",96,116,26,50,0.52,16,41,0.3902439024390244,0.3902439024390244,16,22,30,27,21,0.4230769230769231,0.4583333333333333,0.5625,0.45054945054945056,0.509889010989011,0.5494505494505495,0.58,4,6,0.12,1,0.024390243902439025
"2021-01-29","UTA",97,120,18,39,0.46153846153846156,20,48,0.4166666666666667,0.4166666666666667,24,20,16,33,27,0.5555555555555556,0.625,0.55,0.5517241379310345,0.5087597701149424,0.5517241379310345,0.6122448979591837,4,3,0.07692307692307693,1,0.020833333333333332
"2021-01-30","PHX",96,111,27,59,0.4576271186440678,10,22,0.45454545454545453,0.45454545454545453,27,26,28,27,3,0.48148148148148145,0.5416666666666666,0.9,0.2716049382716049,0.48056543209876545,0.5185185185185185,0.5789473684210527,6,4,0.06779661016949153,0,0
"2021-02-01","PHX",97,109,30,57,0.5263157894736842,13,35,0.37142857142857144,0.38235294117647056,10,18,42,30,9,0.3,0.3333333333333333,0.7692307692307693,0.3804347826086957,0.5335763736263737,0.5380434782608695,0.5618556701030928,6,7,0.12280701754385964,0,0
"2021-02-03","ATL",101,116,31,52,0.5961538461538461,14,38,0.3684210526315789,0.3684210526315789,12,40,22,33,9,0.6451612903225806,0.6896551724137931,0.7857142857142857,0.4222222222222222,0.5546816666666666,0.5777777777777777,0.5927835051546392,4,7,0.1346153846153846,0,0
"2021-02-04","GSW",100,147,29,46,0.6304347826086957,22,43,0.5116279069767442,0.5238095238095238,23,36,22,57,9,0.6206896551724138,0.6206896551724138,0.8636363636363636,0.48314606741573035,0.5744772727272728,0.6966292134831461,0.7397959183673469,0,3,0.06521739130434782,0,0
"2021-02-06","GSW",104,132,26,41,0.6341463414634146,20,45,0.4444444444444444,0.45454545454545453,20,26,26,42,18,0.5,0.52,0.7,0.5232558139534884,0.5493029761904762,0.6511627906976745,0.6947368421052632,2,0,0,0,0
"2021-02-08","MIN",102,122,24,49,0.4897959183673469,18,42,0.42857142857142855,0.42857142857142855,20,24,24,45,9,0.5,0.5217391304347826,0.8333333333333334,0.46153846153846156,0.544895054945055,0.5604395604395604,0.5865384615384616,2,6,0.12244897959183673,0,0
"2021-02-10","ATL",97,117,26,49,0.5306122448979592,14,39,0.358974358974359,0.358974358974359,23,34,18,30,12,0.6538461538461539,0.7391304347826086,0.7142857142857143,0.4431818181818182,0.5347903409090908,0.5340909090909091,0.585,6,3,0.061224489795918366,0,0
"2021-02-12","NOP",97,130,31,53,0.5849056603773585,17,37,0.4594594594594595,0.4594594594594595,17,32,30,45,6,0.5161290322580645,0.5714285714285714,0.8823529411764706,0.4111111111111111,0.5697238888888888,0.6277777777777778,0.6565656565656566,6,2,0.03773584905660377,0,0
"2021-02-14","POR",94,121,27,45,0.6,18,40,0.45,0.45,13,10,44,30,24,0.18518518518518517,0.2,0.5555555555555556,0.47058823529411764,0.5513370588235295,0.6352941176470588,0.6505376344086021,4,6,0.13333333333333333,0,0
"2021-02-22","MEM",100,92,31,63,0.49206349206349204,6,31,0.1935483870967742,0.1935483870967742,12,22,40,18,0,0.3548387096774194,0.36666666666666664,1,0.32978723404255317,0.5043723404255319,0.425531914893617,0.45098039215686275,2,4,0.06349206349206349,0,0
"2021-02-23","BOS",92,107,29,47,0.6170212765957447,12,39,0.3076923076923077,0.3157894736842105,13,22,36,24,12,0.3793103448275862,0.4074074074074074,0.6666666666666666,0.45348837209302323,0.507615294117647,0.5465116279069767,0.5691489361702128,4,1,0.02127659574468085,0,0
"2021-02-25","PHI",97,111,27,61,0.4426229508196721,12,29,0.41379310344827586,0.41379310344827586,21,28,26,36,0,0.5185185185185185,0.56,1,0.32222222222222224,0.5108627777777778,0.5,0.5495049504950495,4,7,0.11475409836065574,2,0.06896551724137931
"2021-02-27","BKN",94,98,21,42,0.5,14,44,0.3181818181818182,0.32558139534883723,14,24,18,27,15,0.5714285714285714,0.7058823529411765,0.6428571428571429,0.5116279069767442,0.5618788235294118,0.4883720930232558,0.5268817204301075,8,8,0.19047619047619047,0,0
"2021-03-01","ORL",101,124,27,54,0.5,20,41,0.4878048780487805,0.5,10,18,36,48,12,0.3333333333333333,0.34615384615384615,0.8,0.43157894736842106,0.5126372340425532,0.6,0.62,2,6,0.1111111111111111,0,0
"2021-03-03","OKC",95,78,20,48,0.4166666666666667,9,39,0.23076923076923078,0.23076923076923078,11,12,28,21,6,0.3,0.3,0.7777777777777778,0.4482758620689655,0.5139183908045978,0.3850574712643678,0.4105263157894737,0,3,0.0625,0,0
"2021-03-10","SAS",93,104,26,55,0.4727272727272727,12,28,0.42857142857142855,0.42857142857142855,16,14,38,33,3,0.2692307692307692,0.2692307692307692,0.9166666666666666,0.3373493975903614,0.48214397590361446,0.5301204819277109,0.5659340659340659,0,1,0.01818181818181818,0,0
"2021-03-11","OKC",92,116,25,59,0.423728813559322,16,32,0.5,0.5,18,20,30,45,3,0.4,0.47619047619047616,0.9375,0.3516483516483517,0.5357087912087912,0.5384615384615384,0.58,8,8,0.13559322033898305,1,0.03125
"2021-03-13","DEN",90,103,21,49,0.42857142857142855,16,41,0.3902439024390244,0.4,13,24,18,45,3,0.5714285714285714,0.6,0.9375,0.45555555555555555,0.5114550561797753,0.5,0.5257731958762887,2,3,0.061224489795918366,0,0
"2021-03-15","LAC",91,109,29,54,0.5370370370370371,14,32,0.4375,0.45161290322580644,9,24,34,33,9,0.41379310344827586,0.4444444444444444,0.7857142857142857,0.37209302325581395,0.49656488095238094,0.5813953488372093,0.5989010989010989,4,3,0.05555555555555555,1,0.03125
"2021-03-17","LAC",93,89,28,56,0.5,9,32,0.28125,0.2903225806451613,6,30,26,21,6,0.5357142857142857,0.5555555555555556,0.7777777777777778,0.36363636363636365,0.5627925287356321,0.4715909090909091,0.478494623655914,2,7,0.125,0,0
"2021-03-19","POR",93,125,22,46,0.4782608695652174,22,47,0.46808510638297873,0.46808510638297873,15,12,32,33,33,0.2727272727272727,0.2857142857142857,0.5,0.5053763440860215,0.5169510752688172,0.5913978494623656,0.615,2,4,0.08695652173913043,0,0
"2021-03-21","POR",93,92,25,48,0.5208333333333334,9,41,0.21951219512195122,0.21951219512195122,15,16,34,27,0,0.32,0.36363636363636365,1,0.4606741573033708,0.5187578651685393,0.43258426966292135,0.4690721649484536,6,3,0.0625,0,0
"2021-03-24","MIN",101,108,26,48,0.5416666666666666,12,38,0.3157894736842105,0.32432432432432434,20,30,22,27,9,0.5769230769230769,0.625,0.75,0.4418604651162791,0.55649,0.5116279069767442,0.5463917525773195,4,6,0.125,0,0
