"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2020-12-23","SAC",110,122,39,69,0.5652173913043478,8,29,0.27586206896551724,0.27586206896551724,20,40,38,24,0,0.5128205128205128,0.5882352941176471,1,0.29591836734693877,0.47742704081632653,0.5204081632653061,0.5601851851851852,10,7,0.10144927536231885,0,0
"2020-12-25","LAC",95,108,26,45,0.5777777777777777,11,36,0.3055555555555556,0.3055555555555556,23,32,20,27,6,0.6153846153846154,0.6153846153846154,0.8181818181818182,0.4444444444444444,0.5099975308641975,0.5246913580246914,0.5684210526315789,0,4,0.08888888888888889,0,0
"2020-12-28","HOU",103,124,32,56,0.5714285714285714,14,31,0.45161290322580644,0.45161290322580644,18,40,24,33,9,0.625,0.7142857142857143,0.7857142857142857,0.3563218390804598,0.4976942528735632,0.6091954022988506,0.615,8,3,0.05357142857142857,0,0
"2020-12-29","SAC",100,115,33,53,0.6226415094339622,11,28,0.39285714285714285,0.39285714285714285,16,34,32,30,3,0.5151515151515151,0.5862068965517241,0.9090909090909091,0.345679012345679,0.5144277777777778,0.6111111111111112,0.6404494382022472,8,2,0.03773584905660377,0,0
"2021-01-01","PHX",91,103,27,57,0.47368421052631576,12,29,0.41379310344827586,0.42857142857142855,13,34,20,33,3,0.6296296296296297,0.68,0.9166666666666666,0.3372093023255814,0.48808411764705883,0.5232558139534884,0.5483870967741935,4,4,0.07017543859649122,0,0
"2021-01-03","MIN",97,124,26,47,0.5531914893617021,19,45,0.4222222222222222,0.4318181818181818,15,34,18,51,6,0.6538461538461539,0.68,0.8947368421052632,0.4891304347826087,0.5247637362637363,0.592391304347826,0.6138613861386139,2,6,0.1276595744680851,0,0
"2021-01-05","MIN",104,123,33,54,0.6111111111111112,8,25,0.32,0.32,33,30,36,21,3,0.45454545454545453,0.5357142857142857,0.875,0.31645569620253167,0.5283107594936709,0.569620253164557,0.615,10,4,0.07407407407407407,0,0
"2021-01-07","DAL",107,117,28,53,0.5283018867924528,15,44,0.3409090909090909,0.3409090909090909,16,26,30,36,9,0.4642857142857143,0.5,0.8,0.4536082474226804,0.48377113402061855,0.520618556701031,0.5467289719626168,4,7,0.1320754716981132,0,0
"2021-01-09","PHI",97,115,33,57,0.5789473684210527,12,33,0.36363636363636365,0.36363636363636365,13,32,34,36,0,0.48484848484848486,0.5714285714285714,1,0.36666666666666664,0.56196,0.5666666666666667,0.5989583333333334,10,3,0.05263157894736842,1,0.030303030303030304
"2021-01-10","NYK",91,114,30,49,0.6122448979591837,15,35,0.42857142857142855,0.42857142857142855,9,18,42,42,3,0.3,0.3103448275862069,0.9333333333333333,0.4166666666666667,0.5234226190476191,0.625,0.6404494382022472,2,1,0.02040816326530612,0,0
"2021-01-12","BKN",96,116,26,51,0.5098039215686274,18,37,0.4864864864864865,0.4864864864864865,10,32,20,36,18,0.6153846153846154,0.64,0.6666666666666666,0.42045454545454547,0.5433443181818182,0.6022727272727273,0.6105263157894737,2,5,0.09803921568627451,1,0.02702702702702703
"2021-01-14","GSW",104,114,30,53,0.5660377358490566,11,37,0.2972972972972973,0.3055555555555556,21,38,22,30,3,0.6333333333333333,0.6785714285714286,0.9090909090909091,0.4111111111111111,0.5023387640449438,0.5166666666666667,0.5588235294117647,4,4,0.07547169811320754,0,0
"2021-01-17","UTA",92,105,26,63,0.4126984126984127,14,37,0.3783783783783784,0.3783783783783784,11,26,26,36,6,0.5,0.5416666666666666,0.8571428571428571,0.37,0.5079636363636364,0.47,0.49065420560747663,4,6,0.09523809523809523,0,0
"2021-01-19","OKC",103,119,32,63,0.5079365079365079,14,42,0.3333333333333333,0.3333333333333333,13,32,32,39,3,0.5,0.5925925925925926,0.9285714285714286,0.4,0.5333857142857142,0.5047619047619047,0.536036036036036,10,4,0.06349206349206349,0,0
"2021-01-22","PHX",106,130,47,77,0.6103896103896104,6,26,0.23076923076923078,0.23076923076923078,18,52,42,18,0,0.5531914893617021,0.6341463414634146,1,0.2524271844660194,0.5113242718446602,0.5436893203883495,0.5855855855855856,12,4,0.05194805194805195,0,0
"2021-01-23","PHX",112,120,25,61,0.4098360655737705,15,36,0.4166666666666667,0.4166666666666667,25,18,32,39,6,0.36,0.42857142857142855,0.8666666666666667,0.3711340206185567,0.4740979166666666,0.4896907216494845,0.5458715596330275,8,4,0.06557377049180328,0,0
