"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2020-12-23","SAC",110,124,35,71,0.49295774647887325,10,31,0.3225806451612903,0.3225806451612903,24,36,34,27,3,0.5142857142857142,0.5625,0.9,0.30392156862745096,0.49197843137254904,0.49019607843137253,0.5391304347826087,6,10,0.14084507042253522,1,0.03225806451612903
"2020-12-25","LAC",94,121,22,36,0.6111111111111112,19,38,0.5,0.5,20,30,14,51,6,0.6818181818181818,0.6818181818181818,0.8947368421052632,0.5135135135135135,0.503818918918919,0.6824324324324325,0.7202380952380952,0,1,0.027777777777777776,0,0
"2020-12-28","HOU",102,111,23,47,0.48936170212765956,16,39,0.41025641025641024,0.41025641025641024,17,28,18,33,15,0.6086956521739131,0.6086956521739131,0.6875,0.45348837209302323,0.5011947674418604,0.5465116279069767,0.5842105263157895,0,7,0.14893617021276595,0,0
"2020-12-29","SAC",101,125,30,61,0.4918032786885246,16,33,0.48484848484848486,0.48484848484848486,17,36,24,45,3,0.6,0.6666666666666666,0.9375,0.35106382978723405,0.5082712765957447,0.574468085106383,0.6019417475728155,6,5,0.08196721311475409,0,0
"2021-01-01","PHX",92,106,24,41,0.5853658536585366,13,35,0.37142857142857144,0.37142857142857144,19,24,24,36,3,0.5,0.5217391304347826,0.9230769230769231,0.4605263157894737,0.4861243421052632,0.5723684210526315,0.6235294117647059,2,0,0,1,0.02857142857142857
"2021-01-03","MIN",96,109,34,54,0.6296296296296297,10,31,0.3225806451612903,0.3225806451612903,11,46,22,21,9,0.6764705882352942,0.71875,0.7,0.36470588235294116,0.5582176470588236,0.5764705882352941,0.5860215053763441,4,4,0.07407407407407407,0,0
"2021-01-05","MIN",104,116,31,57,0.543859649122807,11,34,0.3235294117647059,0.3235294117647059,21,34,28,21,12,0.5483870967741935,0.5862068965517241,0.6363636363636364,0.37362637362637363,0.5101961538461538,0.521978021978022,0.5643564356435643,4,2,0.03508771929824561,0,0
"2021-01-07","DAL",106,124,26,47,0.5531914893617021,16,40,0.4,0.4,24,24,28,45,3,0.46153846153846156,0.5217391304347826,0.9375,0.45977011494252873,0.49707183908045977,0.5747126436781609,0.62,6,1,0.02127659574468085,0,0
"2021-01-09","PHI",97,103,32,68,0.47058823529411764,11,35,0.3142857142857143,0.3142857142857143,6,36,28,15,18,0.5625,0.6428571428571429,0.45454545454545453,0.33980582524271846,0.5036417475728155,0.470873786407767,0.48130841121495327,8,6,0.08823529411764706,1,0.02857142857142857
"2021-01-10","NYK",89,89,26,53,0.49056603773584906,6,21,0.2857142857142857,0.3,19,26,26,18,0,0.5,0.5652173913043478,1,0.28378378378378377,0.5006027397260273,0.47297297297297297,0.5297619047619048,6,4,0.07547169811320754,0,0
"2021-01-12","BKN",95,122,32,47,0.6808510638297872,16,32,0.5,0.5161290322580645,10,36,28,39,9,0.5625,0.6,0.8125,0.4050632911392405,0.5813346153846154,0.7088607594936709,0.7176470588235294,4,4,0.0851063829787234,1,0.03125
"2021-01-14","GSW",104,104,27,52,0.5192307692307693,11,29,0.3793103448275862,0.3793103448275862,17,38,16,30,3,0.7037037037037037,0.7916666666666666,0.9090909090909091,0.35802469135802467,0.5091141975308642,0.5370370370370371,0.5714285714285714,6,5,0.09615384615384616,0,0
"2021-01-17","UTA",93,109,24,39,0.6153846153846154,15,37,0.40540540540540543,0.4166666666666667,16,20,28,42,3,0.4166666666666667,0.45454545454545453,0.9333333333333333,0.4868421052631579,0.5185193333333333,0.6118421052631579,0.6264367816091954,4,5,0.1282051282051282,1,0.02702702702702703
"2021-01-19","OKC",102,101,22,43,0.5116279069767442,14,43,0.32558139534883723,0.35,15,22,22,33,9,0.5,0.5238095238095238,0.7857142857142857,0.5,0.5260091463414635,0.5,0.5260416666666666,2,3,0.06976744186046512,0,0
"2021-01-22","PHX",104,126,30,50,0.6,17,44,0.38636363636363635,0.40476190476190477,15,28,32,48,3,0.4666666666666667,0.5384615384615384,0.9411764705882353,0.46808510638297873,0.5514847826086957,0.5904255319148937,0.63,8,1,0.02,0,0
"2021-01-23","PHX",111,112,25,49,0.5102040816326531,16,53,0.3018867924528302,0.3018867924528302,14,22,28,45,3,0.44,0.4782608695652174,0.9375,0.5196078431372549,0.4884308823529412,0.4803921568627451,0.5137614678899083,4,2,0.04081632653061224,1,0.018867924528301886
"2021-01-25","DAL",95,113,30,52,0.5769230769230769,11,32,0.34375,0.34375,20,36,24,24,9,0.6,0.6206896551724138,0.7272727272727273,0.38095238095238093,0.5661315476190476,0.5535714285714286,0.5947368421052631,2,4,0.07692307692307693,0,0
"2021-01-27","MIA",94,82,17,35,0.4857142857142857,13,45,0.28888888888888886,0.28888888888888886,9,22,12,39,0,0.6470588235294118,0.6470588235294118,1,0.5625,0.5519412499999999,0.45625,0.4823529411764706,0,4,0.11428571428571428,0,0
"2021-01-29","SAS",97,119,34,58,0.5862068965517241,10,23,0.43478260869565216,0.43478260869565216,21,38,30,30,0,0.5588235294117647,0.6129032258064516,1,0.2839506172839506,0.544888888888889,0.6049382716049383,0.6413043478260869,6,5,0.08620689655172414,0,0
"2021-01-31","UTA",97,117,12,28,0.42857142857142855,20,47,0.425531914893617,0.43478260869565216,33,16,8,60,0,0.6666666666666666,0.8,1,0.6266666666666667,0.5041824324324324,0.56,0.6223404255319149,4,2,0.07142857142857142,0,0
"2021-02-04","LAL",95,114,38,57,0.6666666666666666,8,24,0.3333333333333333,0.3333333333333333,14,48,28,15,9,0.631578947368421,0.6486486486486487,0.625,0.2962962962962963,0.5432833333333333,0.6172839506172839,0.6404494382022472,2,2,0.03508771929824561,0,0
"2021-02-06","SAC",98,119,30,56,0.5357142857142857,14,35,0.4,0.4,17,40,20,30,12,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.38461538461538464,0.5123697802197802,0.5604395604395604,0.5784313725490197,0,7,0.125,2,0.05714285714285714
"2021-02-08","MIL",97,125,29,49,0.5918367346938775,16,40,0.4,0.4,19,24,34,36,12,0.41379310344827586,0.42857142857142855,0.75,0.449438202247191,0.5011988764044943,0.5955056179775281,0.6377551020408163,2,3,0.061224489795918366,1,0.025
"2021-02-10","CLE",99,95,28,57,0.49122807017543857,8,37,0.21621621621621623,0.2222222222222222,15,36,20,21,3,0.6428571428571429,0.72,0.875,0.39361702127659576,0.4672537634408602,0.425531914893617,0.46116504854368934,6,7,0.12280701754385964,2,0.05405405405405406
"2021-02-12","OKC",93,95,26,58,0.4482758620689655,10,32,0.3125,0.3125,13,32,20,30,0,0.6153846153846154,0.7272727272727273,1,0.35555555555555557,0.49169555555555555,0.45555555555555555,0.4845360824742268,8,6,0.10344827586206896,0,0
