"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2020-12-23","MIN",99,101,37,58,0.6379310344827587,8,35,0.22857142857142856,0.22857142857142856,3,42,32,24,0,0.5675675675675675,0.6363636363636364,1,0.3763440860215054,0.5607527173913044,0.5268817204301075,0.520618556701031,8,5,0.08620689655172414,0,0
"2020-12-26","CLE",123,119,24,53,0.4528301886792453,16,45,0.35555555555555557,0.35555555555555557,23,24,24,36,12,0.5,0.5714285714285714,0.75,0.45918367346938777,0.5519209183673469,0.4897959183673469,0.5265486725663717,6,4,0.07547169811320754,0,0
"2020-12-28","ATL",99,120,30,57,0.5263157894736842,13,41,0.3170731707317073,0.3170731707317073,21,28,32,30,9,0.4666666666666667,0.5,0.7692307692307693,0.41836734693877553,0.562309693877551,0.5051020408163265,0.5458715596330275,4,7,0.12280701754385964,0,0
"2020-12-29","GSW",98,106,22,57,0.38596491228070173,13,35,0.37142857142857144,0.37142857142857144,23,18,26,36,3,0.4090909090909091,0.45,0.9230769230769231,0.3804347826086957,0.5170369565217391,0.45108695652173914,0.5047619047619047,4,8,0.14035087719298245,0,0
"2021-01-01","BOS",102,96,25,54,0.46296296296296297,11,34,0.3235294117647059,0.3235294117647059,13,16,34,30,3,0.32,0.34782608695652173,0.9090909090909091,0.38636363636363635,0.5271295454545455,0.4715909090909091,0.4948453608247423,4,11,0.2037037037037037,0,0
"2021-01-03","BOS",94,120,25,50,0.5,16,36,0.4444444444444444,0.4444444444444444,22,28,22,45,3,0.56,0.6086956521739131,0.9375,0.4186046511627907,0.5475976744186046,0.5697674418604651,0.6122448979591837,4,4,0.08,1,0.027777777777777776
"2021-01-04","MIL",100,115,26,58,0.4482758620689655,17,40,0.425,0.425,12,24,28,45,6,0.46153846153846156,0.5,0.8823529411764706,0.40816326530612246,0.5109872448979591,0.5255102040816326,0.5588235294117647,4,4,0.06896551724137931,0,0
"2021-01-06","MIL",102,115,25,56,0.44642857142857145,13,41,0.3170731707317073,0.3170731707317073,26,14,36,39,0,0.28,0.4117647058823529,1,0.422680412371134,0.5501291666666667,0.4587628865979381,0.5180180180180181,16,4,0.07142857142857142,0,0
"2021-01-08","PHX",107,110,26,56,0.4642857142857143,11,34,0.3235294117647059,0.3235294117647059,25,28,24,27,6,0.5384615384615384,0.56,0.8181818181818182,0.37777777777777777,0.5642677777777778,0.4722222222222222,0.5288461538461539,2,7,0.125,0,0
"2021-01-10","UTA",91,86,19,45,0.4222222222222222,10,42,0.23809523809523808,0.23809523809523808,18,26,12,24,6,0.6842105263157895,0.7647058823529411,0.8,0.4827586206896552,0.5107408045977011,0.39080459770114945,0.4427083333333333,4,4,0.08888888888888889,1,0.023809523809523808
"2021-01-13","MIL",96,101,22,57,0.38596491228070173,14,35,0.4,0.4,15,24,20,39,3,0.5454545454545454,0.6666666666666666,0.9285714285714286,0.3804347826086957,0.574241304347826,0.4673913043478261,0.4900990099009901,8,9,0.15789473684210525,0,0
"2021-01-16","MIA",95,120,28,45,0.6222222222222222,18,46,0.391304347826087,0.391304347826087,10,34,22,51,3,0.6071428571428571,0.6538461538461539,0.9444444444444444,0.5054945054945055,0.5531510989010989,0.6043956043956044,0.6122448979591837,4,4,0.08888888888888889,1,0.021739130434782608
"2021-01-18","MIA",95,107,25,45,0.5555555555555556,13,37,0.35135135135135137,0.35135135135135137,18,22,28,39,0,0.44,0.5,1,0.45121951219512196,0.5102298780487805,0.5426829268292683,0.5879120879120879,6,6,0.13333333333333333,0,0
"2021-01-20","ATL",107,115,34,66,0.5151515151515151,10,31,0.3225806451612903,0.3225806451612903,17,34,34,15,15,0.5,0.53125,0.5,0.31958762886597936,0.5202943298969073,0.5051546391752577,0.5480769230769231,4,10,0.15151515151515152,0,0
"2021-01-22","HOU",99,102,16,50,0.32,15,32,0.46875,0.46875,25,12,20,33,12,0.375,0.5,0.7333333333333333,0.3902439024390244,0.5138420731707317,0.4695121951219512,0.5151515151515151,8,11,0.22,0,0
"2021-01-23","PHI",105,110,23,53,0.4339622641509434,14,33,0.42424242424242425,0.42424242424242425,22,30,16,30,12,0.6521739130434783,0.6521739130434783,0.7142857142857143,0.38372093023255816,0.5077744186046511,0.5116279069767442,0.5555555555555556,0,7,0.1320754716981132,0,0
"2021-01-25","PHI",95,119,18,32,0.5625,17,38,0.4473684210526316,0.4473684210526316,32,12,24,48,3,0.3333333333333333,0.4,0.9411764705882353,0.5428571428571428,0.5109214285714285,0.6214285714285714,0.6781609195402298,6,3,0.09375,0,0
"2021-01-27","CLE",102,107,26,55,0.4727272727272727,11,27,0.4074074074074074,0.4074074074074074,22,38,14,30,3,0.7307692307692307,0.7307692307692307,0.9090909090909091,0.32926829268292684,0.5694987804878049,0.5182926829268293,0.5578947368421052,0,7,0.12727272727272726,0,0
"2021-01-28","LAL",90,107,26,51,0.5098039215686274,14,36,0.3888888888888889,0.3888888888888889,13,34,18,30,12,0.6538461538461539,0.6538461538461539,0.7142857142857143,0.41379310344827586,0.5306120689655173,0.5402298850574713,0.5752688172043011,0,3,0.058823529411764705,0,0
