,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Home_Team,Away_Team,Spread_Result,Line,O/U_Result,Team
0,0,0,0,0,0,2012-11-02,ATL,HOU,,5.0,,ATL
1,1,1,1,1,1,2012-11-04,OKC,ATL,,9.0,,ATL
2,2,2,2,2,2,2012-11-07,ATL,IND,,4.0,,ATL
3,3,3,3,3,3,2012-11-09,ATL,MIA,,-5.0,,ATL
4,4,4,4,4,4,2012-11-11,LAC,ATL,,6.5,,ATL
5,5,5,5,5,5,2012-11-12,POR,ATL,,2.5,,ATL
6,6,6,6,6,6,2012-11-14,GSW,ATL,,1.0,,ATL
7,7,7,7,7,7,2012-11-16,SAC,ATL,,-2.0,,ATL
8,8,8,8,8,8,2012-11-19,ATL,ORL,,10.0,,ATL
9,9,9,9,9,9,2012-11-21,ATL,WAS,,9.5,,ATL
10,10,10,10,10,10,2012-11-23,CHA,ATL,,-3.5,,ATL
11,11,11,11,11,11,2012-11-24,ATL,LAC,,-2.5,,ATL
12,12,12,12,12,12,2012-11-28,ATL,CHA,,9.5,,ATL
13,13,13,13,13,13,2012-11-30,ATL,CLE,,8.5,,ATL
14,14,14,14,14,14,2012-12-05,ATL,DEN,,2.0,,ATL
15,15,15,15,15,15,2012-12-07,ATL,WAS,,9.0,,ATL
16,16,16,16,16,16,2012-12-08,MEM,ATL,,7.5,,ATL
17,17,17,17,17,17,2012-12-10,MIA,ATL,,6.5,,ATL
18,18,18,18,18,18,2012-12-12,ORL,ATL,,-5.0,,ATL
19,19,19,19,19,19,2012-12-13,ATL,CHA,,10.0,,ATL
20,20,20,20,20,20,2012-12-15,ATL,GSW,,6.5,,ATL
21,21,21,21,21,21,2012-12-18,WAS,ATL,,-7.0,,ATL
22,22,22,22,22,22,2012-12-19,ATL,OKC,,-6.0,,ATL
23,23,23,23,23,23,2012-12-21,PHI,ATL,,-2.0,,ATL
24,24,24,24,24,24,2012-12-22,ATL,CHI,,4.0,,ATL
25,25,25,25,25,25,2012-12-26,ATL,DET,,8.0,,ATL
26,26,26,26,26,26,2012-12-28,CLE,ATL,,-5.0,,ATL
27,27,27,27,27,27,2012-12-29,ATL,IND,,3.0,,ATL
28,28,28,28,28,28,2012-12-31,HOU,ATL,,5.0,,ATL
29,29,29,29,29,29,2013-01-01,NOP,ATL,,-2.0,,ATL
30,30,30,30,30,30,2013-01-04,DET,ATL,,-1.5,,ATL
