"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2020-12-22","BKN",111,99,27,66,0.4090909090909091,10,33,0.30303030303030304,0.3225806451612903,15,34,20,27,3,0.6296296296296297,0.7083333333333334,0.9,0.3333333333333333,0.5520788659793815,0.42424242424242425,0.45,6,7,0.10606060606060606,0,0
"2020-12-25","MIL",109,99,24,54,0.4444444444444444,10,45,0.2222222222222222,0.2222222222222222,21,14,34,21,9,0.2916666666666667,0.3333333333333333,0.7,0.45454545454545453,0.5151934343434343,0.3939393939393939,0.44545454545454544,6,4,0.07407407407407407,0,0
"2020-12-27","CHI",114,129,24,57,0.42105263157894735,18,47,0.3829787234042553,0.3829787234042553,27,20,28,45,9,0.4166666666666667,0.5,0.8333333333333334,0.4519230769230769,0.5581004807692308,0.49038461538461536,0.5512820512820513,8,6,0.10526315789473684,0,0
"2020-12-29","DET",99,116,24,43,0.5581395348837209,14,33,0.42424242424242425,0.4375,26,22,26,30,12,0.4583333333333333,0.4583333333333333,0.7142857142857143,0.4342105263157895,0.5161953333333333,0.5921052631578947,0.625,0,5,0.11627906976744186,1,0.030303030303030304
"2021-01-01","POR",101,98,24,44,0.5454545454545454,7,35,0.2,0.20588235294117646,29,24,24,21,0,0.5,0.5217391304347826,1,0.4430379746835443,0.4983884615384615,0.43670886075949367,0.532608695652174,2,3,0.06818181818181818,0,0
"2021-01-03","POR",106,137,36,54,0.6666666666666666,13,34,0.38235294117647056,0.38235294117647056,26,32,40,21,18,0.4444444444444444,0.48484848484848486,0.5384615384615384,0.38636363636363635,0.5225045454545455,0.6306818181818182,0.6650485436893204,6,2,0.037037037037037035,0,0
"2021-01-04","SAC",108,137,28,54,0.5185185185185185,23,43,0.5348837209302325,0.5348837209302325,12,44,12,57,12,0.7857142857142857,0.8148148148148148,0.8260869565217391,0.44329896907216493,0.5058922680412371,0.6443298969072165,0.6666666666666666,2,6,0.1111111111111111,0,0
"2021-01-06","LAC",98,101,31,56,0.5535714285714286,8,30,0.26666666666666666,0.26666666666666666,15,38,24,18,6,0.6129032258064516,0.6551724137931034,0.75,0.3488372093023256,0.4978779069767442,0.5,0.5372340425531915,4,3,0.05357142857142857,0,0
"2021-01-08","LAC",96,115,20,41,0.4878048780487805,20,41,0.4878048780487805,0.4878048780487805,15,24,16,39,21,0.6,0.6666666666666666,0.65,0.5,0.5242640243902439,0.6097560975609756,0.6388888888888888,4,5,0.12195121951219512,0,0
"2021-01-10","TOR",100,106,25,47,0.5319148936170213,13,46,0.2826086956521739,0.2826086956521739,17,36,14,36,3,0.72,0.8181818181818182,0.9230769230769231,0.4946236559139785,0.5118188172043011,0.478494623655914,0.525,6,8,0.1702127659574468,2,0.043478260869565216
"2021-01-12","IND",99,95,21,51,0.4117647058823529,13,38,0.34210526315789475,0.3611111111111111,14,28,14,33,6,0.6666666666666666,0.7777777777777778,0.8461538461538461,0.42696629213483145,0.5106620689655172,0.4550561797752809,0.4846938775510204,6,9,0.17647058823529413,0,0
"2021-01-14","DEN",104,104,27,52,0.5192307692307693,11,29,0.3793103448275862,0.3793103448275862,17,38,16,30,3,0.7037037037037037,0.7916666666666666,0.9090909090909091,0.35802469135802467,0.5091141975308642,0.5370370370370371,0.5714285714285714,6,5,0.09615384615384616,0,0
"2021-01-18","LAL",102,115,32,50,0.64,12,37,0.32432432432432434,0.32432432432432434,15,42,22,30,6,0.65625,0.65625,0.8333333333333334,0.42528735632183906,0.5257735632183909,0.5747126436781609,0.601063829787234,0,5,0.1,0,0
"2021-01-20","SAS",102,121,31,53,0.5849056603773585,15,38,0.39473684210526316,0.39473684210526316,14,38,24,36,9,0.6129032258064516,0.7037037037037037,0.8,0.4175824175824176,0.5066181318681319,0.5879120879120879,0.6060606060606061,8,2,0.03773584905660377,0,0
"2021-01-21","NYK",99,104,24,48,0.5,9,38,0.23684210526315788,0.23684210526315788,29,36,12,27,0,0.75,0.8181818181818182,1,0.4418604651162791,0.5009441860465117,0.436046511627907,0.5048543689320388,4,8,0.16666666666666666,1,0.02631578947368421
"2021-01-23","UTA",103,108,28,54,0.5185185185185185,14,39,0.358974358974359,0.358974358974359,10,40,16,30,12,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.41935483870967744,0.5054467741935483,0.5268817204301075,0.5510204081632653,0,4,0.07407407407407407,0,0
"2021-01-25","MIN",104,130,30,59,0.5084745762711864,14,30,0.4666666666666667,0.4666666666666667,28,22,38,30,12,0.36666666666666664,0.4074074074074074,0.7142857142857143,0.33707865168539325,0.5156797752808988,0.5730337078651685,0.625,6,5,0.0847457627118644,0,0
"2021-01-27","MIN",104,123,30,51,0.5882352941176471,15,34,0.4411764705882353,0.4411764705882353,18,38,22,39,6,0.6333333333333333,0.6785714285714286,0.8666666666666667,0.4,0.5087305882352942,0.6176470588235294,0.640625,4,7,0.13725490196078433,0,0
"2021-01-28","PHX",103,93,27,61,0.4426229508196721,11,38,0.2894736842105263,0.2894736842105263,6,26,28,24,9,0.48148148148148145,0.5,0.7272727272727273,0.3838383838383838,0.5344777777777777,0.4393939393939394,0.45145631067961167,2,1,0.01639344262295082,0,0
