"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2020-12-22","BKN",111,125,27,57,0.47368421052631576,15,35,0.42857142857142855,0.42857142857142855,26,26,28,33,12,0.48148148148148145,0.5652173913043478,0.7333333333333333,0.3804347826086957,0.5345619565217391,0.5380434782608695,0.5841121495327103,8,6,0.10526315789473684,0,0
"2020-12-25","MIL",108,138,30,54,0.5555555555555556,20,36,0.5555555555555556,0.5555555555555556,18,26,34,36,24,0.43333333333333335,0.4642857142857143,0.6,0.4,0.5320077777777777,0.6666666666666666,0.6764705882352942,4,6,0.1111111111111111,0,0
"2020-12-27","CHI",112,128,27,45,0.6,17,41,0.4146341463414634,0.4473684210526316,23,26,28,42,9,0.48148148148148145,0.5,0.8235294117647058,0.47674418604651164,0.5417156626506024,0.6104651162790697,0.635,2,4,0.08888888888888889,0,0
"2020-12-29","DET",98,106,22,57,0.38596491228070173,13,35,0.37142857142857144,0.37142857142857144,23,18,26,36,3,0.4090909090909091,0.45,0.9230769230769231,0.3804347826086957,0.5170369565217391,0.45108695652173914,0.5047619047619047,4,8,0.14035087719298245,0,0
"2021-01-01","POR",102,123,20,49,0.40816326530612246,20,43,0.46511627906976744,0.46511627906976744,23,22,18,36,24,0.55,0.55,0.6,0.4673913043478261,0.4911663043478261,0.5434782608695652,0.5857142857142857,0,8,0.16326530612244897,1,0.023255813953488372
"2021-01-03","POR",106,122,27,55,0.4909090909090909,14,43,0.32558139534883723,0.32558139534883723,26,16,38,24,18,0.2962962962962963,0.3333333333333333,0.5714285714285714,0.4387755102040816,0.5056045918367347,0.4897959183673469,0.5401785714285714,6,7,0.12727272727272726,0,0
"2021-01-04","SAC",109,106,24,55,0.43636363636363634,10,35,0.2857142857142857,0.2857142857142857,28,22,26,27,3,0.4583333333333333,0.4782608695652174,0.9,0.3888888888888889,0.4917916666666666,0.43333333333333335,0.49074074074074076,2,6,0.10909090909090909,0,0
"2021-01-06","LAC",98,108,25,47,0.5319148936170213,11,34,0.3235294117647059,0.3235294117647059,25,18,32,30,3,0.36,0.391304347826087,0.9090909090909091,0.41975308641975306,0.49374074074074076,0.5123456790123457,0.5934065934065934,4,1,0.02127659574468085,1,0.029411764705882353
"2021-01-08","LAC",96,105,26,52,0.5,14,31,0.45161290322580644,0.45161290322580644,11,20,32,39,3,0.38461538461538464,0.4166666666666667,0.9285714285714286,0.37349397590361444,0.4943234939759036,0.5662650602409639,0.5909090909090909,4,3,0.057692307692307696,0,0
"2021-01-10","TOR",99,105,26,58,0.4482758620689655,13,38,0.34210526315789475,0.34210526315789475,14,20,32,30,9,0.38461538461538464,0.4166666666666667,0.7692307692307693,0.3958333333333333,0.5172463541666666,0.4739583333333333,0.5,4,9,0.15517241379310345,1,0.02631578947368421
"2021-01-12","IND",101,104,30,60,0.5,9,28,0.32142857142857145,0.32142857142857145,17,38,22,21,6,0.6333333333333333,0.6785714285714286,0.7777777777777778,0.3181818181818182,0.48221875000000003,0.4943181818181818,0.5252525252525253,4,8,0.13333333333333333,0,0
"2021-01-14","DEN",104,114,30,53,0.5660377358490566,11,37,0.2972972972972973,0.3055555555555556,21,38,22,30,3,0.6333333333333333,0.6785714285714286,0.9090909090909091,0.4111111111111111,0.5023387640449438,0.5166666666666667,0.5588235294117647,4,4,0.07547169811320754,0,0
"2021-01-18","LAL",101,113,31,54,0.5740740740740741,9,29,0.3103448275862069,0.3103448275862069,24,32,30,21,6,0.5161290322580645,0.5714285714285714,0.7777777777777778,0.3493975903614458,0.545239156626506,0.536144578313253,0.5721649484536082,6,3,0.05555555555555555,0,0
"2021-01-20","SAS",102,99,31,61,0.5081967213114754,4,33,0.12121212121212122,0.12121212121212122,25,28,34,9,3,0.45161290322580644,0.5,0.75,0.35106382978723405,0.49165,0.39361702127659576,0.4532710280373832,6,2,0.03278688524590164,0,0
"2021-01-21","NYK",99,119,27,58,0.46551724137931033,11,24,0.4583333333333333,0.4583333333333333,32,30,24,27,6,0.5555555555555556,0.6521739130434783,0.8181818181818182,0.2926829268292683,0.49607134146341464,0.5304878048780488,0.58,8,3,0.05172413793103448,0,0
"2021-01-23","UTA",103,127,25,44,0.5681818181818182,20,50,0.4,0.4,17,26,24,45,15,0.52,0.6190476190476191,0.75,0.5319148936170213,0.5152441489361702,0.5851063829787234,0.6057692307692307,8,8,0.18181818181818182,0,0
"2021-01-25","MIN",105,108,31,70,0.44285714285714284,8,24,0.3333333333333333,0.3333333333333333,22,36,26,24,0,0.5806451612903226,0.6428571428571429,1,0.2553191489361702,0.4818271276595745,0.4574468085106383,0.5095238095238095,6,10,0.14285714285714285,0,0
"2021-01-27","MIN",104,111,23,51,0.45098039215686275,14,36,0.3888888888888889,0.3888888888888889,23,22,24,36,6,0.4782608695652174,0.5,0.8571428571428571,0.41379310344827586,0.5126431034482759,0.5057471264367817,0.5388349514563107,2,4,0.0784313725490196,1,0.027777777777777776
"2021-01-28","PHX",102,114,30,56,0.5357142857142857,11,32,0.34375,0.34375,21,46,14,33,0,0.7666666666666667,0.8214285714285714,1,0.36363636363636365,0.543409090909091,0.5284090909090909,0.5824742268041238,4,1,0.017857142857142856,0,0
"2021-01-30","DET",98,91,20,41,0.4878048780487805,9,36,0.25,0.25,24,18,22,24,3,0.45,0.47368421052631576,0.8888888888888888,0.4675324675324675,0.4911675324675324,0.43506493506493504,0.4945652173913043,2,4,0.0975609756097561,1,0.027777777777777776
"2021-02-02","BOS",96,111,26,50,0.52,13,34,0.38235294117647056,0.38235294117647056,20,16,36,24,15,0.3076923076923077,0.3333333333333333,0.6153846153846154,0.40476190476190477,0.48410119047619043,0.5416666666666666,0.5721649484536082,4,3,0.06,1,0.029411764705882353
"2021-02-04","DAL",101,116,18,42,0.42857142857142855,20,50,0.4,0.4,20,18,18,51,9,0.5,0.5,0.85,0.5434782608695652,0.524071978021978,0.5217391304347826,0.5631067961165048,0,5,0.11904761904761904,1,0.02
"2021-02-06","DAL",105,134,23,49,0.46938775510204084,21,47,0.44680851063829785,0.44680851063829785,25,20,26,51,12,0.43478260869565216,0.5,0.8095238095238095,0.4895833333333333,0.5340890625,0.5677083333333334,0.6157407407407407,6,4,0.08163265306122448,0,0
"2021-02-08","SAS",102,105,28,65,0.4307692307692308,11,31,0.3548387096774194,0.3548387096774194,16,30,26,27,6,0.5357142857142857,0.625,0.8181818181818182,0.3229166666666667,0.5253703125,0.4635416666666667,0.5,8,6,0.09230769230769231,0,0
"2021-02-09","SAS",98,91,24,62,0.3870967741935484,8,24,0.3333333333333333,0.3333333333333333,19,24,24,24,0,0.5,0.5217391304347826,1,0.27906976744186046,0.513454705882353,0.4186046511627907,0.4739583333333333,2,4,0.06451612903225806,0,0
"2021-02-11","ORL",100,105,23,64,0.359375,15,33,0.45454545454545453,0.45454545454545453,14,16,30,33,12,0.34782608695652173,0.42105263157894735,0.7333333333333333,0.3402061855670103,0.4888020833333333,0.4690721649484536,0.5,8,5,0.078125,1,0.030303030303030304
"2021-02-13","BKN",106,134,34,54,0.6296296296296297,16,39,0.41025641025641024,0.41025641025641024,18,48,20,33,15,0.7058823529411765,0.7272727272727273,0.6875,0.41935483870967744,0.4979408602150538,0.6236559139784946,0.6633663366336634,2,6,0.1111111111111111,0,0
"2021-02-15","CLE",103,98,29,65,0.4461538461538462,8,30,0.26666666666666666,0.26666666666666666,16,24,34,21,3,0.41379310344827586,0.48,0.875,0.3157894736842105,0.4895342105263158,0.43157894736842106,0.47115384615384615,8,9,0.13846153846153847,1,0.03333333333333333
"2021-02-17","MIA",108,112,31,61,0.5081967213114754,13,36,0.3611111111111111,0.37142857142857144,11,34,28,33,6,0.5483870967741935,0.6296296296296297,0.8461538461538461,0.3711340206185567,0.49857708333333334,0.520618556701031,0.56,8,1,0.01639344262295082,0,0
"2021-02-19","ORL",104,124,28,51,0.5490196078431373,18,43,0.4186046511627907,0.4186046511627907,14,30,26,45,9,0.5357142857142857,0.5555555555555556,0.8333333333333334,0.4574468085106383,0.4993005319148936,0.5851063829787234,0.62,2,0,0,0,0
"2021-02-20","CHA",98,102,17,35,0.4857142857142857,20,40,0.5,0.48717948717948717,8,16,18,45,15,0.47058823529411764,0.5,0.75,0.5333333333333333,0.5356567567567567,0.6266666666666667,0.6410256410256411,2,3,0.08571428571428572,0,0
"2021-02-23","NYK",100,106,27,68,0.39705882352941174,11,29,0.3793103448275862,0.3793103448275862,19,26,28,27,6,0.48148148148148145,0.5,0.8181818181818182,0.29896907216494845,0.5325417525773196,0.4484536082474227,0.4953271028037383,2,6,0.08823529411764706,2,0.06896551724137931
"2021-02-24","IND",105,107,30,52,0.5769230769230769,7,29,0.2413793103448276,0.2413793103448276,26,26,34,21,0,0.43333333333333335,0.4482758620689655,1,0.35802469135802467,0.553324074074074,0.5,0.5572916666666666,2,4,0.07692307692307693,0,0
"2021-02-26","CHA",111,121,24,48,0.5,17,41,0.4146341463414634,0.425,22,28,20,39,12,0.5833333333333334,0.6086956521739131,0.7647058823529411,0.4606741573033708,0.5140289772727272,0.5561797752808989,0.5761904761904761,2,3,0.0625,0,0
"2021-02-28","LAL",107,117,29,54,0.5370370370370371,11,31,0.3548387096774194,0.3548387096774194,26,26,32,27,6,0.4482758620689655,0.52,0.8181818181818182,0.36470588235294116,0.5302452941176471,0.5352941176470588,0.5686274509803921,8,4,0.07407407407407407,0,0
"2021-03-03","POR",94,108,22,37,0.5945945945945946,14,49,0.2857142857142857,0.2857142857142857,22,14,30,24,18,0.3181818181818182,0.3333333333333333,0.5714285714285714,0.5697674418604651,0.5203220930232558,0.5,0.5625,2,1,0.02702702702702703,0,0
"2021-03-04","PHX",103,120,37,66,0.5606060606060606,12,30,0.4,0.4,10,42,32,30,6,0.5675675675675675,0.65625,0.8333333333333334,0.3125,0.5062229166666666,0.5729166666666666,0.5882352941176471,10,4,0.06060606060606061,0,0
"2021-03-11","LAC",109,130,26,55,0.4727272727272727,18,41,0.43902439024390244,0.43902439024390244,24,20,32,39,15,0.38461538461538464,0.43478260869565216,0.7222222222222222,0.4270833333333333,0.5111885416666667,0.5520833333333334,0.5963302752293578,6,5,0.09090909090909091,1,0.024390243902439025
"2021-03-14","UTA",103,119,26,49,0.5306122448979592,15,44,0.3409090909090909,0.3409090909090909,22,22,30,39,6,0.4230769230769231,0.5,0.8666666666666667,0.4731182795698925,0.5182166666666667,0.521505376344086,0.5560747663551402,8,2,0.04081632653061224,0,0
"2021-03-15","LAL",102,128,38,51,0.7450980392156863,11,27,0.4074074074074074,0.4074074074074074,19,52,24,30,3,0.6842105263157895,0.7027027027027027,0.9090909090909091,0.34615384615384615,0.49062467532467535,0.6987179487179487,0.7191011235955056,2,2,0.0392156862745098,0,0
"2021-03-17","HOU",100,94,26,53,0.49056603773584906,7,27,0.25925925925925924,0.25925925925925924,21,26,26,18,3,0.5,0.52,0.8571428571428571,0.3375,0.4941375,0.45625,0.47959183673469385,2,3,0.05660377358490566,1,0.037037037037037035
"2021-03-19","MEM",103,103,31,58,0.5344827586206896,8,26,0.3076923076923077,0.3076923076923077,17,34,28,21,3,0.5483870967741935,0.6538461538461539,0.875,0.30952380952380953,0.5445059523809525,0.5119047619047619,0.553763440860215,10,5,0.08620689655172414,1,0.038461538461538464
"2021-03-20","MEM",105,111,27,63,0.42857142857142855,10,32,0.3125,0.3125,27,32,22,27,3,0.5925925925925926,0.6956521739130435,0.9,0.3368421052631579,0.5409752631578948,0.4421052631578947,0.5138888888888888,8,7,0.1111111111111111,0,0
"2021-03-23","PHI",98,108,32,62,0.5161290322580645,7,24,0.2916666666666667,0.2916666666666667,23,18,46,18,3,0.28125,0.3103448275862069,0.8571428571428571,0.27906976744186046,0.4903598837209302,0.4941860465116279,0.5247524752475248,6,6,0.0967741935483871,1,0.041666666666666664
"2021-03-25","SAC",96,141,34,51,0.6666666666666666,19,38,0.5,0.5135135135135135,16,30,38,39,18,0.4411764705882353,0.45454545454545453,0.6842105263157895,0.42696629213483145,0.5107607954545454,0.702247191011236,0.734375,2,0,0,0,0
"2021-03-26","ATL",96,124,33,51,0.6470588235294118,13,33,0.3939393939393939,0.3939393939393939,19,40,26,33,6,0.6060606060606061,0.6666666666666666,0.8461538461538461,0.39285714285714285,0.5041190476190476,0.625,0.6526315789473685,6,3,0.058823529411764705,1,0.030303030303030304
"2021-03-29","CHI",98,102,38,60,0.6333333333333333,6,24,0.25,0.25,8,54,22,18,0,0.7105263157894737,0.7714285714285715,1,0.2857142857142857,0.47236607142857145,0.5595238095238095,0.5738636363636364,6,8,0.13333333333333333,0,0
"2021-04-01","MIA",99,116,26,43,0.6046511627906976,13,39,0.3333333333333333,0.34210526315789475,25,36,16,36,3,0.6923076923076923,0.6923076923076923,0.9230769230769231,0.47560975609756095,0.5387104938271605,0.5548780487804879,0.6052631578947368,0,2,0.046511627906976744,1,0.02564102564102564
"2021-04-02","TOR",99,130,32,53,0.6037735849056604,15,35,0.42857142857142855,0.42857142857142855,21,26,38,39,6,0.40625,0.43333333333333335,0.8666666666666667,0.3977272727272727,0.47700852272727273,0.6193181818181818,0.6515151515151515,4,4,0.07547169811320754,0,0
