"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2020-12-26","POR",106,126,34,52,0.6538461538461539,11,35,0.3142857142857143,0.3235294117647059,25,40,28,21,12,0.5882352941176471,0.625,0.6363636363636364,0.40229885057471265,0.565193023255814,0.5804597701149425,0.6127450980392157,4,5,0.09615384615384616,0,0
"2020-12-28","DEN",102,111,23,47,0.48936170212765956,16,39,0.41025641025641024,0.41025641025641024,17,28,18,33,15,0.6086956521739131,0.6086956521739131,0.6875,0.45348837209302323,0.5011947674418604,0.5465116279069767,0.5842105263157895,0,7,0.14893617021276595,0,0
"2020-12-31","SAC",105,122,32,50,0.64,13,36,0.3611111111111111,0.3611111111111111,19,36,28,24,15,0.5625,0.6,0.6153846153846154,0.4186046511627907,0.5492104651162791,0.5988372093023255,0.6237113402061856,4,4,0.08,1,0.027777777777777776
"2021-01-02","SAC",97,102,23,40,0.575,13,41,0.3170731707317073,0.3170731707317073,17,12,34,27,12,0.2608695652173913,0.2857142857142857,0.6923076923076923,0.5061728395061729,0.5051407407407408,0.5246913580246914,0.554945054945055,4,3,0.075,1,0.024390243902439025
"2021-01-04","DAL",95,100,19,37,0.5135135135135135,11,40,0.275,0.275,29,22,16,18,15,0.5789473684210527,0.6111111111111112,0.5454545454545454,0.5194805194805194,0.5379077922077922,0.461038961038961,0.532608695652174,2,3,0.08108108108108109,0,0
"2021-01-06","IND",100,107,31,51,0.6078431372549019,8,30,0.26666666666666666,0.27586206896551724,21,24,38,21,3,0.3870967741935484,0.4,0.875,0.37037037037037035,0.59604375,0.5308641975308642,0.5752688172043011,2,9,0.17647058823529413,0,0
"2021-01-08","ORL",95,132,29,44,0.6590909090909091,22,47,0.46808510638297873,0.46808510638297873,8,30,28,57,9,0.5172413793103449,0.5172413793103449,0.8636363636363636,0.5164835164835165,0.5380686813186814,0.6813186813186813,0.6875,0,2,0.045454545454545456,0,0
"2021-01-10","LAL",104,102,25,49,0.5102040816326531,12,41,0.2926829268292683,0.2926829268292683,16,22,28,33,3,0.44,0.4782608695652174,0.9166666666666666,0.45555555555555555,0.542781111111111,0.4777777777777778,0.505,4,7,0.14285714285714285,1,0.024390243902439025
"2021-01-12","LAL",103,100,26,57,0.45614035087719296,12,40,0.3,0.3,12,24,28,33,3,0.46153846153846156,0.5454545454545454,0.9166666666666666,0.41237113402061853,0.5252201030927836,0.4536082474226804,0.4854368932038835,8,12,0.21052631578947367,0,0
"2021-01-14","SAS",99,109,29,53,0.5471698113207547,13,33,0.3939393939393939,0.3939393939393939,12,26,32,36,3,0.4482758620689655,0.5,0.9230769230769231,0.38372093023255816,0.5308377906976744,0.563953488372093,0.5797872340425532,6,4,0.07547169811320754,0,0
"2021-01-16","SAS",101,91,19,52,0.36538461538461536,12,32,0.375,0.375,17,22,16,27,9,0.5789473684210527,0.6111111111111112,0.75,0.38095238095238093,0.5775839285714286,0.44047619047619047,0.48404255319148937,2,7,0.1346153846153846,0,0
"2021-01-18","CHI",106,120,29,48,0.6041666666666666,17,40,0.425,0.425,11,22,36,42,9,0.3793103448275862,0.3793103448275862,0.8235294117647058,0.45454545454545453,0.5875295454545454,0.6193181818181818,0.631578947368421,0,3,0.0625,0,0
"2021-01-20","PHX",104,103,27,57,0.47368421052631576,10,31,0.3225806451612903,0.3225806451612903,19,22,32,18,12,0.4074074074074074,0.4583333333333333,0.6,0.3522727272727273,0.5118784090909091,0.4772727272727273,0.5309278350515464,6,11,0.19298245614035087,0,0
"2021-01-22","DET",100,103,23,54,0.42592592592592593,14,41,0.34146341463414637,0.34146341463414637,15,22,24,39,3,0.4782608695652174,0.6111111111111112,0.9285714285714286,0.43157894736842106,0.5481836842105263,0.4631578947368421,0.4951923076923077,10,7,0.12962962962962962,1,0.024390243902439025
"2021-01-23","DAL",99,133,31,49,0.6326530612244898,16,37,0.43243243243243246,0.43243243243243246,23,26,36,45,3,0.41935483870967744,0.52,0.9375,0.43023255813953487,0.5353982352941177,0.6395348837209303,0.6717171717171717,12,4,0.08163265306122448,0,0
"2021-01-26","WAS",104,107,25,51,0.49019607843137253,12,37,0.32432432432432434,0.3333333333333333,21,16,34,24,12,0.32,0.36363636363636365,0.6666666666666666,0.42045454545454547,0.5138867816091954,0.48863636363636365,0.535,6,2,0.0392156862745098,1,0.02702702702702703
"2021-01-28","POR",99,104,25,43,0.5813953488372093,13,47,0.2765957446808511,0.2765957446808511,15,18,32,30,9,0.36,0.391304347826087,0.7692307692307693,0.5222222222222223,0.5206033333333333,0.49444444444444446,0.5360824742268041,4,5,0.11627906976744186,2,0.0425531914893617
"2021-01-30","NOP",106,126,25,46,0.5434782608695652,20,46,0.43478260869565216,0.43478260869565216,16,30,20,51,9,0.6,0.7142857142857143,0.85,0.5,0.5477847826086957,0.5978260869565217,0.62,8,7,0.15217391304347827,0,0
"2021-02-01","OKC",104,136,21,50,0.42,28,52,0.5384615384615384,0.5384615384615384,10,14,28,69,15,0.3333333333333333,0.35,0.8214285714285714,0.5098039215686274,0.5298093137254902,0.6176470588235294,0.6476190476190476,2,7,0.14,1,0.019230769230769232
"2021-02-03","OKC",107,87,21,40,0.525,12,46,0.2608695652173913,0.2608695652173913,9,22,20,30,6,0.5238095238095238,0.55,0.8333333333333334,0.5348837209302325,0.5106354651162791,0.45348837209302323,0.47282608695652173,2,5,0.125,0,0
"2021-02-04","MEM",98,115,22,42,0.5238095238095238,19,45,0.4222222222222222,0.4222222222222222,14,18,26,51,6,0.4090909090909091,0.47368421052631576,0.8947368421052632,0.5172413793103449,0.5810724137931035,0.5804597701149425,0.6129032258064516,6,6,0.14285714285714285,0,0
"2021-02-06","SAS",101,106,26,50,0.52,12,38,0.3157894736842105,0.3157894736842105,18,22,30,30,6,0.4230769230769231,0.44,0.8333333333333334,0.4318181818181818,0.5039539772727273,0.5,0.5353535353535354,2,6,0.12,1,0.02631578947368421
"2021-02-08","CHA",96,94,22,39,0.5641025641025641,13,47,0.2765957446808511,0.2765957446808511,11,22,22,27,12,0.5,0.5789473684210527,0.6923076923076923,0.5465116279069767,0.5592069767441861,0.48255813953488375,0.5053763440860215,6,6,0.15384615384615385,0,0
"2021-02-09","NOP",97,101,25,48,0.5208333333333334,13,43,0.3023255813953488,0.3023255813953488,12,24,26,36,3,0.48,0.5217391304347826,0.9230769230769231,0.4725274725274725,0.5563818681318681,0.489010989010989,0.5050505050505051,4,6,0.125,0,0
"2021-02-11","MIA",98,94,17,33,0.5151515151515151,15,50,0.3,0.3,15,20,14,42,3,0.5882352941176471,0.5882352941176471,0.9333333333333333,0.6024096385542169,0.5455536144578312,0.4759036144578313,0.5108695652173914,0,3,0.09090909090909091,0,0
"2021-02-13","NYK",96,99,25,45,0.5555555555555556,8,43,0.18604651162790697,0.18604651162790697,25,26,24,12,12,0.52,0.5416666666666666,0.5,0.48863636363636365,0.5522159090909091,0.42045454545454547,0.4803921568627451,2,4,0.08888888888888889,0,0
"2021-02-15","WAS",110,119,35,54,0.6481481481481481,8,37,0.21621621621621623,0.21621621621621623,25,30,40,24,0,0.42857142857142855,0.46875,1,0.4065934065934066,0.4746835164835165,0.5164835164835165,0.5619047619047619,6,2,0.037037037037037035,0,0
"2021-02-17","PHI",107,113,27,45,0.6,15,47,0.3191489361702128,0.32608695652173914,14,24,30,42,3,0.4444444444444444,0.5217391304347826,0.9333333333333333,0.5108695652173914,0.5653510989010989,0.5380434782608695,0.5707070707070707,8,6,0.13333333333333333,0,0
"2021-02-22","CHI",99,100,24,56,0.42857142857142855,13,40,0.325,0.325,13,20,28,30,9,0.4166666666666667,0.5,0.7692307692307693,0.4166666666666667,0.5186947916666667,0.453125,0.4854368932038835,8,5,0.08928571428571429,0,0
"2021-02-24","CLE",94,96,26,57,0.45614035087719296,10,33,0.30303030303030304,0.30303030303030304,14,16,36,30,0,0.3076923076923077,0.32,1,0.36666666666666664,0.5514361111111111,0.45555555555555555,0.4948453608247423,2,10,0.17543859649122806,0,0
"2021-02-26","TOR",98,111,23,44,0.5227272727272727,16,47,0.3404255319148936,0.34782608695652173,17,14,32,48,0,0.30434782608695654,0.3333333333333333,1,0.5164835164835165,0.5041100000000001,0.5164835164835165,0.555,4,6,0.13636363636363635,2,0.0425531914893617
"2021-02-28","MEM",110,84,19,38,0.5,4,45,0.08888888888888889,0.08888888888888889,34,16,22,6,6,0.42105263157894735,0.47058823529411764,0.5,0.5421686746987951,0.5334777108433735,0.30120481927710846,0.415,4,3,0.07894736842105263,0,0
"2021-03-01","CLE",96,90,21,45,0.4666666666666667,10,31,0.3225806451612903,0.3225806451612903,18,6,36,30,0,0.14285714285714285,0.15789473684210525,1,0.40789473684210525,0.5236506578947369,0.47368421052631576,0.5172413793103449,4,5,0.1111111111111111,1,0.03225806451612903
"2021-03-03","BKN",100,114,20,48,0.4166666666666667,18,43,0.4186046511627907,0.4186046511627907,20,18,22,45,9,0.45,0.47368421052631576,0.8333333333333334,0.4725274725274725,0.5245791208791208,0.5164835164835165,0.5432692307692307,2,1,0.020833333333333332,0,0
"2021-03-11","SAC",105,105,30,54,0.5555555555555556,11,45,0.24444444444444444,0.25,12,32,28,24,9,0.5333333333333333,0.5925925925925926,0.7272727272727273,0.45454545454545453,0.5345122448979591,0.4696969696969697,0.49065420560747663,6,5,0.09259259259259259,0,0
"2021-03-12","UTA",104,99,32,69,0.463768115942029,9,43,0.20930232558139536,0.20930232558139536,8,18,46,18,9,0.28125,0.3333333333333333,0.6666666666666666,0.38392857142857145,0.5125053571428572,0.40625,0.4188034188034188,10,10,0.14492753623188406,0,0
"2021-03-14","BOS",105,107,19,41,0.4634146341463415,16,50,0.32,0.32,21,18,20,42,6,0.47368421052631576,0.6,0.875,0.5494505494505495,0.5203307692307692,0.4725274725274725,0.5047169811320755,8,3,0.07317073170731707,0,0
"2021-03-16","ATL",91,107,29,54,0.5370370370370371,13,34,0.38235294117647056,0.38235294117647056,10,34,24,30,9,0.5862068965517241,0.5862068965517241,0.7692307692307693,0.38636363636363635,0.5167357954545454,0.5511363636363636,0.5815217391304348,0,6,0.1111111111111111,0,0
"2021-03-17","GSW",100,94,26,53,0.49056603773584906,7,27,0.25925925925925924,0.25925925925925924,21,26,26,18,3,0.5,0.52,0.8571428571428571,0.3375,0.4941375,0.45625,0.47959183673469385,2,3,0.05660377358490566,1,0.037037037037037035
"2021-03-19","DET",96,100,30,56,0.5357142857142857,9,32,0.28125,0.28125,13,32,28,15,12,0.5333333333333333,0.5517241379310345,0.5555555555555556,0.36363636363636365,0.5086247126436781,0.4943181818181818,0.5319148936170213,2,4,0.07142857142857142,0,0
"2021-03-21","OKC",100,112,25,41,0.6097560975609756,14,38,0.3684210526315789,0.3684210526315789,20,22,28,33,9,0.44,0.44,0.7857142857142857,0.4810126582278481,0.5207063291139241,0.5822784810126582,0.6032608695652174,0,2,0.04878048780487805,0,0
"2021-03-22","TOR",98,117,27,54,0.5,14,36,0.3888888888888889,0.37142857142857144,21,30,24,39,3,0.5555555555555556,0.6,0.9285714285714286,0.4,0.512085393258427,0.5333333333333333,0.5808080808080808,4,5,0.09259259259259259,0,0
"2021-03-24","CHA",93,97,17,37,0.4594594594594595,16,49,0.32653061224489793,0.3333333333333333,15,20,14,42,6,0.5882352941176471,0.6666666666666666,0.875,0.5697674418604651,0.5278852941176471,0.47674418604651164,0.5,4,2,0.05405405405405406,1,0.02040816326530612
