"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2020-12-26","POR",105,128,28,57,0.49122807017543857,19,45,0.4222222222222222,0.4318181818181818,15,24,32,45,12,0.42857142857142855,0.46153846153846156,0.7894736842105263,0.4411764705882353,0.5247539603960396,0.553921568627451,0.5663716814159292,4,5,0.08771929824561403,0,0
"2020-12-28","DEN",103,124,32,56,0.5714285714285714,14,31,0.45161290322580644,0.45161290322580644,18,40,24,33,9,0.625,0.7142857142857143,0.7857142857142857,0.3563218390804598,0.4976942528735632,0.6091954022988506,0.615,8,3,0.05357142857142857,0,0
"2020-12-31","SAC",106,119,34,63,0.5396825396825397,11,33,0.3333333333333333,0.3333333333333333,18,32,36,21,12,0.47058823529411764,0.48484848484848486,0.6363636363636364,0.34375,0.4984005208333333,0.5260416666666666,0.5613207547169812,2,6,0.09523809523809523,0,0
"2021-01-02","SAC",97,94,26,62,0.41935483870967744,9,28,0.32142857142857145,0.32142857142857145,15,10,42,18,9,0.19230769230769232,0.22727272727272727,0.6666666666666666,0.3111111111111111,0.5041266666666667,0.4388888888888889,0.4744897959183674,8,10,0.16129032258064516,0,0
"2021-01-04","DAL",95,113,23,43,0.5348837209302325,16,39,0.41025641025641024,0.41025641025641024,19,22,24,39,9,0.4782608695652174,0.55,0.8125,0.47560975609756095,0.4946347560975609,0.573170731707317,0.6179775280898876,6,4,0.09302325581395349,0,0
"2021-01-06","IND",100,114,33,66,0.5,9,23,0.391304347826087,0.391304347826087,21,28,38,21,6,0.42424242424242425,0.4666666666666667,0.7777777777777778,0.25842696629213485,0.5806926966292134,0.5224719101123596,0.5594059405940595,6,11,0.16666666666666666,1,0.043478260869565216
"2021-01-08","ORL",95,90,26,60,0.43333333333333335,8,29,0.27586206896551724,0.27586206896551724,14,18,34,24,0,0.34615384615384615,0.4090909090909091,1,0.3258426966292135,0.5102460674157304,0.42696629213483145,0.4635416666666667,8,8,0.13333333333333333,0,0
"2021-01-10","LAL",102,120,36,62,0.5806451612903226,10,29,0.3448275862068966,0.3448275862068966,18,38,34,27,3,0.5277777777777778,0.5588235294117647,0.9,0.31868131868131866,0.5525175824175824,0.5604395604395604,0.59,4,8,0.12903225806451613,0,0
"2021-01-12","LAL",102,117,28,52,0.5384615384615384,14,32,0.4375,0.4375,19,28,28,36,6,0.5,0.6086956521739131,0.8571428571428571,0.38095238095238093,0.5119583333333333,0.5833333333333334,0.6041666666666666,10,5,0.09615384615384616,0,0
"2021-01-14","SAS",98,105,33,61,0.5409836065573771,9,31,0.2903225806451613,0.2903225806451613,12,36,30,24,3,0.5454545454545454,0.5806451612903226,0.8888888888888888,0.33695652173913043,0.5306913043478261,0.5054347826086957,0.5357142857142857,4,6,0.09836065573770492,0,0
