"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2020-12-22","LAL",103,109,29,52,0.5576923076923077,9,29,0.3103448275862069,0.32142857142857145,24,34,24,15,12,0.5862068965517241,0.6071428571428571,0.5555555555555556,0.35802469135802467,0.524063125,0.5246913580246914,0.5797872340425532,2,3,0.057692307692307696,0,0
"2020-12-25","DEN",95,108,26,45,0.5777777777777777,11,36,0.3055555555555556,0.3055555555555556,23,32,20,27,6,0.6153846153846154,0.6153846153846154,0.8181818181818182,0.4444444444444444,0.5099975308641975,0.5246913580246914,0.5684210526315789,0,4,0.08888888888888889,0,0
"2020-12-27","DAL",93,124,29,46,0.6304347826086957,14,41,0.34146341463414637,0.34146341463414637,24,26,32,36,6,0.4482758620689655,0.4642857142857143,0.8571428571428571,0.47126436781609193,0.5136494252873564,0.5747126436781609,0.6326530612244898,2,1,0.021739130434782608,1,0.024390243902439025
"2020-12-29","MIN",99,101,24,51,0.47058823529411764,13,38,0.34210526315789475,0.34210526315789475,14,28,20,24,15,0.5833333333333334,0.6086956521739131,0.6153846153846154,0.42696629213483145,0.5409955056179776,0.4887640449438202,0.5260416666666666,2,10,0.19607843137254902,0,0
"2020-12-30","POR",102,105,20,38,0.5263157894736842,12,38,0.3157894736842105,0.3157894736842105,29,14,26,21,15,0.35,0.3888888888888889,0.5833333333333334,0.5,0.5323532894736842,0.5,0.5769230769230769,4,6,0.15789473684210525,0,0
"2021-01-01","UTA",90,106,26,47,0.5531914893617021,15,42,0.35714285714285715,0.35714285714285715,9,34,18,33,12,0.6538461538461539,0.7083333333333334,0.7333333333333333,0.47191011235955055,0.521673595505618,0.5449438202247191,0.5585106382978723,4,6,0.1276595744680851,2,0.047619047619047616
"2021-01-03","PHX",92,107,27,42,0.6428571428571429,10,33,0.30303030303030304,0.30303030303030304,23,30,24,24,6,0.5555555555555556,0.6521739130434783,0.8,0.44,0.5119373333333334,0.56,0.6149425287356322,8,2,0.047619047619047616,0,0
"2021-01-05","SAS",96,116,24,56,0.42857142857142855,20,40,0.5,0.5,8,16,32,45,15,0.3333333333333333,0.38095238095238093,0.75,0.4166666666666667,0.5186083333333333,0.5625,0.575,6,6,0.10714285714285714,1,0.025
"2021-01-06","GSW",98,101,31,56,0.5535714285714286,8,30,0.26666666666666666,0.26666666666666666,15,38,24,18,6,0.6129032258064516,0.6551724137931034,0.75,0.3488372093023256,0.4978779069767442,0.5,0.5372340425531915,4,3,0.05357142857142857,0,0
"2021-01-08","GSW",96,115,20,41,0.4878048780487805,20,41,0.4878048780487805,0.4878048780487805,15,24,16,39,21,0.6,0.6666666666666666,0.65,0.5,0.5242640243902439,0.6097560975609756,0.6388888888888888,4,5,0.12195121951219512,0,0
