"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2020-12-22","LAC",103,109,29,52,0.5576923076923077,9,29,0.3103448275862069,0.32142857142857145,24,34,24,15,12,0.5862068965517241,0.6071428571428571,0.5555555555555556,0.35802469135802467,0.524063125,0.5246913580246914,0.5797872340425532,2,3,0.057692307692307696,0,0
"2020-12-25","DAL",100,138,32,52,0.6153846153846154,19,39,0.48717948717948717,0.5,17,34,30,48,9,0.53125,0.6071428571428571,0.8421052631578947,0.42857142857142855,0.5147744444444444,0.6648351648351648,0.6831683168316832,8,3,0.057692307692307696,0,0
"2020-12-27","MIN",105,127,37,55,0.6727272727272727,13,35,0.37142857142857144,0.37142857142857144,14,40,34,36,3,0.5405405405405406,0.5714285714285714,0.9230769230769231,0.3888888888888889,0.5353027777777778,0.6277777777777778,0.6614583333333334,4,5,0.09090909090909091,1,0.02857142857142857
"2020-12-28","POR",98,107,31,60,0.5166666666666667,10,27,0.37037037037037035,0.37037037037037035,15,26,36,21,9,0.41935483870967744,0.4642857142857143,0.7,0.3103448275862069,0.5110827586206896,0.5287356321839081,0.5752688172043011,6,6,0.1,0,0
"2020-12-30","SAS",101,121,32,56,0.5714285714285714,14,26,0.5384615384615384,0.5384615384615384,15,26,38,36,6,0.40625,0.4642857142857143,0.8571428571428571,0.3170731707317073,0.5636323170731707,0.6463414634146342,0.6611111111111111,8,4,0.07142857142857142,0,0
"2021-01-01","SAS",101,109,27,68,0.39705882352941174,14,33,0.42424242424242425,0.42424242424242425,13,36,18,27,15,0.6666666666666666,0.6923076923076923,0.6428571428571429,0.32673267326732675,0.47080940594059406,0.4752475247524752,0.5046296296296297,2,8,0.11764705882352941,0,0
"2021-01-03","MEM",94,108,29,54,0.5370370370370371,12,35,0.34285714285714286,0.34285714285714286,14,28,30,30,6,0.4827586206896552,0.56,0.8333333333333334,0.39325842696629215,0.5365865168539325,0.5280898876404494,0.5510204081632653,8,3,0.05555555555555555,0,0
"2021-01-05","MEM",96,94,29,56,0.5178571428571429,9,31,0.2903225806451613,0.2903225806451613,9,32,26,24,3,0.5517241379310345,0.6153846153846154,0.8888888888888888,0.3563218390804598,0.5308264367816092,0.4885057471264368,0.510989010989011,6,4,0.07142857142857142,0,0
"2021-01-07","SAS",99,109,33,56,0.5892857142857143,10,30,0.3333333333333333,0.3333333333333333,13,28,38,21,9,0.42424242424242425,0.5,0.7,0.3488372093023256,0.5692994186046512,0.5581395348837209,0.5736842105263158,10,3,0.05357142857142857,0,0
"2021-01-08","CHI",97,117,29,52,0.5576923076923077,12,29,0.41379310344827586,0.41379310344827586,23,20,38,33,3,0.3448275862068966,0.37037037037037035,0.9166666666666666,0.35802469135802467,0.49848518518518514,0.5802469135802469,0.6304347826086957,4,3,0.057692307692307696,0,0
"2021-01-10","HOU",102,120,36,62,0.5806451612903226,10,29,0.3448275862068966,0.3448275862068966,18,38,34,27,3,0.5277777777777778,0.5588235294117647,0.9,0.31868131868131866,0.5525175824175824,0.5604395604395604,0.59,4,8,0.12903225806451613,0,0
"2021-01-12","HOU",102,117,28,52,0.5384615384615384,14,32,0.4375,0.4375,19,28,28,36,6,0.5,0.6086956521739131,0.8571428571428571,0.38095238095238093,0.5119583333333333,0.5833333333333334,0.6041666666666666,10,5,0.09615384615384616,0,0
"2021-01-13","OKC",97,128,30,58,0.5172413793103449,17,37,0.4594594594594595,0.4722222222222222,17,30,30,33,18,0.5,0.5555555555555556,0.6470588235294118,0.3894736842105263,0.5185510638297872,0.5842105263157895,0.6116504854368932,6,5,0.08620689655172414,1,0.02702702702702703
"2021-01-15","NOP",95,112,24,56,0.42857142857142855,15,37,0.40540540540540543,0.40540540540540543,19,32,16,45,0,0.6666666666666666,0.6956521739130435,1,0.3978494623655914,0.5300774193548387,0.5,0.5336538461538461,2,5,0.08928571428571429,0,0
"2021-01-18","GSW",101,113,31,54,0.5740740740740741,9,29,0.3103448275862069,0.3103448275862069,24,32,30,21,6,0.5161290322580645,0.5714285714285714,0.7777777777777778,0.3493975903614458,0.545239156626506,0.536144578313253,0.5721649484536082,6,3,0.05555555555555555,0,0
"2021-01-21","MIL",98,113,22,51,0.43137254901960786,19,37,0.5135135135135135,0.5135135135135135,12,16,28,51,6,0.36363636363636365,0.36363636363636365,0.8947368421052632,0.42045454545454547,0.4962862068965518,0.5738636363636364,0.5947368421052631,0,5,0.09803921568627451,0,0
"2021-01-23","CHI",103,101,32,60,0.5333333333333333,4,19,0.21052631578947367,0.21052631578947367,25,32,32,12,0,0.5,0.5,1,0.24050632911392406,0.5449575949367089,0.4810126582278481,0.5489130434782609,0,1,0.016666666666666666,0,0
"2021-01-25","CLE",97,115,32,55,0.5818181818181818,10,32,0.3125,0.3125,21,28,36,21,9,0.4375,0.4666666666666667,0.7,0.367816091954023,0.5509333333333333,0.5402298850574713,0.5808080808080808,4,3,0.05454545454545454,0,0
"2021-01-27","PHI",94,106,33,62,0.532258064516129,8,24,0.3333333333333333,0.3333333333333333,16,28,38,18,6,0.42424242424242425,0.4375,0.75,0.27906976744186046,0.525221511627907,0.5232558139534884,0.5520833333333334,2,7,0.11290322580645161,0,0
"2021-01-28","DET",89,92,24,60,0.4,12,28,0.42857142857142855,0.4444444444444444,8,32,16,27,9,0.6666666666666666,0.6956521739130435,0.75,0.3181818181818182,0.569544827586207,0.4772727272727273,0.5,2,2,0.03333333333333333,0,0
"2021-01-30","BOS",93,96,28,53,0.5283018867924528,9,31,0.2903225806451613,0.2903225806451613,13,26,30,21,6,0.4642857142857143,0.5652173913043478,0.7777777777777778,0.36904761904761907,0.49052797619047617,0.49404761904761907,0.5217391304347826,10,6,0.11320754716981132,0,0
"2021-02-01","ATL",93,107,33,54,0.6111111111111112,7,23,0.30434782608695654,0.30434782608695654,20,36,30,18,3,0.5454545454545454,0.5625,0.8571428571428571,0.2987012987012987,0.5622818181818181,0.564935064935065,0.6091954022988506,2,3,0.05555555555555555,0,0
"2021-02-04","DEN",95,114,38,57,0.6666666666666666,8,24,0.3333333333333333,0.3333333333333333,14,48,28,15,9,0.631578947368421,0.6486486486486487,0.625,0.2962962962962963,0.5432833333333333,0.6172839506172839,0.6404494382022472,2,2,0.03508771929824561,0,0
"2021-02-06","DET",115,135,42,72,0.5833333333333334,9,19,0.47368421052631576,0.47368421052631576,24,50,34,21,6,0.5952380952380952,0.6097560975609756,0.7777777777777778,0.2087912087912088,0.5105088888888889,0.6098901098901099,0.6553398058252428,2,4,0.05555555555555555,0,0
"2021-02-08","OKC",110,119,35,57,0.6140350877192983,9,38,0.23684210526315788,0.23684210526315788,22,38,32,27,0,0.5428571428571428,0.5588235294117647,1,0.4,0.5215452631578947,0.5105263157894737,0.5467289719626168,2,4,0.07017543859649122,0,0
"2021-02-10","OKC",106,114,32,54,0.5925925925925926,10,35,0.2857142857142857,0.2857142857142857,20,28,36,24,6,0.4375,0.4666666666666667,0.8,0.39325842696629215,0.5141219101123595,0.5280898876404494,0.576530612244898,4,4,0.07407407407407407,0,0
"2021-02-12","MEM",100,115,37,55,0.6727272727272727,6,30,0.2,0.2,23,44,30,12,6,0.5945945945945946,0.6285714285714286,0.6666666666666666,0.35294117647058826,0.550570588235294,0.5411764705882353,0.5816326530612245,4,2,0.03636363636363636,0,0
"2021-02-14","DEN",98,105,34,59,0.576271186440678,6,28,0.21428571428571427,0.21428571428571427,19,42,26,18,0,0.6176470588235294,0.7,1,0.3218390804597701,0.5052994252873563,0.4942528735632184,0.5303030303030303,8,4,0.06779661016949153,0,0
"2021-02-16","MIN",97,112,31,51,0.6078431372549019,11,26,0.4230769230769231,0.4230769230769231,17,18,44,33,0,0.2903225806451613,0.3,1,0.33766233766233766,0.5413207792207793,0.6168831168831169,0.6453488372093024,2,4,0.0784313725490196,0,0
"2021-02-18","BKN",92,98,32,53,0.6037735849056604,8,30,0.26666666666666666,0.26666666666666666,10,26,38,24,0,0.40625,0.43333333333333335,1,0.3614457831325301,0.5281867469879519,0.5301204819277109,0.5632183908045977,4,3,0.05660377358490566,0,0
"2021-02-20","MIA",96,94,20,39,0.5128205128205128,13,45,0.28888888888888886,0.29545454545454547,15,24,16,39,0,0.6,0.631578947368421,1,0.5357142857142857,0.5244186746987952,0.47023809523809523,0.5164835164835165,2,3,0.07692307692307693,0,0
"2021-02-22","WAS",113,124,34,60,0.5666666666666667,15,44,0.3409090909090909,0.3409090909090909,11,28,40,45,0,0.4117647058823529,0.4375,1,0.4230769230769231,0.521971359223301,0.5432692307692307,0.5688073394495413,4,4,0.06666666666666667,0,0
"2021-02-24","UTA",92,89,26,52,0.5,8,33,0.24242424242424243,0.24242424242424243,13,24,28,15,9,0.46153846153846156,0.5217391304347826,0.625,0.38823529411764707,0.49955176470588236,0.4470588235294118,0.4731182795698925,6,1,0.019230769230769232,0,0
