"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2020-12-23","ORL",105,113,32,60,0.5333333333333333,10,28,0.35714285714285715,0.35714285714285715,19,28,36,27,3,0.4375,0.4827586206896552,0.9,0.3181818181818182,0.49008693181818186,0.5340909090909091,0.5544554455445545,6,2,0.03333333333333333,0,0
"2020-12-25","NOP",96,98,21,43,0.4883720930232558,10,35,0.2857142857142857,0.2857142857142857,26,22,20,21,9,0.5238095238095238,0.6111111111111112,0.7,0.44871794871794873,0.49806730769230767,0.46153846153846156,0.5384615384615384,6,2,0.046511627906976744,0,0
"2020-12-29","MIL",102,144,22,41,0.5365853658536586,29,51,0.5686274509803921,0.5686274509803921,13,22,22,63,24,0.5,0.5238095238095238,0.7241379310344828,0.5543478260869565,0.5091913043478261,0.7119565217391305,0.7346938775510204,2,6,0.14634146341463414,0,0
"2020-12-30","MIL",104,108,24,61,0.39344262295081966,16,41,0.3902439024390244,0.3902439024390244,12,26,22,39,9,0.5416666666666666,0.7222222222222222,0.8125,0.4019607843137255,0.5203058823529412,0.47058823529411764,0.5,12,5,0.08196721311475409,0,0
"2021-01-01","DAL",98,93,20,41,0.4878048780487805,12,37,0.32432432432432434,0.32432432432432434,17,18,22,27,9,0.45,0.47368421052631576,0.75,0.47435897435897434,0.5011160256410256,0.48717948717948717,0.5224719101123596,2,2,0.04878048780487805,0,0
"2021-01-04","OKC",100,90,16,31,0.5161290322580645,13,48,0.2708333333333333,0.2708333333333333,19,16,16,36,3,0.5,0.5,0.9230769230769231,0.6075949367088608,0.5205962025316455,0.44936708860759494,0.4945054945054945,0,0,0,0,0
"2021-01-06","BOS",93,107,30,64,0.46875,12,35,0.34285714285714286,0.34285714285714286,11,26,34,27,9,0.43333333333333335,0.5652173913043478,0.75,0.35353535353535354,0.5012606060606061,0.48484848484848486,0.5095238095238095,14,7,0.109375,0,0
"2021-01-09","WAS",108,124,29,59,0.4915254237288136,15,40,0.375,0.375,21,22,36,42,3,0.3793103448275862,0.4583333333333333,0.9333333333333333,0.40404040404040403,0.48277929292929295,0.5202020202020202,0.5636363636363636,10,4,0.06779661016949153,1,0.025
"2021-01-12","PHI",114,137,31,47,0.6595744680851063,19,55,0.34545454545454546,0.34545454545454546,18,26,36,57,0,0.41935483870967744,0.52,1,0.5392156862745098,0.5052779411764706,0.5833333333333334,0.6061946902654868,12,1,0.02127659574468085,3,0.05454545454545454
"2021-01-14","PHI",105,125,27,45,0.6,17,37,0.4594594594594595,0.4594594594594595,20,22,32,48,3,0.4074074074074074,0.4230769230769231,0.9411764705882353,0.45121951219512196,0.5366859756097561,0.6402439024390244,0.6666666666666666,2,1,0.022222222222222223,0,0
