"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2020-12-23","BOS",99,122,30,61,0.4918032786885246,18,40,0.45,0.45,8,20,40,39,15,0.3333333333333333,0.35714285714285715,0.7222222222222222,0.39603960396039606,0.48657079207920795,0.5643564356435643,0.5761904761904761,4,6,0.09836065573770492,0,0
"2020-12-25","GSW",109,99,24,54,0.4444444444444444,10,45,0.2222222222222222,0.2222222222222222,21,14,34,21,9,0.2916666666666667,0.3333333333333333,0.7,0.45454545454545453,0.5151934343434343,0.3939393939393939,0.44545454545454544,6,4,0.07407407407407407,0,0
"2020-12-27","NYK",99,130,30,58,0.5172413793103449,16,27,0.5925925925925926,0.5925925925925926,22,26,34,42,6,0.43333333333333335,0.4482758620689655,0.875,0.3176470588235294,0.5107523529411765,0.6352941176470588,0.6701030927835051,2,5,0.08620689655172414,0,0
"2020-12-29","MIA",101,97,26,42,0.6190476190476191,11,37,0.2972972972972973,0.2972972972972973,12,30,22,24,9,0.5769230769230769,0.5769230769230769,0.7272727272727273,0.46835443037974683,0.49191645569620257,0.5379746835443038,0.5459770114942529,0,1,0.023809523809523808,1,0.02702702702702703
"2020-12-30","MIA",104,119,25,43,0.5813953488372093,15,39,0.38461538461538464,0.39473684210526316,24,24,26,39,6,0.48,0.48,0.8666666666666667,0.47560975609756095,0.5155493827160494,0.5792682926829268,0.6197916666666666,0,3,0.06976744186046512,3,0.07692307692307693
"2021-01-01","CHI",110,96,32,61,0.5245901639344263,6,26,0.23076923076923078,0.23076923076923078,14,24,40,18,0,0.375,0.4,1,0.2988505747126437,0.5126735632183909,0.47126436781609193,0.4947916666666667,4,6,0.09836065573770492,0,0
"2021-01-04","DET",100,115,26,58,0.4482758620689655,17,40,0.425,0.425,12,24,28,45,6,0.46153846153846156,0.5,0.8823529411764706,0.40816326530612246,0.5109872448979591,0.5255102040816326,0.5588235294117647,4,4,0.06896551724137931,0,0
"2021-01-06","DET",102,115,25,56,0.44642857142857145,13,41,0.3170731707317073,0.3170731707317073,26,14,36,39,0,0.28,0.4117647058823529,1,0.422680412371134,0.5501291666666667,0.4587628865979381,0.5180180180180181,16,4,0.07142857142857142,0,0
"2021-01-08","UTA",102,131,24,44,0.5454545454545454,25,53,0.4716981132075472,0.4716981132075472,8,18,30,66,9,0.375,0.391304347826087,0.88,0.5463917525773195,0.5291639175257732,0.634020618556701,0.6359223300970874,2,5,0.11363636363636363,0,0
"2021-01-09","CLE",93,90,29,61,0.47540983606557374,7,26,0.2692307692307692,0.2692307692307692,11,20,38,18,3,0.3448275862068966,0.37037037037037035,0.8571428571428571,0.2988505747126437,0.5092666666666666,0.4540229885057471,0.4787234042553192,4,4,0.06557377049180328,0,0
"2021-01-11","ORL",99,99,28,60,0.4666666666666667,11,31,0.3548387096774194,0.3548387096774194,10,32,24,24,9,0.5714285714285714,0.6153846153846154,0.7272727272727273,0.34065934065934067,0.5147263736263736,0.489010989010989,0.515625,4,5,0.08333333333333333,2,0.06451612903225806
"2021-01-13","DET",96,101,22,57,0.38596491228070173,14,35,0.4,0.4,15,24,20,39,3,0.5454545454545454,0.6666666666666666,0.9285714285714286,0.3804347826086957,0.574241304347826,0.4673913043478261,0.4900990099009901,8,9,0.15789473684210525,0,0
"2021-01-15","DAL",97,109,32,61,0.5245901639344263,13,36,0.3611111111111111,0.38235294117647056,6,20,44,36,3,0.3125,0.3333333333333333,0.9230769230769231,0.3711340206185567,0.5263757894736841,0.5309278350515464,0.5343137254901961,4,2,0.03278688524590164,1,0.027777777777777776
"2021-01-18","BKN",103,125,31,53,0.5849056603773585,15,31,0.4838709677419355,0.4838709677419355,18,26,36,39,6,0.41935483870967744,0.48148148148148145,0.8666666666666667,0.36904761904761907,0.5216613095238095,0.6369047619047619,0.6595744680851063,8,2,0.03773584905660377,0,0
"2021-01-21","LAL",98,113,22,51,0.43137254901960786,19,37,0.5135135135135135,0.5135135135135135,12,16,28,51,6,0.36363636363636365,0.36363636363636365,0.8947368421052632,0.42045454545454547,0.4962862068965518,0.5738636363636364,0.5947368421052631,0,5,0.09803921568627451,0,0
"2021-01-24","ATL",96,115,28,44,0.6363636363636364,14,39,0.358974358974359,0.3684210526315789,17,28,28,39,3,0.5,0.5,0.9285714285714286,0.46987951807228917,0.499190243902439,0.5903614457831325,0.6117021276595744,0,2,0.045454545454545456,0,0
"2021-01-27","TOR",99,108,16,39,0.41025641025641024,22,55,0.4,0.4,10,16,16,54,12,0.5,0.5333333333333333,0.8181818181818182,0.5851063829787234,0.5219085106382978,0.5212765957446809,0.5408163265306123,2,3,0.07692307692307693,0,0
"2021-01-29","NOP",103,131,24,48,0.5,21,48,0.4375,0.4375,20,32,16,48,15,0.6666666666666666,0.6666666666666666,0.7619047619047619,0.5,0.5317166666666667,0.578125,0.6009174311926605,0,4,0.08333333333333333,1,0.020833333333333332
"2021-01-30","CHA",98,126,23,48,0.4791666666666667,21,44,0.4772727272727273,0.4772727272727273,17,30,16,51,12,0.6521739130434783,0.7142857142857143,0.8095238095238095,0.4782608695652174,0.5175571428571429,0.592391304347826,0.62,4,6,0.125,0,0
"2021-02-01","POR",104,106,24,62,0.3870967741935484,15,42,0.35714285714285715,0.35714285714285715,13,14,34,36,9,0.2916666666666667,0.3333333333333333,0.8,0.40384615384615385,0.5105995192307693,0.44711538461538464,0.481651376146789,6,7,0.11290322580645161,0,0
"2021-02-03","IND",107,110,32,61,0.5245901639344263,11,34,0.3235294117647059,0.3333333333333333,13,36,28,30,3,0.5625,0.6,0.9090909090909091,0.35789473684210527,0.5177335106382979,0.5105263157894737,0.5392156862745098,4,7,0.11475409836065574,0,0
"2021-02-05","CLE",101,105,30,60,0.5,11,32,0.34375,0.34375,12,32,28,21,12,0.5333333333333333,0.5714285714285714,0.6363636363636364,0.34782608695652173,0.5401141304347826,0.5054347826086957,0.525,4,7,0.11666666666666667,0,0
"2021-02-06","CLE",97,99,33,58,0.5689655172413793,6,28,0.21428571428571427,0.21428571428571427,15,30,36,18,0,0.45454545454545453,0.5,1,0.32558139534883723,0.5305936046511628,0.4883720930232558,0.521505376344086,6,2,0.034482758620689655,0,0
"2021-02-08","DEN",96,112,26,58,0.4482758620689655,15,36,0.4166666666666667,0.4166666666666667,15,20,32,36,9,0.38461538461538464,0.4166666666666667,0.8,0.3829787234042553,0.477556914893617,0.5159574468085106,0.56,4,7,0.1206896551724138,0,0
"2021-02-10","PHX",97,125,31,56,0.5535714285714286,15,31,0.4838709677419355,0.4838709677419355,18,24,38,39,6,0.3870967741935484,0.42857142857142855,0.8666666666666667,0.3563218390804598,0.5204350574712644,0.6149425287356322,0.6313131313131313,6,0,0,0,0
"2021-02-12","UTA",105,129,29,44,0.6590909090909091,14,38,0.3684210526315789,0.3684210526315789,29,26,32,27,15,0.4482758620689655,0.48148148148148145,0.6428571428571429,0.4634146341463415,0.50245,0.6097560975609756,0.6649484536082474,4,6,0.13636363636363635,0,0
"2021-02-14","OKC",100,114,30,59,0.5084745762711864,15,36,0.4166666666666667,0.42857142857142855,9,40,20,36,9,0.6666666666666666,0.7142857142857143,0.8,0.37894736842105264,0.5435691489361703,0.5526315789473685,0.5588235294117647,4,5,0.0847457627118644,0,0
"2021-02-16","TOR",104,124,29,48,0.6041666666666666,17,43,0.3953488372093023,0.3953488372093023,15,20,38,45,6,0.3448275862068966,0.35714285714285715,0.8823529411764706,0.4725274725274725,0.5256434065934066,0.5989010989010989,0.62,2,4,0.08333333333333333,1,0.023255813953488372
"2021-02-18","TOR",94,110,26,43,0.6046511627906976,12,35,0.34285714285714286,0.34285714285714286,22,34,18,27,9,0.6538461538461539,0.68,0.75,0.44871794871794873,0.5213831168831169,0.5641025641025641,0.625,2,2,0.046511627906976744,0,0
"2021-02-19","OKC",96,85,19,45,0.4222222222222222,12,40,0.3,0.3,11,22,16,27,9,0.5789473684210527,0.6875,0.75,0.47058823529411764,0.5003229411764706,0.43529411764705883,0.45698924731182794,6,6,0.13333333333333333,0,0
"2021-02-21","SAC",104,115,32,67,0.47761194029850745,12,33,0.36363636363636365,0.36363636363636365,15,40,24,27,9,0.625,0.6896551724137931,0.75,0.33,0.518324,0.5,0.5324074074074074,6,5,0.07462686567164178,0,0
"2021-02-23","MIN",104,112,23,44,0.5227272727272727,19,54,0.35185185185185186,0.3584905660377358,9,32,14,57,0,0.6956521739130435,0.7619047619047619,1,0.5510204081632653,0.513109375,0.5255102040816326,0.5495049504950495,4,5,0.11363636363636363,0,0
"2021-02-25","NOP",102,125,38,63,0.6031746031746031,13,39,0.3333333333333333,0.3333333333333333,10,42,34,33,6,0.5526315789473685,0.65625,0.8461538461538461,0.38235294117647056,0.5401794117647059,0.5637254901960784,0.5787037037037037,12,8,0.12698412698412698,0,0
"2021-02-28","LAC",94,100,26,53,0.49056603773584906,14,44,0.3181818181818182,0.32558139534883723,6,20,32,30,12,0.38461538461538464,0.4,0.7142857142857143,0.4536082474226804,0.49661041666666667,0.4845360824742268,0.5,2,5,0.09433962264150944,0,0
"2021-03-02","DEN",96,128,42,65,0.6461538461538462,11,30,0.36666666666666664,0.36666666666666664,11,38,46,27,6,0.4523809523809524,0.5135135135135135,0.8181818181818182,0.3157894736842105,0.5130294736842105,0.6157894736842106,0.6464646464646465,10,4,0.06153846153846154,0,0
"2021-03-04","MEM",103,111,32,67,0.47761194029850745,8,34,0.23529411764705882,0.23529411764705882,23,32,32,15,9,0.5,0.5333333333333333,0.625,0.33663366336633666,0.5322841584158415,0.43564356435643564,0.4954954954954955,4,4,0.05970149253731343,1,0.029411764705882353
"2021-03-11","NYK",101,101,24,51,0.47058823529411764,13,37,0.35135135135135137,0.35135135135135137,14,18,30,30,9,0.375,0.375,0.7692307692307693,0.42045454545454547,0.4897426136363636,0.4943181818181818,0.5154639175257731,0,9,0.17647058823529413,0,0
"2021-03-13","WAS",112,119,27,53,0.5094339622641509,16,41,0.3902439024390244,0.3902439024390244,17,28,26,33,15,0.5185185185185185,0.5185185185185185,0.6875,0.43617021276595747,0.46866542553191487,0.5425531914893617,0.5721153846153846,0,3,0.05660377358490566,0,0
"2021-03-15","WAS",110,122,28,49,0.5714285714285714,16,38,0.42105263157894735,0.42105263157894735,18,42,14,39,9,0.75,0.75,0.8125,0.4367816091954023,0.4793948275862069,0.5977011494252874,0.6224489795918368,0,5,0.10204081632653061,0,0
"2021-03-17","PHI",118,105,29,68,0.4264705882352941,14,41,0.34146341463414637,0.34146341463414637,5,28,30,42,0,0.4827586206896552,0.6086956521739131,1,0.3761467889908257,0.5341082568807339,0.45871559633027525,0.46875,12,1,0.014705882352941176,0,0
"2021-03-20","SAS",102,113,34,63,0.5396825396825397,12,33,0.36363636363636365,0.36363636363636365,9,34,34,36,0,0.5,0.5151515151515151,1,0.34375,0.47888437500000003,0.5416666666666666,0.565,2,3,0.047619047619047616,0,0
"2021-03-22","IND",105,113,33,61,0.5409836065573771,12,50,0.24,0.24489795918367346,11,40,26,21,15,0.6060606060606061,0.7142857142857143,0.5833333333333334,0.45045045045045046,0.5146999999999999,0.4594594594594595,0.4870689655172414,10,5,0.08196721311475409,0,0
"2021-03-24","BOS",100,119,26,47,0.5531914893617021,19,47,0.40425531914893614,0.40425531914893614,10,24,28,36,21,0.46153846153846156,0.5714285714285714,0.631578947368421,0.5,0.535,0.5797872340425532,0.6071428571428571,10,4,0.0851063829787234,1,0.02127659574468085
"2021-03-26","BOS",100,122,21,41,0.5121951219512195,22,47,0.46808510638297873,0.46808510638297873,14,16,26,57,9,0.38095238095238093,0.47058823529411764,0.8636363636363636,0.5340909090909091,0.5579340909090909,0.6136363636363636,0.648936170212766,8,3,0.07317073170731707,0,0
"2021-03-27","NYK",93,102,24,49,0.4897959183673469,16,44,0.36363636363636365,0.37209302325581395,6,28,20,42,6,0.5833333333333334,0.6666666666666666,0.875,0.4731182795698925,0.5103760869565217,0.5161290322580645,0.5208333333333334,6,6,0.12244897959183673,1,0.022727272727272728
"2021-03-29","LAC",98,129,32,61,0.5245901639344263,19,34,0.5588235294117647,0.5588235294117647,8,24,40,39,18,0.375,0.42857142857142855,0.6842105263157895,0.35789473684210527,0.49559105263157893,0.6368421052631579,0.6515151515151515,8,4,0.06557377049180328,0,0
"2021-03-31","LAL",102,97,25,51,0.49019607843137253,10,36,0.2777777777777778,0.2857142857142857,17,26,24,27,3,0.52,0.5909090909090909,0.9,0.41379310344827586,0.49820174418604657,0.45977011494252873,0.5,6,8,0.1568627450980392,0,0
"2021-04-02","POR",106,109,15,45,0.3333333333333333,21,54,0.3888888888888889,0.3888888888888889,16,12,18,39,24,0.4,0.42857142857142855,0.6190476190476191,0.5454545454545454,0.5415949494949495,0.4696969696969697,0.4954545454545455,2,5,0.1111111111111111,0,0
"2021-04-03","SAC",102,128,32,60,0.5333333333333333,17,39,0.4358974358974359,0.4358974358974359,13,34,30,42,9,0.53125,0.5862068965517241,0.8235294117647058,0.3939393939393939,0.5020888888888889,0.5808080808080808,0.6153846153846154,6,3,0.05,0,0
"2021-04-06","GSW",101,122,31,56,0.5535714285714286,15,40,0.375,0.375,15,34,28,33,12,0.5483870967741935,0.5483870967741935,0.7333333333333333,0.4166666666666667,0.5009312499999999,0.5572916666666666,0.5922330097087378,0,2,0.03571428571428571,0,0
"2021-04-08","DAL",100,116,26,52,0.5,17,45,0.37777777777777777,0.37777777777777777,13,18,34,42,9,0.34615384615384615,0.4090909090909091,0.8235294117647058,0.4639175257731959,0.5313659793814433,0.5309278350515464,0.5528846153846154,8,1,0.019230769230769232,0,0
"2021-04-09","CHA",108,127,25,41,0.6097560975609756,19,50,0.38,0.38,20,36,14,51,6,0.72,0.8181818181818182,0.8947368421052632,0.5494505494505495,0.5343027472527473,0.5879120879120879,0.6287128712871287,6,3,0.07317073170731707,0,0
"2021-04-11","ORL",99,87,24,50,0.48,8,36,0.2222222222222222,0.2222222222222222,15,24,24,21,3,0.5,0.5,0.875,0.4186046511627907,0.5202511627906976,0.4186046511627907,0.45789473684210524,0,7,0.14,0,0
