"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2020-12-23","DET",100,111,27,47,0.574468085106383,11,41,0.2682926829268293,0.2682926829268293,24,30,24,30,3,0.5555555555555556,0.6521739130434783,0.9090909090909091,0.4659090909090909,0.5805880681818182,0.4943181818181818,0.5495049504950495,8,2,0.0425531914893617,0,0
"2020-12-26","UTA",102,116,32,72,0.4444444444444444,13,29,0.4482758620689655,0.4482758620689655,13,22,42,30,9,0.34375,0.4074074074074074,0.7692307692307693,0.2871287128712871,0.4925896039603961,0.5099009900990099,0.5275229357798165,10,4,0.05555555555555555,0,0
"2020-12-27","LAL",105,91,32,68,0.47058823529411764,6,35,0.17142857142857143,0.17647058823529413,9,38,26,15,3,0.59375,0.7037037037037037,0.8333333333333334,0.33980582524271846,0.5613838235294117,0.39805825242718446,0.41743119266055045,10,14,0.20588235294117646,0,0
"2020-12-29","LAC",99,101,24,51,0.47058823529411764,13,38,0.34210526315789475,0.34210526315789475,14,28,20,24,15,0.5833333333333334,0.6086956521739131,0.6153846153846154,0.42696629213483145,0.5409955056179776,0.4887640449438202,0.5260416666666666,2,10,0.19607843137254902,0,0
"2021-01-01","WAS",103,109,29,52,0.5576923076923077,13,36,0.3611111111111111,0.3611111111111111,12,18,40,24,15,0.3103448275862069,0.34615384615384615,0.6153846153846154,0.4090909090909091,0.5470340909090909,0.5511363636363636,0.5677083333333334,6,3,0.057692307692307696,0,0
"2021-01-03","DEN",96,109,34,54,0.6296296296296297,10,31,0.3225806451612903,0.3225806451612903,11,46,22,21,9,0.6764705882352942,0.71875,0.7,0.36470588235294116,0.5582176470588236,0.5764705882352941,0.5860215053763441,4,4,0.07407407407407407,0,0
"2021-01-05","DEN",104,116,31,57,0.543859649122807,11,34,0.3235294117647059,0.3235294117647059,21,34,28,21,12,0.5483870967741935,0.5862068965517241,0.6363636363636364,0.37362637362637363,0.5101961538461538,0.521978021978022,0.5643564356435643,4,2,0.03508771929824561,0,0
"2021-01-07","POR",106,117,25,52,0.4807692307692308,14,41,0.34146341463414637,0.35,25,22,28,39,3,0.44,0.5,0.9285714285714286,0.44086021505376344,0.5679206521739131,0.4946236559139785,0.5416666666666666,6,6,0.11538461538461539,0,0
"2021-01-09","SAS",107,122,33,66,0.5,15,30,0.5,0.5,11,30,36,42,3,0.45454545454545453,0.5357142857142857,0.9333333333333333,0.3125,0.535265625,0.578125,0.5865384615384616,10,3,0.045454545454545456,0,0
"2021-01-10","SAS",97,96,25,55,0.45454545454545453,9,26,0.34615384615384615,0.34615384615384615,19,28,22,15,12,0.56,0.6363636363636364,0.5555555555555556,0.32098765432098764,0.548233950617284,0.47530864197530864,0.5217391304347826,6,5,0.09090909090909091,0,0
"2021-01-13","MEM",100,107,30,53,0.5660377358490566,9,37,0.24324324324324326,0.24324324324324326,20,42,18,18,9,0.7,0.84,0.6666666666666666,0.4111111111111111,0.5526755555555556,0.48333333333333334,0.5297029702970297,10,5,0.09433962264150944,0,0
"2021-01-18","ATL",104,97,22,54,0.4074074074074074,14,37,0.3783783783783784,0.3888888888888889,11,22,22,33,9,0.5,0.5238095238095238,0.7857142857142857,0.4065934065934066,0.5635344444444444,0.4725274725274725,0.4897959183673469,2,8,0.14814814814814814,0,0
"2021-01-20","ORL",94,96,21,50,0.42,15,35,0.42857142857142855,0.42857142857142855,9,26,16,36,9,0.6190476190476191,0.65,0.8,0.4117647058823529,0.5593229411764706,0.5117647058823529,0.5274725274725275,2,8,0.16,0,0
"2021-01-22","ATL",99,98,32,61,0.5245901639344263,8,32,0.25,0.25,10,46,18,21,3,0.71875,0.8214285714285714,0.875,0.34408602150537637,0.532641935483871,0.4731182795698925,0.5051546391752577,8,12,0.19672131147540983,0,0
"2021-01-23","NOP",106,120,27,57,0.47368421052631576,12,34,0.35294117647058826,0.35294117647058826,30,22,32,36,0,0.4074074074074074,0.5238095238095238,1,0.37362637362637363,0.5764983516483517,0.4945054945054945,0.5504587155963303,12,4,0.07017543859649122,0,0
"2021-01-25","GSW",105,108,31,70,0.44285714285714284,8,24,0.3333333333333333,0.3333333333333333,22,36,26,24,0,0.5806451612903226,0.6428571428571429,1,0.2553191489361702,0.4818271276595745,0.4574468085106383,0.5095238095238095,6,10,0.14285714285714285,0,0
"2021-01-27","GSW",104,111,23,51,0.45098039215686275,14,36,0.3888888888888889,0.3888888888888889,23,22,24,36,6,0.4782608695652174,0.5,0.8571428571428571,0.41379310344827586,0.5126431034482759,0.5057471264367817,0.5388349514563107,2,4,0.0784313725490196,1,0.027777777777777776
"2021-01-29","PHI",102,94,25,49,0.5102040816326531,10,33,0.30303030303030304,0.30303030303030304,14,24,26,24,6,0.48,0.5,0.8,0.4024390243902439,0.5064774390243902,0.4878048780487805,0.5280898876404494,2,5,0.10204081632653061,1,0.030303030303030304
"2021-01-31","CLE",100,109,25,51,0.49019607843137253,16,40,0.4,0.4,11,24,26,36,12,0.48,0.48,0.75,0.43956043956043955,0.5460494505494505,0.5384615384615384,0.5618556701030928,0,3,0.058823529411764705,0,0
"2021-02-01","CLE",95,98,29,64,0.453125,11,38,0.2894736842105263,0.2894736842105263,7,22,36,27,6,0.3793103448275862,0.4782608695652174,0.8181818181818182,0.37254901960784315,0.5616901960784314,0.44607843137254904,0.45794392523364486,12,12,0.1875,0,0
"2021-02-03","SAS",99,108,30,61,0.4918032786885246,13,33,0.3939393939393939,0.3939393939393939,9,20,40,36,3,0.3333333333333333,0.3448275862068966,0.9230769230769231,0.35106382978723405,0.4916478723404255,0.526595744680851,0.5454545454545454,2,6,0.09836065573770492,0,0
"2021-02-05","OKC",99,106,25,54,0.46296296296296297,16,40,0.4,0.4,8,26,24,42,6,0.52,0.6190476190476191,0.875,0.425531914893617,0.522238829787234,0.5212765957446809,0.5412371134020618,8,7,0.12962962962962962,0,0
"2021-02-06","OKC",101,118,35,57,0.6140350877192983,12,36,0.3333333333333333,0.3333333333333333,12,32,38,33,3,0.45714285714285713,0.5161290322580645,0.9166666666666666,0.3870967741935484,0.4993365591397849,0.5698924731182796,0.5784313725490197,8,1,0.017543859649122806,0,0
"2021-02-08","DAL",102,122,24,49,0.4897959183673469,18,42,0.42857142857142855,0.42857142857142855,20,24,24,45,9,0.5,0.5217391304347826,0.8333333333333334,0.46153846153846156,0.544895054945055,0.5604395604395604,0.5865384615384616,2,6,0.12244897959183673,0,0
"2021-02-10","LAC",98,112,26,54,0.48148148148148145,15,41,0.36585365853658536,0.36585365853658536,15,32,20,39,6,0.6153846153846154,0.7619047619047619,0.8666666666666667,0.43157894736842106,0.5491678947368421,0.5105263157894737,0.5388349514563107,10,4,0.07407407407407407,0,0
