"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2020-12-23","DET",99,101,37,58,0.6379310344827587,8,35,0.22857142857142856,0.22857142857142856,3,42,32,24,0,0.5675675675675675,0.6363636363636364,1,0.3763440860215054,0.5607527173913044,0.5268817204301075,0.520618556701031,8,5,0.08620689655172414,0,0
"2020-12-26","UTA",104,111,26,60,0.43333333333333335,10,34,0.29411764705882354,0.30303030303030304,29,20,32,15,15,0.38461538461538464,0.47619047619047616,0.5,0.3617021276595745,0.5137150537634408,0.43617021276595747,0.5045454545454545,10,5,0.08333333333333333,0,0
"2020-12-27","LAL",105,127,37,55,0.6727272727272727,13,35,0.37142857142857144,0.37142857142857144,14,40,34,36,3,0.5405405405405406,0.5714285714285714,0.9230769230769231,0.3888888888888889,0.5353027777777778,0.6277777777777778,0.6614583333333334,4,5,0.09090909090909091,1,0.02857142857142857
"2020-12-29","LAC",98,124,31,57,0.543859649122807,16,31,0.5161290322580645,0.5161290322580645,14,38,24,39,9,0.6129032258064516,0.7037037037037037,0.8125,0.3522727272727273,0.5193477272727273,0.625,0.6526315789473685,8,5,0.08771929824561403,1,0.03225806451612903
"2021-01-01","WAS",103,130,33,56,0.5892857142857143,16,33,0.48484848484848486,0.48484848484848486,16,40,26,45,3,0.6060606060606061,0.6451612903225806,0.9375,0.3707865168539326,0.5338696629213483,0.6404494382022472,0.6770833333333334,4,2,0.03571428571428571,1,0.030303030303030304
"2021-01-03","DEN",97,124,26,47,0.5531914893617021,19,45,0.4222222222222222,0.4318181818181818,15,34,18,51,6,0.6538461538461539,0.68,0.8947368421052632,0.4891304347826087,0.5247637362637363,0.592391304347826,0.6138613861386139,2,6,0.1276595744680851,0,0
"2021-01-05","DEN",104,123,33,54,0.6111111111111112,8,25,0.32,0.32,33,30,36,21,3,0.45454545454545453,0.5357142857142857,0.875,0.31645569620253167,0.5283107594936709,0.569620253164557,0.615,10,4,0.07407407407407407,0,0
"2021-01-07","POR",107,135,31,49,0.6326530612244898,18,41,0.43902439024390244,0.43902439024390244,19,18,44,48,6,0.2903225806451613,0.32142857142857145,0.8888888888888888,0.45555555555555555,0.5432911111111112,0.6444444444444445,0.6683168316831684,6,3,0.061224489795918366,1,0.024390243902439025
"2021-01-09","SAS",107,125,31,69,0.4492753623188406,13,32,0.40625,0.40625,24,26,36,27,12,0.41935483870967744,0.4482758620689655,0.6923076923076923,0.31683168316831684,0.502769801980198,0.5,0.5434782608695652,4,7,0.10144927536231885,0,0
"2021-01-10","SAS",97,88,28,64,0.4375,8,30,0.26666666666666666,0.26666666666666666,8,30,26,18,6,0.5357142857142857,0.5769230769230769,0.75,0.3191489361702128,0.5374138297872341,0.425531914893617,0.44,4,3,0.046875,0,0
"2021-01-13","MEM",100,118,42,81,0.5185185185185185,8,25,0.32,0.32,10,52,32,21,3,0.6190476190476191,0.7222222222222222,0.875,0.2358490566037736,0.5468849056603774,0.5094339622641509,0.5315315315315315,12,5,0.06172839506172839,1,0.04
"2021-01-18","ATL",103,108,26,51,0.5098039215686274,11,28,0.39285714285714285,0.39285714285714285,23,46,6,27,6,0.8846153846153846,0.92,0.8181818181818182,0.35443037974683544,0.5826025641025641,0.5379746835443038,0.5944444444444444,2,5,0.09803921568627451,1,0.03571428571428571
"2021-01-20","ORL",95,97,26,61,0.4262295081967213,10,31,0.3225806451612903,0.3225806451612903,15,36,16,24,6,0.6923076923076923,0.75,0.8,0.33695652173913043,0.4970478260869565,0.44565217391304346,0.4801980198019802,4,12,0.19672131147540983,0,0
"2021-01-22","ATL",100,116,23,48,0.4791666666666667,15,35,0.42857142857142855,0.4411764705882353,25,22,24,30,15,0.4782608695652174,0.55,0.6666666666666666,0.42168674698795183,0.5318018292682927,0.5481927710843374,0.5876288659793815,6,8,0.16666666666666666,0,0
"2021-01-23","NOP",106,110,30,54,0.5555555555555556,10,33,0.30303030303030304,0.30303030303030304,20,26,34,24,6,0.43333333333333335,0.52,0.8,0.3793103448275862,0.5466402298850574,0.5172413793103449,0.5555555555555556,10,3,0.05555555555555555,1,0.030303030303030304
"2021-01-25","GSW",104,130,30,59,0.5084745762711864,14,30,0.4666666666666667,0.4666666666666667,28,22,38,30,12,0.36666666666666664,0.4074074074074074,0.7142857142857143,0.33707865168539325,0.5156797752808988,0.5730337078651685,0.625,6,5,0.0847457627118644,0,0
"2021-01-27","GSW",104,123,30,51,0.5882352941176471,15,34,0.4411764705882353,0.4411764705882353,18,38,22,39,6,0.6333333333333333,0.6785714285714286,0.8666666666666667,0.4,0.5087305882352942,0.6176470588235294,0.640625,4,7,0.13725490196078433,0,0
"2021-01-29","PHI",100,118,31,71,0.43661971830985913,8,16,0.5,0.5,32,24,38,24,0,0.3870967741935484,0.4,1,0.1839080459770115,0.5137264367816092,0.4942528735632184,0.5625,2,4,0.056338028169014086,0,0
"2021-01-31","CLE",99,104,37,68,0.5441176470588235,4,16,0.25,0.25,18,32,42,12,0,0.43243243243243246,0.45714285714285713,1,0.19047619047619047,0.5367095238095237,0.5119047619047619,0.5531914893617021,4,11,0.16176470588235295,0,0
"2021-02-01","CLE",95,100,28,62,0.45161290322580644,7,22,0.3181818181818182,0.3181818181818182,23,40,16,18,3,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.2619047619047619,0.538582738095238,0.4583333333333333,0.5,0,1,0.016129032258064516,0,0
"2021-02-03","SAS",99,111,36,70,0.5142857142857142,7,26,0.2692307692307692,0.2692307692307692,18,46,26,15,6,0.6388888888888888,0.6764705882352942,0.7142857142857143,0.2708333333333333,0.4795796875,0.484375,0.5288461538461539,4,9,0.12857142857142856,0,0
"2021-02-05","OKC",100,103,26,51,0.5098039215686274,13,34,0.38235294117647056,0.40625,12,30,22,39,0,0.5769230769230769,0.6521739130434783,1,0.4,0.5337,0.5352941176470588,0.553763440860215,6,4,0.0784313725490196,0,0
"2021-02-06","OKC",101,120,34,57,0.5964912280701754,12,33,0.36363636363636365,0.36363636363636365,16,28,40,33,3,0.4117647058823529,0.45161290322580644,0.9166666666666666,0.36666666666666664,0.49370555555555556,0.5777777777777777,0.6122448979591837,6,3,0.05263157894736842,0,0
"2021-02-08","DAL",102,127,33,53,0.6226415094339622,12,34,0.35294117647058826,0.35294117647058826,25,36,30,36,0,0.5454545454545454,0.5806451612903226,1,0.39080459770114945,0.5491879310344828,0.5862068965517241,0.6363636363636364,4,5,0.09433962264150944,0,0
"2021-02-10","LAC",97,119,29,59,0.4915254237288136,12,23,0.5217391304347826,0.5217391304347826,25,32,26,21,15,0.5517241379310345,0.6153846153846154,0.5833333333333334,0.2804878048780488,0.5015567073170732,0.573170731707317,0.6263157894736842,6,8,0.13559322033898305,0,0
"2021-02-12","CHA",102,120,31,54,0.5740740740740741,13,36,0.3611111111111111,0.3611111111111111,19,24,38,24,15,0.3870967741935484,0.42857142857142855,0.6153846153846154,0.4,0.5610888888888889,0.5611111111111111,0.6185567010309279,6,4,0.07407407407407407,0,0
"2021-02-14","TOR",101,112,28,58,0.4827586206896552,10,33,0.30303030303030304,0.30303030303030304,26,32,24,24,6,0.5714285714285714,0.6153846153846154,0.8,0.3626373626373626,0.5255827777777777,0.4725274725274725,0.5384615384615384,4,7,0.1206896551724138,1,0.030303030303030304
"2021-02-16","LAL",97,112,31,51,0.6078431372549019,11,26,0.4230769230769231,0.4230769230769231,17,18,44,33,0,0.2903225806451613,0.3,1,0.33766233766233766,0.5413207792207793,0.6168831168831169,0.6453488372093024,2,4,0.0784313725490196,0,0
"2021-02-17","IND",110,134,36,71,0.5070422535211268,13,26,0.5,0.5,23,40,32,33,6,0.5555555555555556,0.6060606060606061,0.8461538461538461,0.26804123711340205,0.5258448453608248,0.5721649484536082,0.6146788990825688,6,8,0.11267605633802817,0,0
"2021-02-19","TOR",93,86,16,45,0.35555555555555557,12,40,0.3,0.3,18,12,20,30,6,0.375,0.5,0.8333333333333334,0.47058823529411764,0.5663823529411764,0.4,0.45263157894736844,8,9,0.2,0,0
"2021-02-21","NYK",94,103,27,60,0.45,6,18,0.3333333333333333,0.3333333333333333,31,26,28,12,6,0.48148148148148145,0.52,0.6666666666666666,0.23076923076923078,0.5220230769230769,0.46153846153846156,0.5368421052631579,4,3,0.05,0,0
"2021-02-23","MIL",106,139,33,57,0.5789473684210527,20,42,0.47619047619047616,0.47619047619047616,13,34,32,48,12,0.5151515151515151,0.5483870967741935,0.8,0.42424242424242425,0.521199494949495,0.6363636363636364,0.6495327102803738,4,5,0.08771929824561403,0,0
