"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2020-12-23","TOR",102,99,24,43,0.5581395348837209,14,46,0.30434782608695654,0.3111111111111111,9,28,20,36,6,0.5833333333333334,0.6666666666666666,0.8571428571428571,0.5168539325842697,0.5019147727272727,0.5056179775280899,0.5210526315789473,6,7,0.16279069767441862,0,0
"2020-12-25","MIA",95,111,22,38,0.5789473684210527,16,37,0.43243243243243246,0.43243243243243246,19,28,16,45,3,0.6363636363636364,0.6666666666666666,0.9375,0.49333333333333335,0.514212,0.6133333333333333,0.6529411764705882,2,2,0.05263157894736842,0,0
"2020-12-27","SAS",100,95,27,53,0.5094339622641509,11,36,0.3055555555555556,0.3055555555555556,8,30,24,33,0,0.5555555555555556,0.6,1,0.4044943820224719,0.5124573033707865,0.4887640449438202,0.510752688172043,4,3,0.05660377358490566,1,0.027777777777777776
"2020-12-29","PHX",92,111,18,37,0.4864864864864865,19,47,0.40425531914893614,0.40425531914893614,18,18,18,45,12,0.5,0.6,0.7894736842105263,0.5595238095238095,0.5303190476190476,0.5535714285714286,0.5967741935483871,6,3,0.08108108108108109,0,0
"2020-12-31","OKC",97,80,15,32,0.46875,15,48,0.3125,0.3125,5,20,10,42,3,0.6666666666666666,0.7692307692307693,0.9333333333333333,0.6,0.547205,0.46875,0.45977011494252873,4,4,0.125,0,0
"2021-01-02","TOR",99,116,24,43,0.5581395348837209,14,48,0.2916666666666667,0.2916666666666667,26,20,28,33,9,0.4166666666666667,0.5,0.7857142857142857,0.5274725274725275,0.540682967032967,0.4945054945054945,0.5637254901960784,8,7,0.16279069767441862,0,0
"2021-01-04","IND",106,118,26,48,0.5416666666666666,19,45,0.4222222222222222,0.4222222222222222,9,32,20,48,9,0.6153846153846154,0.6153846153846154,0.8421052631578947,0.4838709677419355,0.5411951612903226,0.5860215053763441,0.6082474226804123,0,4,0.08333333333333333,0,0
"2021-01-06","OKC",101,111,21,41,0.5121951219512195,19,46,0.41304347826086957,0.41304347826086957,12,22,20,51,6,0.5238095238095238,0.55,0.8947368421052632,0.5287356321839081,0.5426816091954023,0.5689655172413793,0.5978260869565217,2,0,0,0,0
"2021-01-08","CHA",96,118,25,45,0.5555555555555556,16,42,0.38095238095238093,0.38095238095238093,20,36,14,45,3,0.72,0.782608695652174,0.9375,0.4827586206896552,0.5567994252873563,0.5632183908045977,0.5959595959595959,4,4,0.08888888888888889,0,0
"2021-01-13","LAC",91,111,17,37,0.4594594594594595,18,37,0.4864864864864865,0.4864864864864865,23,18,16,51,3,0.5294117647058824,0.5625,0.9444444444444444,0.5,0.5003682432432432,0.5945945945945946,0.6453488372093024,2,4,0.10810810810810811,0,0
