"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2020-12-23","IND",105,107,27,57,0.47368421052631576,12,28,0.42857142857142855,0.42857142857142855,17,28,26,33,3,0.5185185185185185,0.5833333333333334,0.9166666666666666,0.32941176470588235,0.5745776470588235,0.5294117647058824,0.5691489361702128,6,9,0.15789473684210525,0,0
"2020-12-26","PHI",93,89,24,54,0.4444444444444444,8,29,0.27586206896551724,0.27586206896551724,17,24,24,21,3,0.5,0.5454545454545454,0.875,0.3493975903614458,0.5515933734939759,0.43373493975903615,0.4731182795698925,4,5,0.09259259259259259,1,0.034482758620689655
"2020-12-27","MIL",99,130,30,58,0.5172413793103449,16,27,0.5925925925925926,0.5925925925925926,22,26,34,42,6,0.43333333333333335,0.4482758620689655,0.875,0.3176470588235294,0.5107523529411765,0.6352941176470588,0.6701030927835051,2,5,0.08620689655172414,0,0
"2020-12-29","CLE",98,95,20,54,0.37037037037037035,14,25,0.56,0.5833333333333334,13,22,18,36,6,0.55,0.5789473684210527,0.8571428571428571,0.31645569620253167,0.5579923076923077,0.5189873417721519,0.5337078651685393,2,10,0.18518518518518517,0,0
"2020-12-31","TOR",101,83,29,52,0.5576923076923077,3,36,0.08333333333333333,0.08333333333333333,16,36,22,9,0,0.6206896551724138,0.6923076923076923,1,0.4090909090909091,0.4906252873563218,0.3806818181818182,0.4322916666666667,6,5,0.09615384615384616,1,0.027777777777777776
"2021-01-02","IND",92,106,30,56,0.5357142857142857,12,27,0.4444444444444444,0.4444444444444444,10,22,38,36,0,0.36666666666666664,0.4074074074074074,1,0.3253012048192771,0.5349933734939759,0.5783132530120482,0.5955056179775281,6,4,0.07142857142857142,0,0
"2021-01-04","ATL",98,113,36,64,0.5625,7,21,0.3333333333333333,0.3333333333333333,20,38,34,21,0,0.5277777777777778,0.5588235294117647,1,0.24705882352941178,0.5574529411764706,0.5470588235294118,0.5842105263157895,4,2,0.03125,0,0
"2021-01-06","UTA",97,112,37,65,0.5692307692307692,8,22,0.36363636363636365,0.36363636363636365,14,34,40,15,9,0.4594594594594595,0.4857142857142857,0.625,0.25287356321839083,0.5187850574712644,0.5632183908045977,0.5842105263157895,4,9,0.13846153846153847,0,0
"2021-01-08","OKC",95,89,25,69,0.36231884057971014,9,27,0.3333333333333333,0.3333333333333333,12,20,30,27,0,0.4,0.47619047619047616,1,0.28125,0.5018786458333333,0.4010416666666667,0.4238095238095238,8,7,0.10144927536231885,0,0
"2021-01-10","DEN",89,89,26,53,0.49056603773584906,6,21,0.2857142857142857,0.3,19,26,26,18,0,0.5,0.5652173913043478,1,0.28378378378378377,0.5006027397260273,0.47297297297297297,0.5297619047619048,6,4,0.07547169811320754,0,0
"2021-01-11","CHA",90,88,25,50,0.5,9,37,0.24324324324324326,0.24324324324324326,11,26,24,21,6,0.52,0.5909090909090909,0.7777777777777778,0.42528735632183906,0.5658580459770115,0.4425287356321839,0.46808510638297873,6,8,0.16,0,0
