"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2020-12-23","IND",106,121,38,60,0.6333333333333333,8,34,0.23529411764705882,0.23529411764705882,21,46,30,15,9,0.6052631578947368,0.6764705882352942,0.625,0.3617021276595745,0.5931047872340425,0.5319148936170213,0.5707547169811321,8,8,0.13333333333333333,0,0
"2020-12-26","PHI",93,109,30,57,0.5263157894736842,11,31,0.3548387096774194,0.3548387096774194,16,22,38,27,6,0.36666666666666664,0.4074074074074074,0.8181818181818182,0.3522727272727273,0.53949375,0.5284090909090909,0.5561224489795918,6,4,0.07017543859649122,0,0
"2020-12-27","MIL",99,110,34,57,0.5964912280701754,7,38,0.18421052631578946,0.18421052631578946,21,34,34,21,0,0.5,0.53125,1,0.4,0.56315,0.46842105263157896,0.5092592592592593,4,4,0.07017543859649122,0,0
"2020-12-29","CLE",99,86,25,56,0.44642857142857145,7,32,0.21875,0.21875,15,30,20,21,0,0.6,0.7142857142857143,1,0.36363636363636365,0.5597517045454545,0.4034090909090909,0.43434343434343436,8,6,0.10714285714285714,0,0
"2020-12-31","TOR",100,100,17,31,0.5483870967741935,17,52,0.3269230769230769,0.3269230769230769,15,14,20,42,9,0.4117647058823529,0.4375,0.8235294117647058,0.6265060240963856,0.5260614457831325,0.5120481927710844,0.5434782608695652,2,3,0.0967741935483871,0,0
"2021-01-02","IND",93,102,15,34,0.4411764705882353,19,50,0.38,0.38,15,14,16,45,12,0.4666666666666667,0.5,0.7894736842105263,0.5952380952380952,0.5269607142857142,0.5178571428571429,0.554945054945055,2,2,0.058823529411764705,1,0.02
"2021-01-04","ATL",98,108,30,56,0.5357142857142857,10,31,0.3225806451612903,0.3225806451612903,18,30,30,27,3,0.5,0.5172413793103449,0.9,0.3563218390804598,0.5751218390804598,0.5172413793103449,0.5567010309278351,2,6,0.10714285714285714,0,0
"2021-01-06","UTA",97,100,26,47,0.5531914893617021,14,44,0.3181818181818182,0.3181818181818182,6,16,36,36,6,0.3076923076923077,0.3333333333333333,0.8571428571428571,0.4835164835164835,0.5401912087912089,0.5164835164835165,0.5208333333333334,4,5,0.10638297872340426,0,0
"2021-01-08","OKC",95,101,27,53,0.5094339622641509,11,34,0.3235294117647059,0.3333333333333333,14,16,38,24,9,0.2962962962962963,0.3333333333333333,0.7272727272727273,0.39080459770114945,0.5351354651162791,0.5,0.520618556701031,6,7,0.1320754716981132,0,0
"2021-01-10","DEN",91,114,30,49,0.6122448979591837,15,35,0.42857142857142855,0.42857142857142855,9,18,42,42,3,0.3,0.3103448275862069,0.9333333333333333,0.4166666666666667,0.5234226190476191,0.625,0.6404494382022472,2,1,0.02040816326530612,0,0
