"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2020-12-26","CHA",104,107,24,61,0.39344262295081966,13,32,0.40625,0.40625,20,32,16,33,6,0.6666666666666666,0.6956521739130435,0.8461538461538461,0.34408602150537637,0.5512741935483871,0.46774193548387094,0.5,2,6,0.09836065573770492,1,0.03125
"2020-12-28","UTA",99,110,30,50,0.6,13,36,0.3611111111111111,0.3611111111111111,11,30,30,27,12,0.5,0.5357142857142857,0.6923076923076923,0.4186046511627907,0.5212819767441861,0.5755813953488372,0.5913978494623656,4,4,0.08,1,0.027777777777777776
"2020-12-29","ORL",102,118,42,74,0.5675675675675675,7,22,0.3181818181818182,0.3181818181818182,13,40,44,18,3,0.47619047619047616,0.5263157894736842,0.8571428571428571,0.22916666666666666,0.49518229166666666,0.546875,0.5784313725490197,8,7,0.0945945945945946,0,0
"2020-12-31","NOP",97,113,31,55,0.5636363636363636,13,36,0.3611111111111111,0.3611111111111111,12,24,38,33,6,0.3870967741935484,0.42857142857142855,0.8461538461538461,0.3956043956043956,0.5462368131868132,0.554945054945055,0.5707070707070707,6,3,0.05454545454545454,0,0
"2021-01-02","ORL",99,99,30,70,0.42857142857142855,10,38,0.2631578947368421,0.2631578947368421,9,26,34,24,6,0.43333333333333335,0.48148148148148145,0.8,0.35185185185185186,0.5277407407407407,0.4166666666666667,0.4419642857142857,6,4,0.05714285714285714,1,0.02631578947368421
"2021-01-04","MIA",100,118,30,47,0.6382978723404256,16,34,0.47058823529411764,0.47058823529411764,10,36,24,48,0,0.6,0.6,1,0.41975308641975306,0.524003086419753,0.6666666666666666,0.6629213483146067,0,2,0.0425531914893617,2,0.058823529411764705
"2021-01-06","NOP",103,110,40,67,0.5970149253731343,4,22,0.18181818181818182,0.18181818181818182,18,46,34,6,6,0.575,0.6388888888888888,0.5,0.24719101123595505,0.518714606741573,0.5168539325842697,0.5555555555555556,8,5,0.07462686567164178,0,0
"2021-01-08","NYK",95,89,25,69,0.36231884057971014,9,27,0.3333333333333333,0.3333333333333333,12,20,30,27,0,0.4,0.47619047619047616,1,0.28125,0.5018786458333333,0.4010416666666667,0.4238095238095238,8,7,0.10144927536231885,0,0
"2021-01-10","BKN",101,116,33,51,0.6470588235294118,10,34,0.29411764705882354,0.30303030303030304,20,34,32,18,12,0.5151515151515151,0.53125,0.6,0.4,0.5498077380952381,0.5647058823529412,0.6170212765957447,2,3,0.058823529411764705,1,0.029411764705882353
"2021-01-12","SAS",101,112,31,60,0.5166666666666667,10,35,0.2857142857142857,0.2857142857142857,20,36,26,24,6,0.5806451612903226,0.6,0.8,0.3684210526315789,0.49619473684210524,0.4842105263157895,0.5333333333333333,2,4,0.06666666666666667,1,0.02857142857142857
"2021-01-13","LAL",97,128,30,58,0.5172413793103449,17,37,0.4594594594594595,0.4722222222222222,17,30,30,33,18,0.5,0.5555555555555556,0.6470588235294118,0.3894736842105263,0.5185510638297872,0.5842105263157895,0.6116504854368932,6,5,0.08620689655172414,1,0.02702702702702703
"2021-01-15","CHI",115,125,22,45,0.4888888888888889,21,46,0.45652173913043476,0.45652173913043476,18,26,18,42,21,0.5909090909090909,0.65,0.6666666666666666,0.5054945054945055,0.4981263736263737,0.5879120879120879,0.6127450980392157,4,2,0.044444444444444446,0,0
"2021-01-19","DEN",103,119,32,63,0.5079365079365079,14,42,0.3333333333333333,0.3333333333333333,13,32,32,39,3,0.5,0.5925925925925926,0.9285714285714286,0.4,0.5333857142857142,0.5047619047619047,0.536036036036036,10,4,0.06349206349206349,0,0
"2021-01-22","LAC",97,120,33,51,0.6470588235294118,10,33,0.30303030303030304,0.30303030303030304,24,24,42,27,3,0.36363636363636365,0.42857142857142855,0.9,0.39285714285714285,0.5262815476190477,0.5714285714285714,0.625,10,1,0.0196078431372549,0,0
"2021-01-24","LAC",99,108,27,46,0.5869565217391305,14,46,0.30434782608695654,0.30434782608695654,12,24,30,42,0,0.4444444444444444,0.5217391304347826,1,0.5,0.5321961538461538,0.5217391304347826,0.54,8,2,0.043478260869565216,0,0
"2021-01-25","POR",99,122,32,57,0.5614035087719298,14,41,0.34146341463414637,0.34146341463414637,16,18,46,24,18,0.28125,0.3333333333333333,0.5714285714285714,0.41836734693877553,0.5274061224489796,0.5408163265306123,0.5648148148148148,10,4,0.07017543859649122,2,0.04878048780487805
"2021-01-27","PHX",100,97,21,52,0.40384615384615385,15,43,0.3488372093023256,0.3488372093023256,10,14,28,36,9,0.3333333333333333,0.3684210526315789,0.8,0.45263157894736844,0.50817,0.45789473684210524,0.4898989898989899,4,7,0.1346153846153846,1,0.023255813953488372
"2021-01-29","BKN",105,147,38,55,0.6909090909090909,19,45,0.4222222222222222,0.4318181818181818,14,34,42,48,9,0.4473684210526316,0.4857142857142857,0.8421052631578947,0.45,0.5594742424242424,0.665,0.7067307692307693,6,4,0.07272727272727272,0,0
"2021-02-01","HOU",104,136,21,50,0.42,28,52,0.5384615384615384,0.5384615384615384,10,14,28,69,15,0.3333333333333333,0.35,0.8214285714285714,0.5098039215686274,0.5298093137254902,0.6176470588235294,0.6476190476190476,2,7,0.14,1,0.019230769230769232
"2021-02-03","HOU",107,87,21,40,0.525,12,46,0.2608695652173913,0.2608695652173913,9,22,20,30,6,0.5238095238095238,0.55,0.8333333333333334,0.5348837209302325,0.5106354651162791,0.45348837209302323,0.47282608695652173,2,5,0.125,0,0
"2021-02-05","MIN",99,106,25,54,0.46296296296296297,16,40,0.4,0.4,8,26,24,42,6,0.52,0.6190476190476191,0.875,0.425531914893617,0.522238829787234,0.5212765957446809,0.5412371134020618,8,7,0.12962962962962962,0,0
"2021-02-06","MIN",101,118,35,57,0.6140350877192983,12,36,0.3333333333333333,0.3333333333333333,12,32,38,33,3,0.45714285714285713,0.5161290322580645,0.9166666666666666,0.3870967741935484,0.4993365591397849,0.5698924731182796,0.5784313725490197,8,1,0.017543859649122806,0,0
"2021-02-08","LAL",110,119,35,57,0.6140350877192983,9,38,0.23684210526315788,0.23684210526315788,22,38,32,27,0,0.5428571428571428,0.5588235294117647,1,0.4,0.5215452631578947,0.5105263157894737,0.5467289719626168,2,4,0.07017543859649122,0,0
"2021-02-10","LAL",106,114,32,54,0.5925925925925926,10,35,0.2857142857142857,0.2857142857142857,20,28,36,24,6,0.4375,0.4666666666666667,0.8,0.39325842696629215,0.5141219101123595,0.5280898876404494,0.576530612244898,4,4,0.07407407407407407,0,0
"2021-02-12","DEN",95,97,30,47,0.6382978723404256,10,40,0.25,0.25,7,34,26,21,9,0.5666666666666667,0.6538461538461539,0.7,0.45977011494252873,0.529924705882353,0.5172413793103449,0.5271739130434783,8,3,0.06382978723404255,0,0
"2021-02-14","MIL",101,109,32,59,0.5423728813559322,13,38,0.34210526315789475,0.34210526315789475,6,30,34,27,12,0.46875,0.5172413793103449,0.6923076923076923,0.3917525773195876,0.529559793814433,0.5309278350515464,0.545,6,1,0.01694915254237288,0,0
"2021-02-16","POR",98,115,22,49,0.4489795918367347,20,47,0.425531914893617,0.425531914893617,11,20,24,48,12,0.45454545454545453,0.5,0.8,0.4895833333333333,0.5338447916666667,0.5416666666666666,0.5528846153846154,4,2,0.04081632653061224,1,0.02127659574468085
"2021-02-17","MEM",101,122,30,57,0.5263157894736842,12,26,0.46153846153846156,0.46153846153846156,26,40,20,33,3,0.6666666666666666,0.7692307692307693,0.9166666666666666,0.3132530120481928,0.5363012048192771,0.5783132530120482,0.6224489795918368,8,3,0.05263157894736842,0,0
"2021-02-19","MIL",95,98,24,52,0.46153846153846156,11,34,0.3235294117647059,0.3235294117647059,17,24,24,33,0,0.5,0.5454545454545454,1,0.3953488372093023,0.5026470930232558,0.47093023255813954,0.5104166666666666,4,5,0.09615384615384616,0,0
"2021-02-21","CLE",95,101,31,49,0.6326530612244898,8,35,0.22857142857142856,0.22857142857142856,15,28,34,24,0,0.45161290322580644,0.5185185185185185,1,0.4166666666666667,0.5706,0.5119047619047619,0.5489130434782609,8,3,0.061224489795918366,0,0
"2021-02-22","MIA",93,108,21,41,0.5121951219512195,15,40,0.375,0.375,21,30,12,45,0,0.7142857142857143,0.7894736842105263,1,0.49382716049382713,0.5508253086419753,0.5370370370370371,0.5869565217391305,4,1,0.024390243902439025,0,0
"2021-02-24","SAS",98,99,31,61,0.5081967213114754,9,25,0.36,0.36,10,22,40,27,0,0.3548387096774194,0.39285714285714285,1,0.29069767441860467,0.48613197674418607,0.5174418604651163,0.532258064516129,6,4,0.06557377049180328,0,0
"2021-02-26","ATL",95,109,31,57,0.543859649122807,12,40,0.3,0.3,11,24,38,27,9,0.3870967741935484,0.5714285714285714,0.75,0.41237113402061853,0.5354515463917526,0.5051546391752577,0.5190476190476191,20,2,0.03508771929824561,0,0
"2021-02-27","DEN",101,126,34,58,0.5862068965517241,15,31,0.4838709677419355,0.4838709677419355,13,40,28,30,15,0.5882352941176471,0.6060606060606061,0.6666666666666666,0.34831460674157305,0.5345882022471911,0.6348314606741573,0.65625,2,6,0.10344827586206896,0,0
"2021-03-03","DAL",95,87,24,43,0.5581395348837209,8,40,0.2,0.20512820512820512,15,22,26,21,3,0.4583333333333333,0.4583333333333333,0.875,0.4819277108433735,0.5029628048780488,0.43373493975903615,0.47802197802197804,0,3,0.06976744186046512,1,0.025
"2021-03-04","SAS",103,102,30,54,0.5555555555555556,10,31,0.3225806451612903,0.3225806451612903,12,30,30,24,6,0.5,0.5357142857142857,0.8,0.36470588235294116,0.5387458823529412,0.5294117647058824,0.5604395604395604,4,4,0.07407407407407407,0,0
"2021-03-11","DAL",93,108,20,48,0.4166666666666667,15,34,0.4411764705882353,0.4411764705882353,23,10,30,45,0,0.25,0.2631578947368421,1,0.4146341463414634,0.49004634146341464,0.5182926829268293,0.5520833333333334,2,5,0.10416666666666667,1,0.029411764705882353
"2021-03-13","NYK",97,119,30,55,0.5454545454545454,14,35,0.4,0.4,17,22,38,36,6,0.36666666666666664,0.44,0.8571428571428571,0.3888888888888889,0.4974127777777778,0.5666666666666667,0.601010101010101,10,4,0.07272727272727272,0,0
"2021-03-14","MEM",102,122,40,70,0.5714285714285714,7,22,0.3181818181818182,0.3181818181818182,21,42,38,18,3,0.525,0.5384615384615384,0.8571428571428571,0.2391304347826087,0.4978070652173913,0.5489130434782609,0.580952380952381,2,4,0.05714285714285714,0,0
"2021-03-16","CHI",96,123,36,58,0.6206896551724138,12,36,0.3333333333333333,0.3333333333333333,15,32,40,24,12,0.4444444444444444,0.5,0.6666666666666666,0.3829787234042553,0.5549117021276596,0.574468085106383,0.6039603960396039,8,9,0.15517241379310345,0,0
"2021-03-18","ATL",97,116,36,54,0.6666666666666666,11,33,0.3333333333333333,0.3333333333333333,11,32,40,30,3,0.4444444444444444,0.48484848484848486,0.9090909090909091,0.3793103448275862,0.5379011494252874,0.603448275862069,0.6236559139784946,6,3,0.05555555555555555,0,0
"2021-03-21","HOU",100,112,25,41,0.6097560975609756,14,38,0.3684210526315789,0.3684210526315789,20,22,28,33,9,0.44,0.44,0.7857142857142857,0.4810126582278481,0.5207063291139241,0.5822784810126582,0.6032608695652174,0,2,0.04878048780487805,0,0
"2021-03-22","MIN",96,103,24,53,0.4528301886792453,14,39,0.358974358974359,0.358974358974359,13,22,26,39,3,0.4583333333333333,0.5,0.9285714285714286,0.42391304347826086,0.5405989130434783,0.4891304347826087,0.515,4,10,0.18867924528301888,0,0
"2021-03-24","MEM",106,116,36,69,0.5217391304347826,11,30,0.36666666666666664,0.36666666666666664,11,24,48,21,12,0.3333333333333333,0.375,0.6363636363636364,0.30303030303030304,0.5358373737373737,0.5303030303030303,0.5576923076923077,8,7,0.10144927536231885,1,0.03333333333333333
"2021-03-27","BOS",101,111,32,58,0.5517241379310345,12,38,0.3157894736842105,0.3157894736842105,11,26,38,27,9,0.40625,0.4482758620689655,0.75,0.3958333333333333,0.5420671874999999,0.5208333333333334,0.5445544554455446,6,3,0.05172413793103448,1,0.02631578947368421
"2021-03-29","DAL",102,127,35,52,0.6730769230769231,16,44,0.36363636363636365,0.36363636363636365,9,36,34,36,12,0.5142857142857142,0.5142857142857142,0.75,0.4583333333333333,0.5400723958333333,0.6145833333333334,0.6225490196078431,0,4,0.07692307692307693,0,0
"2021-03-31","TOR",98,103,19,44,0.4318181818181818,16,46,0.34782608695652173,0.34782608695652173,17,16,22,39,9,0.42105263157894735,0.47058823529411764,0.8125,0.5111111111111111,0.5495016666666667,0.4777777777777778,0.5151515151515151,4,6,0.13636363636363635,0,0
"2021-04-02","PHX",102,140,39,57,0.6842105263157895,15,33,0.45454545454545453,0.45454545454545453,17,50,28,33,12,0.6410256410256411,0.6578947368421053,0.7333333333333333,0.36666666666666664,0.5462405555555556,0.6833333333333333,0.7070707070707071,2,3,0.05263157894736842,0,0
"2021-04-03","POR",103,133,31,58,0.5344827586206896,20,46,0.43478260869565216,0.43478260869565216,11,22,40,42,18,0.3548387096774194,0.4074074074074074,0.7,0.4423076923076923,0.5588197115384615,0.5865384615384616,0.6100917431192661,8,6,0.10344827586206896,0,0
"2021-04-05","DET",107,132,36,67,0.5373134328358209,13,28,0.4642857142857143,0.4642857142857143,21,38,34,39,0,0.5277777777777778,0.59375,1,0.29473684210526313,0.5310868421052631,0.5842105263157895,0.6226415094339622,8,6,0.08955223880597014,0,0
"2021-04-07","CHA",101,113,28,53,0.5283018867924528,15,44,0.3409090909090909,0.3409090909090909,12,26,30,42,3,0.4642857142857143,0.5,0.9333333333333333,0.4536082474226804,0.5384201030927835,0.520618556701031,0.5485436893203883,4,5,0.09433962264150944,0,0
"2021-04-08","CLE",100,129,35,57,0.6140350877192983,13,37,0.35135135135135137,0.35135135135135137,20,46,24,36,3,0.6571428571428571,0.7419354838709677,0.9230769230769231,0.39361702127659576,0.5548824468085106,0.5797872340425532,0.6201923076923077,8,5,0.08771929824561403,0,0
"2021-04-10","PHI",99,117,32,56,0.5714285714285714,12,38,0.3157894736842105,0.3157894736842105,17,24,40,36,0,0.375,0.4,1,0.40425531914893614,0.5388962365591398,0.5319148936170213,0.5571428571428572,4,4,0.07142857142857142,0,0
"2021-04-13","UTA",97,106,19,39,0.48717948717948717,17,47,0.3617021276595745,0.3695652173913043,17,24,14,36,15,0.631578947368421,0.631578947368421,0.7058823529411765,0.5465116279069767,0.5018446428571428,0.5174418604651163,0.5578947368421052,0,1,0.02564102564102564,0,0
"2021-04-14","GSW",106,147,28,48,0.5833333333333334,24,47,0.5106382978723404,0.5106382978723404,19,32,24,69,3,0.5714285714285714,0.64,0.9583333333333334,0.49473684210526314,0.5630057894736843,0.6736842105263158,0.7277227722772277,6,2,0.041666666666666664,0,0
"2021-04-16","DET",107,110,28,55,0.509090909090909,10,35,0.2857142857142857,0.2857142857142857,24,26,30,27,3,0.4642857142857143,0.5652173913043478,0.9,0.3888888888888889,0.5315861111111111,0.4777777777777778,0.5188679245283019,10,6,0.10909090909090909,2,0.05714285714285714
"2021-04-18","TOR",101,112,20,58,0.3448275862068966,17,38,0.4473684210526316,0.4473684210526316,21,18,22,42,9,0.45,0.5625,0.8235294117647058,0.3958333333333333,0.5126937500000001,0.4739583333333333,0.5233644859813084,8,7,0.1206896551724138,1,0.02631578947368421
"2021-04-19","WAS",104,119,36,60,0.6,10,31,0.3225806451612903,0.3225806451612903,17,44,28,27,3,0.6111111111111112,0.6666666666666666,0.9,0.34065934065934067,0.4865401098901099,0.5604395604395604,0.5776699029126213,6,2,0.03333333333333333,0,0
"2021-04-21","IND",105,122,32,61,0.5245901639344263,14,40,0.35,0.35,16,32,32,42,0,0.5,0.5714285714285714,1,0.39603960396039606,0.5490470297029703,0.5247524752475248,0.5545454545454546,8,3,0.04918032786885246,0,0
"2021-04-23","WAS",104,129,30,61,0.4918032786885246,18,32,0.5625,0.5625,15,16,44,51,3,0.26666666666666666,0.27586206896551724,0.9444444444444444,0.34408602150537637,0.5255763440860215,0.6129032258064516,0.6414141414141414,2,7,0.11475409836065574,0,0
"2021-04-26","PHI",102,121,33,55,0.6,14,31,0.45161290322580644,0.4666666666666667,13,32,34,33,9,0.48484848484848486,0.5517241379310345,0.7857142857142857,0.36046511627906974,0.5354994117647058,0.627906976744186,0.6505376344086021,8,1,0.01818181818181818,0,0
"2021-04-27","BOS",112,115,30,48,0.625,11,49,0.22448979591836735,0.22916666666666666,22,28,32,21,12,0.4666666666666667,0.5384615384615384,0.6363636363636364,0.5051546391752577,0.527684375,0.4793814432989691,0.5277777777777778,8,3,0.0625,0,0
"2021-04-29","NOP",104,109,40,72,0.5555555555555556,5,29,0.1724137931034483,0.17857142857142858,14,42,38,15,0,0.525,0.5526315789473685,1,0.2871287128712871,0.5366,0.47029702970297027,0.4954128440366973,4,4,0.05555555555555555,0,0
"2021-05-01","IND",109,152,36,54,0.6666666666666666,21,33,0.6363636363636364,0.6363636363636364,17,44,28,57,6,0.6111111111111112,0.6470588235294118,0.9047619047619048,0.3793103448275862,0.5221109195402299,0.7758620689655172,0.7947368421052632,4,4,0.07407407407407407,0,0
"2021-05-02","PHX",98,123,33,53,0.6226415094339622,12,31,0.3870967741935484,0.3870967741935484,21,34,32,30,6,0.5151515151515151,0.53125,0.8333333333333334,0.36904761904761907,0.49905119047619045,0.6071428571428571,0.640625,2,3,0.05660377358490566,0,0
"2021-05-04","SAC",99,103,27,52,0.5192307692307693,12,43,0.27906976744186046,0.27906976744186046,13,28,26,33,3,0.5185185185185185,0.5833333333333334,0.9166666666666666,0.45263157894736844,0.544158947368421,0.47368421052631576,0.5,6,3,0.057692307692307696,1,0.023255813953488372
"2021-05-06","GSW",100,118,23,39,0.5897435897435898,19,47,0.40425531914893614,0.40425531914893614,15,36,10,54,3,0.782608695652174,0.8571428571428571,0.9473684210526315,0.5465116279069767,0.5244563953488373,0.5988372093023255,0.6276595744680851,4,1,0.02564102564102564,0,0
"2021-05-08","GSW",103,136,20,27,0.7407407407407407,27,54,0.5,0.5094339622641509,15,20,20,63,18,0.5,0.5,0.7777777777777778,0.6666666666666666,0.496095625,0.7469135802469136,0.7640449438202247,0,1,0.037037037037037035,0,0
"2021-05-09","SAC",100,126,29,49,0.5918367346938775,16,36,0.4444444444444444,0.4444444444444444,20,32,26,42,6,0.5517241379310345,0.64,0.875,0.4235294117647059,0.5440917647058823,0.6235294117647059,0.65625,8,3,0.061224489795918366,0,0
"2021-05-11","SAC",103,122,25,47,0.5319148936170213,19,39,0.48717948717948717,0.48717948717948717,15,28,22,42,15,0.56,0.5833333333333334,0.7368421052631579,0.45348837209302323,0.5292563953488372,0.622093023255814,0.6421052631578947,2,4,0.0851063829787234,1,0.02564102564102564
"2021-05-14","UTA",99,109,27,54,0.5,13,39,0.3333333333333333,0.3333333333333333,16,26,28,30,9,0.48148148148148145,0.52,0.7692307692307693,0.41935483870967744,0.5164150537634409,0.5,0.529126213592233,4,2,0.037037037037037035,0,0
"2021-05-16","LAC",99,112,35,63,0.5555555555555556,10,43,0.23255813953488372,0.23255813953488372,12,18,52,24,6,0.2571428571428571,0.3,0.8,0.4056603773584906,0.5185433962264151,0.4716981132075472,0.49557522123893805,10,12,0.19047619047619047,0,0
"2021-10-20","UTA",95,107,26,44,0.5909090909090909,14,47,0.2978723404255319,0.2978723404255319,13,14,38,33,9,0.2692307692307692,0.35,0.7857142857142857,0.5164835164835165,0.5168906593406594,0.5164835164835165,0.5515463917525774,12,2,0.045454545454545456,0,0
"2021-10-22","HOU",103,124,31,57,0.543859649122807,17,38,0.4473684210526316,0.4722222222222222,11,34,28,36,15,0.5483870967741935,0.6071428571428571,0.7058823529411765,0.4,0.5403284946236558,0.5947368421052631,0.62,6,4,0.07017543859649122,0,0
"2021-10-24","PHI",96,115,24,47,0.5106382978723404,17,41,0.4146341463414634,0.4146341463414634,16,20,28,45,6,0.4166666666666667,0.45454545454545453,0.8823529411764706,0.4659090909090909,0.4741840909090909,0.5625,0.59375,4,3,0.06382978723404255,1,0.024390243902439025
"2021-10-26","GSW",97,106,25,43,0.5813953488372093,14,40,0.35,0.35,14,36,14,36,6,0.72,0.782608695652174,0.8571428571428571,0.4819277108433735,0.5567481927710843,0.5542168674698795,0.5824175824175825,4,3,0.06976744186046512,0,0
"2021-10-27","LAL",104,115,35,57,0.6140350877192983,11,35,0.3142857142857143,0.3142857142857143,12,38,32,30,3,0.5428571428571428,0.6129032258064516,0.9090909090909091,0.3804347826086957,0.547129347826087,0.5597826086956522,0.5867346938775511,8,3,0.05263157894736842,0,0
"2021-10-30","GSW",100,103,18,38,0.47368421052631576,21,54,0.3888888888888889,0.3888888888888889,4,22,14,57,6,0.6111111111111112,0.6470588235294118,0.9047619047619048,0.5869565217391305,0.537308152173913,0.5380434782608695,0.5364583333333334,2,6,0.15789473684210525,0,0
"2021-11-01","LAC",98,99,20,50,0.4,15,42,0.35714285714285715,0.35714285714285715,14,14,26,33,12,0.35,0.4375,0.7333333333333333,0.45652173913043476,0.5086076086956521,0.46195652173913043,0.4900990099009901,8,6,0.12,0,0
"2021-11-04","LAL",100,104,27,61,0.4426229508196721,12,33,0.36363636363636365,0.36363636363636365,14,22,32,33,3,0.4074074074074074,0.44,0.9166666666666666,0.35106382978723405,0.5037718085106383,0.4787234042553192,0.5049019607843137,4,2,0.03278688524590164,0,0
"2021-11-07","SAS",100,94,35,70,0.5,6,30,0.2,0.2,6,48,22,15,3,0.6857142857142857,0.7272727272727273,0.8333333333333334,0.3,0.443819,0.44,0.4519230769230769,4,7,0.1,0,0
"2021-11-10","NOP",99,100,25,62,0.4032258064516129,9,35,0.2571428571428571,0.2571428571428571,23,30,20,27,0,0.6,0.7142857142857143,1,0.36082474226804123,0.5281113402061856,0.39690721649484534,0.45045045045045046,8,4,0.06451612903225806,0,0
"2021-11-12","SAC",97,103,24,54,0.4444444444444444,14,41,0.34146341463414637,0.34146341463414637,13,24,24,24,18,0.5,0.5217391304347826,0.5714285714285714,0.43157894736842106,0.534381052631579,0.47368421052631576,0.5049019607843137,2,6,0.1111111111111111,0,0
"2021-11-14","BKN",98,120,23,39,0.5897435897435898,18,43,0.4186046511627907,0.4186046511627907,20,28,18,51,3,0.6086956521739131,0.6363636363636364,0.9444444444444444,0.524390243902439,0.5215481707317073,0.6097560975609756,0.6666666666666666,2,2,0.05128205128205128,0,0
"2021-11-15","MIA",98,103,19,42,0.4523809523809524,18,40,0.45,0.45,11,16,22,42,12,0.42105263157894735,0.5,0.7777777777777778,0.4878048780487805,0.5197817073170732,0.5609756097560976,0.5852272727272727,6,8,0.19047619047619047,2,0.05
