"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2020-12-23","MIA",105,107,35,63,0.5555555555555556,7,20,0.35,0.35,16,38,32,18,3,0.5428571428571428,0.5757575757575758,0.8571428571428571,0.24096385542168675,0.5141584337349397,0.5481927710843374,0.5879120879120879,4,2,0.031746031746031744,1,0.05
"2020-12-26","WAS",108,120,33,58,0.5689655172413793,13,37,0.35135135135135137,0.3611111111111111,15,32,34,36,3,0.48484848484848486,0.5333333333333333,0.9230769230769231,0.3894736842105263,0.48819946808510634,0.5526315789473685,0.5613207547169812,6,0,0,0,0
"2020-12-27","WAS",101,113,39,65,0.6,8,32,0.25,0.25,11,38,40,24,0,0.48717948717948717,0.5135135135135135,1,0.32989690721649484,0.4810407216494845,0.5257731958762887,0.553921568627451,4,3,0.046153846153846156,0,0
"2020-12-29","OKC",102,107,32,53,0.6037735849056604,11,34,0.3235294117647059,0.3235294117647059,10,24,40,24,9,0.375,0.4,0.7272727272727273,0.39080459770114945,0.5173080459770115,0.5574712643678161,0.5691489361702128,4,2,0.03773584905660377,0,0
"2020-12-31","PHI",102,116,29,58,0.5,15,33,0.45454545454545453,0.45454545454545453,13,18,40,42,3,0.3103448275862069,0.34615384615384615,0.9333333333333333,0.3626373626373626,0.467660989010989,0.5659340659340659,0.59375,6,4,0.06896551724137931,1,0.030303030303030304
"2021-01-02","OKC",100,108,25,45,0.5555555555555556,13,41,0.3170731707317073,0.3170731707317073,19,28,22,24,15,0.56,0.5833333333333334,0.6153846153846154,0.47674418604651164,0.5317779069767442,0.5174418604651163,0.574468085106383,2,1,0.022222222222222223,0,0
"2021-01-04","CLE",92,83,23,57,0.40350877192982454,10,28,0.35714285714285715,0.35714285714285715,7,24,22,24,6,0.5217391304347826,0.5714285714285714,0.8,0.32941176470588235,0.49936941176470584,0.4470588235294118,0.45604395604395603,4,7,0.12280701754385964,0,0
"2021-01-06","CLE",93,94,32,59,0.5423728813559322,4,26,0.15384615384615385,0.15384615384615385,18,42,22,9,3,0.65625,0.7241379310344828,0.75,0.3058823529411765,0.5196188235294118,0.4470588235294118,0.47959183673469385,6,4,0.06779661016949153,0,0
"2021-01-08","HOU",95,132,29,44,0.6590909090909091,22,47,0.46808510638297873,0.46808510638297873,8,30,28,57,9,0.5172413793103449,0.5172413793103449,0.8636363636363636,0.5164835164835165,0.5380686813186814,0.6813186813186813,0.6875,0,2,0.045454545454545456,0,0
"2021-01-09","DAL",98,112,19,39,0.48717948717948717,20,40,0.5,0.5,14,20,18,45,15,0.5263157894736842,0.5555555555555556,0.75,0.5063291139240507,0.5461626582278482,0.620253164556962,0.6436781609195402,2,2,0.05128205128205128,0,0
"2021-01-11","MIL",99,121,33,56,0.5892857142857143,13,35,0.37142857142857144,0.37142857142857144,16,30,36,30,9,0.45454545454545453,0.46875,0.7692307692307693,0.38461538461538464,0.544389010989011,0.5769230769230769,0.6122448979591837,2,4,0.07142857142857142,0,0
"2021-01-15","BOS",97,124,28,46,0.6086956521739131,17,42,0.40476190476190477,0.40476190476190477,17,26,30,36,15,0.4642857142857143,0.52,0.7058823529411765,0.4772727272727273,0.5131863636363637,0.6079545454545454,0.6542553191489362,6,1,0.021739130434782608,0,0
"2021-01-16","BKN",102,122,26,43,0.6046511627906976,16,35,0.45714285714285713,0.45714285714285713,22,28,24,30,18,0.5384615384615384,0.56,0.625,0.44871794871794873,0.5492666666666667,0.6410256410256411,0.6853932584269663,2,4,0.09302325581395349,0,0
"2021-01-18","NYK",96,91,26,60,0.43333333333333335,5,27,0.18518518518518517,0.18518518518518517,24,22,30,12,3,0.4230769230769231,0.4583333333333333,0.8,0.3103448275862069,0.5353145348837209,0.3850574712643678,0.4368932038834951,4,8,0.13333333333333333,1,0.037037037037037035
"2021-01-20","MIN",94,96,21,50,0.42,15,35,0.42857142857142855,0.42857142857142855,9,26,16,36,9,0.6190476190476191,0.65,0.8,0.4117647058823529,0.5593229411764706,0.5117647058823529,0.5274725274725275,2,8,0.16,0,0
"2021-01-22","IND",101,120,34,59,0.576271186440678,12,34,0.35294117647058826,0.35294117647058826,16,34,34,33,3,0.5,0.5,0.9166666666666666,0.3655913978494624,0.5616827956989248,0.5591397849462365,0.594059405940594,0,3,0.05084745762711865,0,0
"2021-01-24","CHA",96,107,28,52,0.5384615384615384,14,36,0.3888888888888889,0.3888888888888889,9,34,22,33,9,0.6071428571428571,0.6071428571428571,0.7857142857142857,0.4090909090909091,0.4773289772727273,0.5568181818181818,0.5638297872340425,0,4,0.07692307692307693,0,0
"2021-01-25","CHA",101,108,28,51,0.5490196078431373,11,38,0.2894736842105263,0.2894736842105263,19,28,28,24,9,0.5,0.5384615384615384,0.7272727272727273,0.42696629213483145,0.536638202247191,0.5,0.5346534653465347,4,2,0.0392156862745098,1,0.02631578947368421
"2021-01-27","SAC",98,121,31,59,0.5254237288135594,14,33,0.42424242424242425,0.42424242424242425,17,32,30,42,0,0.5161290322580645,0.6666666666666666,1,0.358695652173913,0.49623967391304347,0.5652173913043478,0.587378640776699,14,8,0.13559322033898305,0,0
"2021-01-29","LAC",99,116,33,57,0.5789473684210527,13,37,0.35135135135135137,0.35135135135135137,11,28,38,33,6,0.42424242424242425,0.42424242424242425,0.8461538461538461,0.39361702127659576,0.5145888297872341,0.5585106382978723,0.5876288659793815,0,2,0.03508771929824561,0,0
"2021-01-31","TOR",98,115,29,51,0.5686274509803921,12,39,0.3076923076923077,0.3076923076923077,21,32,26,33,3,0.5517241379310345,0.5714285714285714,0.9166666666666666,0.43333333333333335,0.5226783333333334,0.5222222222222223,0.575,2,3,0.058823529411764705,2,0.05128205128205128
"2021-02-02","TOR",99,123,20,38,0.5263157894736842,20,45,0.4444444444444444,0.4444444444444444,23,32,8,48,12,0.8,0.8,0.8,0.5421686746987951,0.5641493975903614,0.6024096385542169,0.6542553191489362,0,4,0.10526315789473684,0,0
"2021-02-05","CHI",99,119,37,66,0.5606060606060606,9,30,0.3,0.3103448275862069,18,36,38,27,0,0.4864864864864865,0.5142857142857142,1,0.3125,0.5144405263157895,0.5260416666666666,0.5776699029126213,4,2,0.030303030303030304,0,0
"2021-02-06","CHI",95,118,32,61,0.5245901639344263,15,30,0.5,0.5,9,30,34,39,6,0.46875,0.5172413793103449,0.8666666666666667,0.32967032967032966,0.48226043956043957,0.5989010989010989,0.6210526315789474,6,10,0.16393442622950818,0,0
"2021-02-09","POR",98,106,17,44,0.38636363636363635,18,46,0.391304347826087,0.391304347826087,18,8,26,42,12,0.23529411764705882,0.2857142857142857,0.7777777777777778,0.5111111111111111,0.5301359550561797,0.4888888888888889,0.5412371134020618,6,3,0.06818181818181818,0,0
"2021-02-11","GSW",100,111,21,38,0.5526315789473685,20,50,0.4,0.4,9,26,16,48,12,0.6190476190476191,0.65,0.8,0.5681818181818182,0.5288431034482758,0.5795454545454546,0.5967741935483871,2,5,0.13157894736842105,1,0.02
"2021-02-12","SAC",100,112,31,50,0.62,12,33,0.36363636363636365,0.36363636363636365,14,44,18,33,3,0.7096774193548387,0.7096774193548387,0.9166666666666666,0.39759036144578314,0.5237451807228916,0.5903614457831325,0.6086956521739131,0,1,0.02,1,0.030303030303030304
"2021-02-14","PHX",99,109,29,55,0.5272727272727272,12,37,0.32432432432432434,0.32432432432432434,15,30,28,27,9,0.5172413793103449,0.6,0.75,0.40217391304347827,0.49087934782608694,0.5108695652173914,0.5505050505050505,8,6,0.10909090909090909,0,0
"2021-02-17","NYK",99,89,26,60,0.43333333333333335,7,27,0.25925925925925924,0.25925925925925924,16,20,32,18,3,0.38461538461538464,0.4166666666666667,0.8571428571428571,0.3103448275862069,0.5265706896551724,0.41954022988505746,0.4574468085106383,4,7,0.11666666666666667,0,0
"2021-02-19","GSW",104,120,27,55,0.4909090909090909,19,42,0.4523809523809524,0.4523809523809524,9,40,14,51,6,0.7407407407407407,0.7407407407407407,0.8947368421052632,0.4329896907216495,0.5251221649484537,0.5721649484536082,0.5833333333333334,0,8,0.14545454545454545,0,0
"2021-02-21","DET",100,96,23,51,0.45098039215686275,11,40,0.275,0.275,17,24,22,33,0,0.5217391304347826,0.5714285714285714,1,0.43956043956043955,0.5124384615384615,0.4340659340659341,0.4752475247524752,4,8,0.1568627450980392,0,0
