"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2020-12-23","WAS",105,113,33,59,0.559322033898305,8,28,0.2857142857142857,0.2857142857142857,23,28,38,24,0,0.42424242424242425,0.4375,1,0.3218390804597701,0.5016109195402298,0.5172413793103449,0.5544554455445545,2,3,0.05084745762711865,1,0.03571428571428571
"2020-12-26","NYK",93,109,30,57,0.5263157894736842,11,31,0.3548387096774194,0.3548387096774194,16,22,38,27,6,0.36666666666666664,0.4074074074074074,0.8181818181818182,0.3522727272727273,0.53949375,0.5284090909090909,0.5561224489795918,6,4,0.07017543859649122,0,0
"2020-12-27","CLE",99,94,21,42,0.5,12,37,0.32432432432432434,0.32432432432432434,16,24,18,36,0,0.5714285714285714,0.6666666666666666,1,0.46835443037974683,0.56885,0.4936708860759494,0.5280898876404494,6,6,0.14285714285714285,0,0
"2020-12-29","TOR",103,100,24,53,0.4528301886792453,8,31,0.25806451612903225,0.25806451612903225,28,26,22,24,0,0.5416666666666666,0.5909090909090909,1,0.36904761904761907,0.48487916666666664,0.42857142857142855,0.5,4,7,0.1320754716981132,0,0
"2020-12-31","ORL",102,116,29,58,0.5,15,33,0.45454545454545453,0.45454545454545453,13,18,40,42,3,0.3103448275862069,0.34615384615384615,0.9333333333333333,0.3626373626373626,0.467660989010989,0.5659340659340659,0.59375,6,4,0.06896551724137931,1,0.030303030303030304
"2021-01-02","CHA",102,127,31,44,0.7045454545454546,16,35,0.45714285714285713,0.45714285714285713,17,38,24,48,0,0.6129032258064516,0.6333333333333333,1,0.4430379746835443,0.5390202531645569,0.6962025316455697,0.7078651685393258,2,5,0.11363636363636363,0,0
"2021-01-04","CHA",102,118,35,63,0.5555555555555556,11,32,0.34375,0.34375,15,48,22,30,3,0.6857142857142857,0.8,0.9090909090909091,0.3368421052631579,0.5451794736842106,0.5421052631578948,0.5619047619047619,10,4,0.06349206349206349,0,0
"2021-01-06","WAS",108,141,32,52,0.6153846153846154,18,29,0.6206896551724138,0.6206896551724138,23,32,32,51,3,0.5,0.5,0.9444444444444444,0.35802469135802467,0.5089697530864198,0.7283950617283951,0.7393617021276596,0,2,0.038461538461538464,0,0
"2021-01-07","BKN",108,109,32,61,0.5245901639344263,9,26,0.34615384615384615,0.34615384615384615,18,32,32,21,6,0.5,0.5161290322580645,0.7777777777777778,0.2988505747126437,0.5310442528735633,0.5229885057471264,0.5691489361702128,2,7,0.11475409836065574,0,0
"2021-01-09","DEN",97,103,32,68,0.47058823529411764,11,35,0.3142857142857143,0.3142857142857143,6,36,28,15,18,0.5625,0.6428571428571429,0.45454545454545453,0.33980582524271846,0.5036417475728155,0.470873786407767,0.48130841121495327,8,6,0.08823529411764706,1,0.02857142857142857
"2021-01-11","ATL",98,94,29,56,0.5178571428571429,8,36,0.2222222222222222,0.2222222222222222,12,24,34,24,0,0.41379310344827586,0.4444444444444444,1,0.391304347826087,0.5395157608695652,0.44565217391304346,0.47959183673469385,4,3,0.05357142857142857,0,0
"2021-01-12","MIA",114,137,31,47,0.6595744680851063,19,55,0.34545454545454546,0.34545454545454546,18,26,36,57,0,0.41935483870967744,0.52,1,0.5392156862745098,0.5052779411764706,0.5833333333333334,0.6061946902654868,12,1,0.02127659574468085,3,0.05454545454545454
"2021-01-14","MIA",105,125,27,45,0.6,17,37,0.4594594594594595,0.4594594594594595,20,22,32,48,3,0.4074074074074074,0.4230769230769231,0.9411764705882353,0.45121951219512196,0.5366859756097561,0.6402439024390244,0.6666666666666666,2,1,0.022222222222222223,0,0
"2021-01-16","MEM",102,104,30,59,0.5084745762711864,7,25,0.28,0.28,23,36,24,15,6,0.6,0.6428571428571429,0.7142857142857143,0.2976190476190476,0.5062184523809524,0.48214285714285715,0.5255102040816326,4,3,0.05084745762711865,0,0
"2021-01-20","BOS",97,117,27,51,0.5294117647058824,9,27,0.3333333333333333,0.3333333333333333,36,24,30,24,3,0.4444444444444444,0.5,0.8888888888888888,0.34615384615384615,0.5474275641025641,0.5192307692307693,0.5918367346938775,6,0,0,0,0
"2021-01-22","BOS",98,122,33,53,0.6226415094339622,12,28,0.42857142857142855,0.42857142857142855,20,24,42,33,3,0.36363636363636365,0.3870967741935484,0.9166666666666666,0.345679012345679,0.5333203703703704,0.6296296296296297,0.6648351648351648,4,5,0.09433962264150944,0,0
"2021-01-23","DET",103,114,30,60,0.5,8,23,0.34782608695652173,0.34782608695652173,30,16,44,18,6,0.26666666666666666,0.2857142857142857,0.75,0.27710843373493976,0.500337951807229,0.5060240963855421,0.5643564356435643,4,7,0.11666666666666667,1,0.043478260869565216
"2021-01-25","DET",95,104,31,66,0.4696969696969697,9,28,0.32142857142857145,0.32142857142857145,15,20,42,15,12,0.3225806451612903,0.38461538461538464,0.5555555555555556,0.2978723404255319,0.4664606382978723,0.4734042553191489,0.5098039215686274,10,5,0.07575757575757576,1,0.03571428571428571
"2021-01-27","LAL",93,107,32,60,0.5333333333333333,9,25,0.36,0.36,16,34,30,21,6,0.53125,0.5862068965517241,0.7777777777777778,0.29411764705882354,0.5009982352941177,0.5352941176470588,0.546875,6,1,0.016666666666666666,1,0.04
"2021-01-29","MIN",100,118,31,71,0.43661971830985913,8,16,0.5,0.5,32,24,38,24,0,0.3870967741935484,0.4,1,0.1839080459770115,0.5137264367816092,0.4942528735632184,0.5625,2,4,0.056338028169014086,0,0
"2021-01-31","IND",99,119,37,66,0.5606060606060606,8,26,0.3076923076923077,0.3076923076923077,21,24,50,24,0,0.32432432432432434,0.36363636363636365,1,0.2826086956521739,0.5247211956521739,0.532608695652174,0.5613207547169812,8,6,0.09090909090909091,1,0.038461538461538464
"2021-02-03","CHA",102,118,31,55,0.5636363636363636,10,24,0.4166666666666667,0.4166666666666667,26,26,36,30,0,0.41935483870967744,0.4482758620689655,1,0.3037974683544304,0.5187208860759494,0.5822784810126582,0.6290322580645161,4,4,0.07272727272727272,0,0
"2021-02-04","POR",100,105,32,54,0.5925925925925926,7,27,0.25925925925925924,0.25925925925925924,20,26,38,18,3,0.40625,0.43333333333333335,0.8571428571428571,0.3333333333333333,0.48884814814814814,0.5246913580246914,0.5652173913043478,4,4,0.07407407407407407,1,0.037037037037037035
"2021-02-06","BKN",101,124,38,67,0.5671641791044776,10,27,0.37037037037037035,0.37037037037037035,18,36,40,27,3,0.47368421052631576,0.5625,0.9,0.2872340425531915,0.5180005319148936,0.5638297872340425,0.5922330097087378,12,3,0.04477611940298507,0,0
"2021-02-09","SAC",105,119,32,65,0.49230769230769234,9,20,0.45,0.45,28,32,32,24,3,0.5,0.5333333333333333,0.8888888888888888,0.23529411764705882,0.4863282352941176,0.5352941176470588,0.5891089108910891,4,8,0.12307692307692308,0,0
"2021-02-11","POR",94,114,36,59,0.6101694915254238,6,27,0.2222222222222222,0.2222222222222222,24,28,44,18,0,0.3888888888888889,0.4,1,0.313953488372093,0.5101323529411764,0.5232558139534884,0.5816326530612245,2,2,0.03389830508474576,0,0
"2021-02-13","PHX",94,111,31,56,0.5535714285714286,7,17,0.4117647058823529,0.4117647058823529,28,26,36,18,3,0.41935483870967744,0.4482758620689655,0.8571428571428571,0.2328767123287671,0.4822506849315069,0.5684931506849316,0.6235955056179775,4,3,0.05357142857142857,0,0
"2021-02-15","UTA",102,123,39,71,0.5492957746478874,8,23,0.34782608695652173,0.34782608695652173,21,28,50,15,9,0.358974358974359,0.4117647058823529,0.625,0.24468085106382978,0.4848095744680851,0.5425531914893617,0.5857142857142857,10,3,0.04225352112676056,1,0.043478260869565216
