"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2020-12-23","DAL",102,102,27,48,0.5625,9,37,0.24324324324324326,0.24324324324324326,21,20,34,21,6,0.37037037037037035,0.37037037037037035,0.7777777777777778,0.43529411764705883,0.5286335294117647,0.4764705882352941,0.5257731958762887,0,6,0.125,1,0.02702702702702703
"2020-12-26","SAC",101,106,34,63,0.5396825396825397,5,23,0.21739130434782608,0.21739130434782608,23,32,36,12,3,0.47058823529411764,0.5925925925925926,0.8,0.26744186046511625,0.5314005813953488,0.48255813953488375,0.5247524752475248,14,5,0.07936507936507936,0,0
"2020-12-27","SAC",97,100,26,53,0.49056603773584906,10,23,0.43478260869565216,0.43478260869565216,18,24,28,27,3,0.46153846153846156,0.48,0.9,0.3026315789473684,0.49834605263157894,0.5394736842105263,0.5681818181818182,2,3,0.05660377358490566,0,0
"2020-12-29","NOP",91,86,34,53,0.6415094339622641,3,24,0.125,0.125,9,32,36,6,3,0.47058823529411764,0.5,0.6666666666666666,0.3116883116883117,0.5358792207792208,0.5,0.5058823529411764,4,3,0.05660377358490566,1,0.041666666666666664
"2020-12-31","UTA",95,95,23,50,0.46,12,34,0.35294117647058826,0.35294117647058826,13,18,28,21,15,0.391304347826087,0.45,0.5833333333333334,0.40476190476190477,0.494360119047619,0.4880952380952381,0.510752688172043,6,5,0.1,1,0.029411764705882353
"2021-01-01","DEN",91,103,27,57,0.47368421052631576,12,29,0.41379310344827586,0.42857142857142855,13,34,20,33,3,0.6296296296296297,0.68,0.9166666666666666,0.3372093023255814,0.48808411764705883,0.5232558139534884,0.5483870967741935,4,4,0.07017543859649122,0,0
"2021-01-03","LAC",92,112,23,54,0.42592592592592593,17,29,0.5862068965517241,0.5862068965517241,15,22,24,39,12,0.4782608695652174,0.4782608695652174,0.7647058823529411,0.3493975903614458,0.46986566265060237,0.5843373493975904,0.6086956521739131,0,3,0.05555555555555555,0,0
"2021-01-06","TOR",96,115,25,44,0.5681818181818182,14,35,0.4,0.4,23,14,36,33,9,0.28,0.30434782608695654,0.7857142857142857,0.4430379746835443,0.5532512658227848,0.5822784810126582,0.6117021276595744,4,3,0.06818181818181818,0,0
"2021-01-08","DET",107,110,26,56,0.4642857142857143,11,34,0.3235294117647059,0.3235294117647059,25,28,24,27,6,0.5384615384615384,0.56,0.8181818181818182,0.37777777777777777,0.5642677777777778,0.4722222222222222,0.5288461538461539,2,7,0.125,0,0
"2021-01-09","IND",98,117,32,63,0.5079365079365079,12,29,0.41379310344827586,0.41379310344827586,17,28,36,27,9,0.4375,0.5,0.75,0.31521739130434784,0.5538190217391304,0.5434782608695652,0.5735294117647058,8,2,0.031746031746031744,0,0
"2021-01-11","WAS",95,128,33,58,0.5689655172413793,15,34,0.4411764705882353,0.4411764705882353,17,30,36,42,3,0.45454545454545453,0.5,0.9333333333333333,0.3695652173913043,0.4569216666666667,0.6032608695652174,0.616504854368932,6,6,0.10344827586206896,0,0
"2021-01-18","MEM",97,108,30,57,0.5263157894736842,11,26,0.4230769230769231,0.4230769230769231,15,42,18,30,3,0.7,0.75,0.9090909090909091,0.3132530120481928,0.5289331325301204,0.5602409638554217,0.5815217391304348,4,4,0.07017543859649122,0,0
"2021-01-20","HOU",104,103,27,57,0.47368421052631576,10,31,0.3225806451612903,0.3225806451612903,19,22,32,18,12,0.4074074074074074,0.4583333333333333,0.6,0.3522727272727273,0.5118784090909091,0.4772727272727273,0.5309278350515464,6,11,0.19298245614035087,0,0
