"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2020-12-23","UTA",98,100,25,59,0.423728813559322,12,33,0.36363636363636365,0.36363636363636365,14,26,24,30,6,0.52,0.5909090909090909,0.8333333333333334,0.358695652173913,0.5404885869565217,0.4673913043478261,0.5,6,3,0.05084745762711865,0,0
"2020-12-26","HOU",105,128,28,57,0.49122807017543857,19,45,0.4222222222222222,0.4318181818181818,15,24,32,45,12,0.42857142857142855,0.46153846153846156,0.7894736842105263,0.4411764705882353,0.5247539603960396,0.553921568627451,0.5663716814159292,4,5,0.08771929824561403,0,0
"2020-12-28","LAL",100,115,27,46,0.5869565217391305,16,46,0.34782608695652173,0.34782608695652173,13,34,20,30,18,0.6296296296296297,0.6538461538461539,0.625,0.5,0.5274010869565217,0.5543478260869565,0.5816326530612245,2,4,0.08695652173913043,1,0.021739130434782608
"2020-12-30","LAC",102,105,20,38,0.5263157894736842,12,38,0.3157894736842105,0.3157894736842105,29,14,26,21,15,0.35,0.3888888888888889,0.5833333333333334,0.5,0.5323532894736842,0.5,0.5769230769230769,4,6,0.15789473684210525,0,0
"2021-01-01","GSW",102,123,20,49,0.40816326530612246,20,43,0.46511627906976744,0.46511627906976744,23,22,18,36,24,0.55,0.55,0.6,0.4673913043478261,0.4911663043478261,0.5434782608695652,0.5857142857142857,0,8,0.16326530612244897,1,0.023255813953488372
"2021-01-03","GSW",106,122,27,55,0.4909090909090909,14,43,0.32558139534883723,0.32558139534883723,26,16,38,24,18,0.2962962962962963,0.3333333333333333,0.5714285714285714,0.4387755102040816,0.5056045918367347,0.4897959183673469,0.5401785714285714,6,7,0.12727272727272726,0,0
"2021-01-05","CHI",99,108,20,43,0.46511627906976744,19,51,0.37254901960784315,0.37254901960784315,11,26,14,30,27,0.65,0.7222222222222222,0.5263157894736842,0.5425531914893617,0.5400335106382979,0.5159574468085106,0.5294117647058824,4,5,0.11627906976744186,0,0
"2021-01-07","MIN",107,135,31,49,0.6326530612244898,18,41,0.43902439024390244,0.43902439024390244,19,18,44,48,6,0.2903225806451613,0.32142857142857145,0.8888888888888888,0.45555555555555555,0.5432911111111112,0.6444444444444445,0.6683168316831684,6,3,0.061224489795918366,1,0.024390243902439025
"2021-01-09","SAC",107,125,27,59,0.4576271186440678,17,41,0.4146341463414634,0.4146341463414634,20,30,24,33,18,0.5555555555555556,0.6,0.6470588235294118,0.41,0.5186535,0.525,0.5636363636363636,4,5,0.0847457627118644,0,0
"2021-01-11","TOR",96,112,24,41,0.5853658536585366,14,42,0.3333333333333333,0.3333333333333333,22,18,30,27,15,0.375,0.4090909090909091,0.6428571428571429,0.5060240963855421,0.5378228915662651,0.5421686746987951,0.5967741935483871,4,4,0.0975609756097561,1,0.023809523809523808
"2021-01-13","SAC",97,132,21,42,0.5,23,48,0.4791666666666667,0.4791666666666667,21,14,28,63,6,0.3333333333333333,0.3888888888888889,0.9130434782608695,0.5333333333333333,0.5364911111111111,0.6166666666666667,0.6470588235294118,6,2,0.047619047619047616,0,0
"2021-01-14","IND",96,87,19,44,0.4318181818181818,13,43,0.3023255813953488,0.3023255813953488,10,12,26,30,9,0.3157894736842105,0.4,0.7692307692307693,0.4942528735632184,0.5321936046511628,0.4425287356321839,0.47282608695652173,8,5,0.11363636363636363,0,0
"2021-01-16","ATL",103,112,25,59,0.423728813559322,15,44,0.3409090909090909,0.3409090909090909,17,14,36,33,12,0.28,0.3333333333333333,0.7333333333333333,0.42718446601941745,0.5537650485436892,0.46116504854368934,0.5,8,6,0.1016949152542373,0,0
"2021-01-18","SAS",97,104,29,55,0.5272727272727272,10,35,0.2857142857142857,0.29411764705882354,16,24,34,24,6,0.41379310344827586,0.42857142857142855,0.8,0.3888888888888889,0.515985393258427,0.4888888888888889,0.5360824742268041,2,6,0.10909090909090909,0,0
"2021-01-24","NYK",95,116,22,37,0.5945945945945946,17,46,0.3695652173913043,0.3695652173913043,21,20,24,27,24,0.45454545454545453,0.5,0.5294117647058824,0.5542168674698795,0.5466277108433735,0.572289156626506,0.6236559139784946,4,0,0,0,0
