"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2020-12-23","DEN",110,122,39,69,0.5652173913043478,8,29,0.27586206896551724,0.27586206896551724,20,40,38,24,0,0.5128205128205128,0.5882352941176471,1,0.29591836734693877,0.47742704081632653,0.5204081632653061,0.5601851851851852,10,7,0.10144927536231885,0,0
"2020-12-26","PHX",102,103,30,54,0.5555555555555556,11,44,0.25,0.25,10,34,26,24,9,0.5666666666666667,0.5862068965517241,0.7272727272727273,0.4489795918367347,0.49916785714285716,0.4744897959183674,0.5,2,8,0.14814814814814814,1,0.022727272727272728
"2020-12-27","PHX",98,116,32,59,0.5423728813559322,14,35,0.4,0.4,10,42,22,39,3,0.65625,0.6774193548387096,0.9285714285714286,0.3723404255319149,0.4991872340425532,0.5638297872340425,0.5979381443298969,2,4,0.06779661016949153,0,0
"2020-12-29","DEN",100,115,33,53,0.6226415094339622,11,28,0.39285714285714285,0.39285714285714285,16,34,32,30,3,0.5151515151515151,0.5862068965517241,0.9090909090909091,0.345679012345679,0.5144277777777778,0.6111111111111112,0.6404494382022472,8,2,0.03773584905660377,0,0
"2020-12-31","HOU",105,122,32,50,0.64,13,36,0.3611111111111111,0.3611111111111111,19,36,28,24,15,0.5625,0.6,0.6153846153846154,0.4186046511627907,0.5492104651162791,0.5988372093023255,0.6237113402061856,4,4,0.08,1,0.027777777777777776
"2021-01-02","HOU",97,102,23,40,0.575,13,41,0.3170731707317073,0.3170731707317073,17,12,34,27,12,0.2608695652173913,0.2857142857142857,0.6923076923076923,0.5061728395061729,0.5051407407407408,0.5246913580246914,0.554945054945055,4,3,0.075,1,0.024390243902439025
"2021-01-04","GSW",108,137,28,54,0.5185185185185185,23,43,0.5348837209302325,0.5348837209302325,12,44,12,57,12,0.7857142857142857,0.8148148148148148,0.8260869565217391,0.44329896907216493,0.5058922680412371,0.6443298969072165,0.6666666666666666,2,6,0.1111111111111111,0,0
"2021-01-06","CHI",98,124,35,53,0.660377358490566,14,40,0.35,0.358974358974359,12,32,38,33,9,0.45714285714285713,0.47058823529411764,0.7857142857142857,0.43010752688172044,0.5075646739130435,0.6021505376344086,0.6262626262626263,2,2,0.03773584905660377,1,0.025
"2021-01-08","TOR",99,144,33,52,0.6346153846153846,20,39,0.5128205128205128,0.5263157894736842,18,30,36,45,15,0.45454545454545453,0.5,0.75,0.42857142857142855,0.5458355555555555,0.6923076923076923,0.7079207920792079,6,8,0.15384615384615385,0,0
"2021-01-09","POR",107,125,27,59,0.4576271186440678,17,41,0.4146341463414634,0.4146341463414634,20,30,24,33,18,0.5555555555555556,0.6,0.6470588235294118,0.41,0.5186535,0.525,0.5636363636363636,4,5,0.0847457627118644,0,0
"2021-01-11","IND",104,122,34,58,0.5862068965517241,13,39,0.3333333333333333,0.3333333333333333,15,36,32,24,15,0.5294117647058824,0.5625,0.6153846153846154,0.4020618556701031,0.5428247422680412,0.5515463917525774,0.5865384615384616,4,9,0.15517241379310345,0,0
"2021-01-13","POR",97,132,21,42,0.5,23,48,0.4791666666666667,0.4791666666666667,21,14,28,63,6,0.3333333333333333,0.3888888888888889,0.9130434782608695,0.5333333333333333,0.5364911111111111,0.6166666666666667,0.6470588235294118,6,2,0.047619047619047616,0,0
"2021-01-15","LAC",96,138,34,54,0.6296296296296297,18,35,0.5142857142857142,0.5142857142857142,16,26,42,48,6,0.38235294117647056,0.40625,0.8888888888888888,0.39325842696629215,0.5205696629213483,0.6853932584269663,0.7040816326530612,4,2,0.037037037037037035,0,0
"2021-01-17","NOP",99,128,34,63,0.5396825396825397,11,22,0.5,0.5,27,30,38,27,6,0.4411764705882353,0.5,0.8181818181818182,0.25882352941176473,0.5371882352941176,0.5941176470588235,0.64,8,7,0.1111111111111111,0,0
"2021-01-20","LAC",102,115,25,51,0.49019607843137253,16,35,0.45714285714285713,0.47058823529411764,17,20,30,42,6,0.4,0.4166666666666667,0.875,0.4069767441860465,0.5326117647058823,0.5697674418604651,0.6117021276595744,2,3,0.058823529411764705,1,0.02857142857142857
"2021-01-22","NYK",94,94,31,72,0.4305555555555556,5,22,0.22727272727272727,0.22727272727272727,17,28,34,15,0,0.45161290322580644,0.6086956521739131,1,0.23404255319148937,0.4926489361702127,0.4095744680851064,0.46078431372549017,16,13,0.18055555555555555,1,0.045454545454545456
"2021-01-27","ORL",98,107,30,70,0.42857142857142855,10,26,0.38461538461538464,0.4,17,34,26,24,6,0.5666666666666667,0.68,0.8,0.2708333333333333,0.4668668421052632,0.46875,0.5145631067961165,10,3,0.04285714285714286,0,0
"2021-01-29","TOR",100,124,29,54,0.5370370370370371,13,32,0.40625,0.40625,27,22,36,27,12,0.3793103448275862,0.39285714285714285,0.6923076923076923,0.37209302325581395,0.5267282352941177,0.563953488372093,0.6089108910891089,2,5,0.09259259259259259,0,0
"2021-01-30","MIA",93,105,25,45,0.5555555555555556,11,32,0.34375,0.34375,22,30,20,30,3,0.6,0.6,0.9090909090909091,0.4155844155844156,0.5033720779220779,0.538961038961039,0.5842696629213483,0,3,0.06666666666666667,0,0
"2021-02-01","NOP",102,109,31,71,0.43661971830985913,9,30,0.3,0.3103448275862069,20,26,36,27,0,0.41935483870967744,0.5652173913043478,1,0.297029702970297,0.5511945,0.4405940594059406,0.47767857142857145,16,8,0.11267605633802817,0,0
"2021-02-03","BOS",99,111,28,53,0.5283018867924528,11,33,0.3333333333333333,0.3333333333333333,22,42,14,21,12,0.75,0.8076923076923077,0.6363636363636364,0.38372093023255816,0.5152691860465116,0.5174418604651163,0.5606060606060606,4,2,0.03773584905660377,0,0
"2021-02-06","DEN",96,114,32,62,0.5161290322580645,13,35,0.37142857142857144,0.37142857142857144,11,36,28,36,3,0.5625,0.6428571428571429,0.9230769230769231,0.36082474226804123,0.49467319587628866,0.5309278350515464,0.5533980582524272,8,7,0.11290322580645161,0,0
"2021-02-07","LAC",101,110,33,71,0.4647887323943662,8,28,0.2857142857142857,0.2857142857142857,20,26,40,18,6,0.3939393939393939,0.43333333333333335,0.75,0.2828282828282828,0.514760606060606,0.45454545454545453,0.5045871559633027,6,4,0.056338028169014086,0,0
"2021-02-09","PHI",105,119,32,65,0.49230769230769234,9,20,0.45,0.45,28,32,32,24,3,0.5,0.5333333333333333,0.8888888888888888,0.23529411764705882,0.4863282352941176,0.5352941176470588,0.5891089108910891,4,8,0.12307692307692308,0,0
"2021-02-12","ORL",99,123,31,57,0.543859649122807,15,34,0.4411764705882353,0.4411764705882353,16,26,36,36,9,0.41935483870967744,0.4482758620689655,0.8,0.37362637362637363,0.5048417582417583,0.5879120879120879,0.6212121212121212,4,1,0.017543859649122806,0,0
"2021-02-14","MEM",100,124,41,73,0.5616438356164384,9,21,0.42857142857142855,0.42857142857142855,15,44,38,27,0,0.5365853658536586,0.5945945945945946,1,0.22340425531914893,0.5080675531914893,0.5797872340425532,0.6078431372549019,8,5,0.0684931506849315,0,0
"2021-02-15","BKN",99,136,24,42,0.5714285714285714,27,47,0.574468085106383,0.574468085106383,7,28,20,51,30,0.5833333333333334,0.5833333333333334,0.6296296296296297,0.5280898876404494,0.5255387640449438,0.7247191011235955,0.723404255319149,0,6,0.14285714285714285,0,0
"2021-02-18","MIA",100,118,37,61,0.6065573770491803,12,34,0.35294117647058826,0.35294117647058826,8,50,24,33,3,0.6756756756756757,0.7142857142857143,0.9166666666666666,0.35789473684210527,0.5324605263157894,0.5789473684210527,0.6082474226804123,4,3,0.04918032786885246,0,0
"2021-02-20","CHI",99,122,38,59,0.6440677966101694,11,23,0.4782608695652174,0.45454545454545453,13,28,48,30,3,0.3684210526315789,0.3783783783783784,0.9090909090909091,0.2804878048780488,0.536595061728395,0.6646341463414634,0.6931818181818182,2,3,0.05084745762711865,0,0
"2021-02-21","MIL",104,128,33,62,0.532258064516129,11,28,0.39285714285714285,0.39285714285714285,29,30,36,21,12,0.45454545454545453,0.4838709677419355,0.6363636363636364,0.3111111111111111,0.5239216666666666,0.55,0.6037735849056604,4,2,0.03225806451612903,1,0.03571428571428571
"2021-02-23","BKN",101,127,27,49,0.5510204081632653,17,40,0.425,0.425,22,36,18,36,15,0.6666666666666666,0.72,0.7058823529411765,0.449438202247191,0.5217634831460675,0.5898876404494382,0.6105769230769231,4,6,0.12244897959183673,1,0.025
"2021-02-25","NYK",103,140,32,51,0.6274509803921569,19,36,0.5277777777777778,0.5277777777777778,19,20,44,42,15,0.3125,0.3448275862068966,0.7368421052631579,0.41379310344827586,0.5346477011494253,0.6954022988505747,0.7239583333333334,6,0,0,0,0
"2021-02-26","DET",98,107,25,49,0.5102040816326531,12,33,0.36363636363636365,0.36363636363636365,21,24,26,24,12,0.48,0.5,0.6666666666666666,0.4024390243902439,0.4986725609756098,0.524390243902439,0.5515463917525774,2,6,0.12244897959183673,0,0
"2021-02-28","CHA",97,127,34,53,0.6415094339622641,11,30,0.36666666666666664,0.36666666666666664,26,40,28,30,3,0.5882352941176471,0.5882352941176471,0.9090909090909091,0.3614457831325301,0.5064313253012048,0.608433734939759,0.675531914893617,0,2,0.03773584905660377,0,0
"2021-03-03","LAL",94,120,37,66,0.5606060606060606,12,27,0.4444444444444444,0.4444444444444444,10,32,42,33,3,0.43243243243243246,0.5161290322580645,0.9166666666666666,0.2903225806451613,0.4949005376344086,0.5913978494623656,0.6060606060606061,12,1,0.015151515151515152,0,0
"2021-03-04","POR",96,123,27,50,0.54,15,38,0.39473684210526316,0.39473684210526316,24,24,30,24,21,0.4444444444444444,0.48,0.5333333333333333,0.4318181818181818,0.5339528409090909,0.5625,0.6212121212121212,4,3,0.06,0,0
"2021-03-11","HOU",105,105,30,54,0.5555555555555556,11,45,0.24444444444444444,0.25,12,32,28,24,9,0.5333333333333333,0.5925925925925926,0.7272727272727273,0.45454545454545453,0.5345122448979591,0.4696969696969697,0.49065420560747663,6,5,0.09259259259259259,0,0
"2021-03-13","ATL",94,121,31,51,0.6078431372549019,12,33,0.36363636363636365,0.36363636363636365,23,28,34,21,15,0.45161290322580644,0.56,0.5833333333333334,0.39285714285714285,0.5839746987951807,0.5833333333333334,0.605,12,1,0.0196078431372549,0,0
"2021-03-15","CHA",101,122,33,64,0.515625,12,30,0.4,0.4,20,42,24,27,9,0.6363636363636364,0.7,0.75,0.3191489361702128,0.5488404255319149,0.5425531914893617,0.5825242718446602,6,6,0.09375,0,0
"2021-03-17","WAS",107,119,42,69,0.6086956521739131,4,25,0.16,0.16,23,42,42,12,0,0.5,0.525,1,0.26595744680851063,0.46171542553191486,0.5106382978723404,0.5613207547169812,4,4,0.057971014492753624,0,0
"2021-03-19","BOS",93,96,27,60,0.45,12,31,0.3870967741935484,0.4,6,28,26,24,12,0.5185185185185185,0.6086956521739131,0.6666666666666666,0.34065934065934067,0.4683116666666666,0.4945054945054945,0.5106382978723404,8,9,0.15,0,0
"2021-03-20","PHI",98,129,37,63,0.5873015873015873,11,23,0.4782608695652174,0.4782608695652174,22,28,46,30,3,0.3783783783783784,0.4375,0.9090909090909091,0.26744186046511625,0.5006540697674419,0.622093023255814,0.6464646464646465,10,2,0.031746031746031744,0,0
"2021-03-22","CLE",100,105,37,79,0.46835443037974683,4,17,0.23529411764705882,0.23529411764705882,19,40,34,6,6,0.5405405405405406,0.5882352941176471,0.5,0.17708333333333334,0.5579171875,0.4479166666666667,0.49056603773584906,6,7,0.08860759493670886,0,0
"2021-03-24","ATL",97,108,34,60,0.5666666666666667,7,25,0.28,0.28,19,24,44,15,6,0.35294117647058826,0.41379310344827586,0.7142857142857143,0.29411764705882354,0.5116809523809523,0.5235294117647059,0.5572916666666666,10,6,0.1,0,0
"2021-03-25","GSW",97,119,28,56,0.5,17,32,0.53125,0.53125,12,18,38,45,6,0.32142857142857145,0.36,0.8823529411764706,0.36363636363636365,0.49231477272727275,0.6079545454545454,0.6397849462365591,6,4,0.07142857142857142,0,0
"2021-03-27","CLE",94,98,28,58,0.4827586206896552,9,26,0.34615384615384615,0.34615384615384615,15,22,34,27,0,0.39285714285714285,0.39285714285714285,1,0.30952380952380953,0.49443511904761905,0.49404761904761907,0.5212765957446809,0,9,0.15517241379310345,0,0
"2021-03-29","SAS",97,115,37,66,0.5606060606060606,10,27,0.37037037037037035,0.37037037037037035,11,36,38,18,12,0.4864864864864865,0.5625,0.6,0.2903225806451613,0.5428956989247312,0.5591397849462365,0.5808080808080808,10,6,0.09090909090909091,0,0
"2021-03-31","SAS",102,120,33,66,0.5,10,26,0.38461538461538464,0.38461538461538464,24,28,38,30,0,0.42424242424242425,0.4375,1,0.2826086956521739,0.5620826086956522,0.5217391304347826,0.5607476635514018,2,5,0.07575757575757576,0,0
"2021-04-02","LAL",99,115,26,58,0.4482758620689655,17,33,0.5151515151515151,0.5151515151515151,12,20,32,48,3,0.38461538461538464,0.4,0.9411764705882353,0.3626373626373626,0.5266500000000001,0.5659340659340659,0.575,2,5,0.08620689655172414,0,0
"2021-04-03","MIL",101,129,39,62,0.6290322580645161,11,31,0.3548387096774194,0.36666666666666664,18,44,34,27,6,0.5641025641025641,0.5945945945945946,0.8181818181818182,0.3333333333333333,0.4987923913043478,0.5967741935483871,0.6323529411764706,4,4,0.06451612903225806,0,0
"2021-04-05","MIN",102,116,26,59,0.4406779661016949,12,32,0.375,0.375,28,28,24,24,12,0.5384615384615384,0.6363636363636364,0.6666666666666666,0.3516483516483517,0.5764857142857143,0.4835164835164835,0.5424528301886793,8,8,0.13559322033898305,0,0
"2021-04-08","DET",100,113,36,61,0.5901639344262295,8,23,0.34782608695652173,0.34782608695652173,17,34,38,21,3,0.4722222222222222,0.5151515151515151,0.875,0.27380952380952384,0.5247982142857143,0.5714285714285714,0.6141304347826086,6,4,0.06557377049180328,0,0
