"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2020-12-23","MEM",109,131,38,70,0.5428571428571428,10,25,0.4,0.4,25,40,36,24,6,0.5263157894736842,0.5263157894736842,0.8,0.2631578947368421,0.5309994736842105,0.5578947368421052,0.6074766355140186,0,8,0.11428571428571428,0,0
"2020-12-26","TOR",103,119,33,66,0.5,14,34,0.4117647058823529,0.4117647058823529,11,46,20,39,3,0.696969696969697,0.71875,0.9285714285714286,0.34,0.521829,0.54,0.5613207547169812,2,9,0.13636363636363635,0,0
"2020-12-27","NOP",100,95,27,53,0.5094339622641509,11,36,0.3055555555555556,0.3055555555555556,8,30,24,33,0,0.5555555555555556,0.6,1,0.4044943820224719,0.5124573033707865,0.4887640449438202,0.510752688172043,4,3,0.05660377358490566,1,0.027777777777777776
"2020-12-30","LAL",99,107,30,63,0.47619047619047616,10,24,0.4166666666666667,0.43478260869565216,17,32,28,27,3,0.5333333333333333,0.5517241379310345,0.9,0.27586206896551724,0.5641691860465116,0.5172413793103449,0.5459183673469388,2,3,0.047619047619047616,0,0
"2021-01-01","LAL",100,103,23,51,0.45098039215686275,13,34,0.38235294117647056,0.38235294117647056,18,20,26,39,0,0.43478260869565216,0.45454545454545453,1,0.4,0.46699823529411766,0.5,0.5309278350515464,2,6,0.11764705882352941,1,0.029411764705882353
"2021-01-03","UTA",106,109,38,86,0.4418604651162791,6,19,0.3157894736842105,0.3157894736842105,15,34,42,18,0,0.4473684210526316,0.4722222222222222,1,0.18095238095238095,0.5414609523809524,0.44761904761904764,0.4823008849557522,4,10,0.11627906976744186,1,0.05263157894736842
"2021-01-05","LAC",96,116,24,56,0.42857142857142855,20,40,0.5,0.5,8,16,32,45,15,0.3333333333333333,0.38095238095238093,0.75,0.4166666666666667,0.5186083333333333,0.5625,0.575,6,6,0.10714285714285714,1,0.025
"2021-01-07","LAL",99,118,27,57,0.47368421052631576,16,35,0.45714285714285713,0.45714285714285713,16,28,26,42,6,0.5185185185185185,0.5185185185185185,0.875,0.3804347826086957,0.5092652173913044,0.5543478260869565,0.5969387755102041,0,3,0.05263157894736842,1,0.02857142857142857
"2021-01-09","MIN",107,125,31,69,0.4492753623188406,13,32,0.40625,0.40625,24,26,36,27,12,0.41935483870967744,0.4482758620689655,0.6923076923076923,0.31683168316831684,0.502769801980198,0.5,0.5434782608695652,4,7,0.10144927536231885,0,0
"2021-01-10","MIN",97,88,28,64,0.4375,8,30,0.26666666666666666,0.26666666666666666,8,30,26,18,6,0.5357142857142857,0.5769230769230769,0.75,0.3191489361702128,0.5374138297872341,0.425531914893617,0.44,4,3,0.046875,0,0
"2021-01-12","OKC",101,112,31,60,0.5166666666666667,10,35,0.2857142857142857,0.2857142857142857,20,36,26,24,6,0.5806451612903226,0.6,0.8,0.3684210526315789,0.49619473684210524,0.4842105263157895,0.5333333333333333,2,4,0.06666666666666667,1,0.02857142857142857
"2021-01-14","HOU",98,105,33,61,0.5409836065573771,9,31,0.2903225806451613,0.2903225806451613,12,36,30,24,3,0.5454545454545454,0.5806451612903226,0.8888888888888888,0.33695652173913043,0.5306913043478261,0.5054347826086957,0.5357142857142857,4,6,0.09836065573770492,0,0
"2021-01-16","HOU",100,103,35,76,0.4605263157894737,5,24,0.20833333333333334,0.20833333333333334,18,28,42,15,0,0.4,0.4375,1,0.24,0.5432795,0.425,0.47685185185185186,6,9,0.11842105263157894,0,0
"2021-01-18","POR",96,125,33,57,0.5789473684210527,15,33,0.45454545454545453,0.45454545454545453,14,40,26,39,6,0.6060606060606061,0.6666666666666666,0.8666666666666667,0.36666666666666664,0.5252808988764045,0.6166666666666667,0.6377551020408163,6,6,0.10526315789473684,0,0
