"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2020-12-23","MEM",107,119,39,68,0.5735294117647058,10,27,0.37037037037037035,0.37037037037037035,11,34,44,30,0,0.4358974358974359,0.4473684210526316,1,0.28421052631578947,0.5424447368421053,0.5684210526315789,0.5776699029126213,2,7,0.10294117647058823,1,0.037037037037037035
"2020-12-26","TOR",103,114,29,55,0.5272727272727272,15,41,0.36585365853658536,0.38461538461538464,11,34,24,45,0,0.5862068965517241,0.7083333333333334,1,0.4270833333333333,0.5504973404255319,0.5364583333333334,0.5533980582524272,10,3,0.05454545454545454,0,0
"2020-12-27","NOP",99,98,31,70,0.44285714285714284,5,24,0.20833333333333334,0.20833333333333334,21,26,36,6,9,0.41935483870967744,0.4642857142857143,0.4,0.2553191489361702,0.5252904255319149,0.4095744680851064,0.45754716981132076,6,10,0.14285714285714285,0,0
"2020-12-30","LAL",101,121,32,56,0.5714285714285714,14,26,0.5384615384615384,0.5384615384615384,15,26,38,36,6,0.40625,0.4642857142857143,0.8571428571428571,0.3170731707317073,0.5636323170731707,0.6463414634146342,0.6611111111111111,8,4,0.07142857142857142,0,0
"2021-01-01","LAL",101,109,27,68,0.39705882352941174,14,33,0.42424242424242425,0.42424242424242425,13,36,18,27,15,0.6666666666666666,0.6923076923076923,0.6428571428571429,0.32673267326732675,0.47080940594059406,0.4752475247524752,0.5046296296296297,2,8,0.11764705882352941,0,0
"2021-01-03","UTA",106,130,28,48,0.5833333333333334,21,41,0.5121951219512195,0.5121951219512195,11,24,32,51,12,0.42857142857142855,0.46153846153846156,0.8095238095238095,0.4606741573033708,0.5505898876404494,0.6685393258426966,0.6701030927835051,4,4,0.08333333333333333,0,0
"2021-01-05","LAC",96,113,28,51,0.5490196078431373,15,35,0.42857142857142855,0.42857142857142855,12,32,24,39,6,0.5714285714285714,0.6153846153846154,0.8666666666666667,0.4069767441860465,0.5131877906976744,0.5872093023255814,0.6208791208791209,4,3,0.058823529411764705,0,0
"2021-01-07","LAL",99,109,33,56,0.5892857142857143,10,30,0.3333333333333333,0.3333333333333333,13,28,38,21,9,0.42424242424242425,0.5,0.7,0.3488372093023256,0.5692994186046512,0.5581395348837209,0.5736842105263158,10,3,0.05357142857142857,0,0
"2021-01-09","MIN",107,122,33,66,0.5,15,30,0.5,0.5,11,30,36,42,3,0.45454545454545453,0.5357142857142857,0.9333333333333333,0.3125,0.535265625,0.578125,0.5865384615384616,10,3,0.045454545454545456,0,0
"2021-01-10","MIN",97,96,25,55,0.45454545454545453,9,26,0.34615384615384615,0.34615384615384615,19,28,22,15,12,0.56,0.6363636363636364,0.5555555555555556,0.32098765432098764,0.548233950617284,0.47530864197530864,0.5217391304347826,6,5,0.09090909090909091,0,0
"2021-01-12","OKC",100,102,29,57,0.5087719298245614,7,26,0.2692307692307692,0.2692307692307692,23,22,36,21,0,0.3793103448275862,0.4074074074074074,1,0.3132530120481928,0.5534192771084337,0.4759036144578313,0.5260416666666666,4,5,0.08771929824561403,0,0
"2021-01-14","HOU",99,109,29,53,0.5471698113207547,13,33,0.3939393939393939,0.3939393939393939,12,26,32,36,3,0.4482758620689655,0.5,0.9230769230769231,0.38372093023255816,0.5308377906976744,0.563953488372093,0.5797872340425532,6,4,0.07547169811320754,0,0
"2021-01-16","HOU",101,91,19,52,0.36538461538461536,12,32,0.375,0.375,17,22,16,27,9,0.5789473684210527,0.6111111111111112,0.75,0.38095238095238093,0.5775839285714286,0.44047619047619047,0.48404255319148937,2,7,0.1346153846153846,0,0
"2021-01-18","POR",97,104,29,55,0.5272727272727272,10,35,0.2857142857142857,0.29411764705882354,16,24,34,24,6,0.41379310344827586,0.42857142857142855,0.8,0.3888888888888889,0.515985393258427,0.4888888888888889,0.5360824742268041,2,6,0.10909090909090909,0,0
"2021-01-20","GSW",102,121,31,53,0.5849056603773585,15,38,0.39473684210526316,0.39473684210526316,14,38,24,36,9,0.6129032258064516,0.7037037037037037,0.8,0.4175824175824176,0.5066181318681319,0.5879120879120879,0.6060606060606061,8,2,0.03773584905660377,0,0
"2021-01-22","DAL",101,122,31,54,0.5740740740740741,14,39,0.358974358974359,0.358974358974359,18,26,36,30,12,0.41935483870967744,0.43333333333333335,0.7142857142857143,0.41935483870967744,0.5426672043010753,0.5591397849462365,0.5980392156862745,2,5,0.09259259259259259,0,0
"2021-01-24","WAS",100,101,25,50,0.5,14,42,0.3333333333333333,0.3333333333333333,9,24,26,33,9,0.48,0.5,0.7857142857142857,0.45652173913043476,0.5032565217391304,0.5,0.5153061224489796,2,5,0.1,0,0
"2021-01-27","BOS",98,106,32,68,0.47058823529411764,10,30,0.3333333333333333,0.3333333333333333,12,18,46,18,12,0.28125,0.3,0.6,0.30612244897959184,0.48234642857142856,0.47959183673469385,0.5145631067961165,4,4,0.058823529411764705,0,0
"2021-01-29","DEN",97,109,27,47,0.574468085106383,14,31,0.45161290322580644,0.45161290322580644,13,28,26,33,9,0.5185185185185185,0.56,0.7857142857142857,0.3974358974358974,0.5500583333333333,0.6153846153846154,0.6193181818181818,4,1,0.02127659574468085,0,0
"2021-01-30","MEM",99,129,34,56,0.6071428571428571,17,35,0.4857142857142857,0.4857142857142857,10,36,32,48,3,0.5294117647058824,0.5625,0.9411764705882353,0.38461538461538464,0.4902835164835165,0.6538461538461539,0.6666666666666666,4,5,0.08928571428571429,0,0
"2021-02-01","MEM",99,133,37,63,0.5873015873015873,15,30,0.5,0.5,14,44,30,45,0,0.5945945945945946,0.6470588235294118,1,0.3225806451612903,0.5105774193548387,0.6397849462365591,0.665,6,6,0.09523809523809523,1,0.03333333333333333
"2021-02-03","MIN",99,108,30,61,0.4918032786885246,13,33,0.3939393939393939,0.3939393939393939,9,20,40,36,3,0.3333333333333333,0.3448275862068966,0.9230769230769231,0.35106382978723405,0.4916478723404255,0.526595744680851,0.5454545454545454,2,6,0.09836065573770492,0,0
"2021-02-06","HOU",101,106,26,50,0.52,12,38,0.3157894736842105,0.3157894736842105,18,22,30,30,6,0.4230769230769231,0.44,0.8333333333333334,0.4318181818181818,0.5039539772727273,0.5,0.5353535353535354,2,6,0.12,1,0.02631578947368421
