"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2020-12-23","NOP",102,99,24,43,0.5581395348837209,14,46,0.30434782608695654,0.3111111111111111,9,28,20,36,6,0.5833333333333334,0.6666666666666666,0.8571428571428571,0.5168539325842697,0.5019147727272727,0.5056179775280899,0.5210526315789473,6,7,0.16279069767441862,0,0
"2020-12-26","SAS",103,114,29,55,0.5272727272727272,15,41,0.36585365853658536,0.38461538461538464,11,34,24,45,0,0.5862068965517241,0.7083333333333334,1,0.4270833333333333,0.5504973404255319,0.5364583333333334,0.5533980582524272,10,3,0.05454545454545454,0,0
"2020-12-29","PHI",103,93,15,45,0.3333333333333333,17,45,0.37777777777777777,0.37777777777777777,12,14,16,42,9,0.4666666666666667,0.5,0.8235294117647058,0.5,0.5237861111111111,0.45,0.4739583333333333,2,10,0.2222222222222222,0,0
"2020-12-31","NYK",100,100,17,31,0.5483870967741935,17,52,0.3269230769230769,0.3269230769230769,15,14,20,42,9,0.4117647058823529,0.4375,0.8235294117647058,0.6265060240963856,0.5260614457831325,0.5120481927710844,0.5434782608695652,2,3,0.0967741935483871,0,0
"2021-01-02","NOP",99,116,24,43,0.5581395348837209,14,48,0.2916666666666667,0.2916666666666667,26,20,28,33,9,0.4166666666666667,0.5,0.7857142857142857,0.5274725274725275,0.540682967032967,0.4945054945054945,0.5637254901960784,8,7,0.16279069767441862,0,0
"2021-01-04","BOS",103,114,23,53,0.4339622641509434,13,37,0.35135135135135137,0.35135135135135137,29,16,30,36,3,0.34782608695652173,0.4,0.9230769230769231,0.4111111111111111,0.5073888888888889,0.4722222222222222,0.5377358490566038,6,8,0.1509433962264151,1,0.02702702702702703
"2021-01-06","PHX",96,115,25,44,0.5681818181818182,14,35,0.4,0.4,23,14,36,33,9,0.28,0.30434782608695654,0.7857142857142857,0.4430379746835443,0.5532512658227848,0.5822784810126582,0.6117021276595744,4,3,0.06818181818181818,0,0
"2021-01-08","SAC",99,144,33,52,0.6346153846153846,20,39,0.5128205128205128,0.5263157894736842,18,30,36,45,15,0.45454545454545453,0.5,0.75,0.42857142857142855,0.5458355555555555,0.6923076923076923,0.7079207920792079,6,8,0.15384615384615385,0,0
"2021-01-10","GSW",99,105,26,58,0.4482758620689655,13,38,0.34210526315789475,0.34210526315789475,14,20,32,30,9,0.38461538461538464,0.4166666666666667,0.7692307692307693,0.3958333333333333,0.5172463541666666,0.4739583333333333,0.5,4,9,0.15517241379310345,1,0.02631578947368421
"2021-01-11","POR",96,111,21,42,0.5,19,47,0.40425531914893614,0.41304347826086957,12,18,24,54,3,0.42857142857142855,0.45,0.9473684210526315,0.5280898876404494,0.550044827586207,0.5561797752808989,0.5904255319148937,2,5,0.11904761904761904,1,0.02127659574468085
"2021-01-14","CHA",96,111,20,38,0.5263157894736842,20,50,0.4,0.4,11,30,10,54,6,0.75,0.8333333333333334,0.9,0.5681818181818182,0.5185545454545455,0.5681818181818182,0.5904255319148937,4,5,0.13157894736842105,0,0
"2021-01-16","CHA",101,116,15,37,0.40540540540540543,21,49,0.42857142857142855,0.42857142857142855,23,16,14,60,3,0.5333333333333333,0.5714285714285714,0.9523809523809523,0.5697674418604651,0.5074087209302326,0.5406976744186046,0.5858585858585859,2,5,0.13513513513513514,0,0
"2021-01-18","DAL",100,116,32,55,0.5818181818181818,12,33,0.36363636363636365,0.36363636363636365,16,26,38,30,6,0.40625,0.41935483870967744,0.8333333333333334,0.375,0.5290363636363636,0.5681818181818182,0.6063829787234043,2,3,0.05454545454545454,1,0.030303030303030304
"2021-01-20","MIA",95,102,19,39,0.48717948717948717,16,49,0.32653061224489793,0.32653061224489793,16,24,14,45,3,0.631578947368421,0.6666666666666666,0.9375,0.5568181818181818,0.5259879310344828,0.48863636363636365,0.5257731958762887,2,4,0.10256410256410256,1,0.02040816326530612
"2021-01-22","MIA",96,101,22,44,0.5,17,40,0.425,0.425,6,18,26,39,12,0.4090909090909091,0.45,0.7647058823529411,0.47619047619047616,0.5255809523809524,0.5654761904761905,0.5738636363636364,4,4,0.09090909090909091,0,0
"2021-01-24","IND",99,107,22,55,0.4,15,35,0.42857142857142855,0.4411764705882353,18,18,26,45,0,0.4090909090909091,0.47368421052631576,1,0.3888888888888889,0.5666651685393258,0.49444444444444446,0.5297029702970297,6,7,0.12727272727272726,1,0.02857142857142857
"2021-01-25","IND",102,114,24,55,0.43636363636363634,14,38,0.3684210526315789,0.3684210526315789,24,20,28,42,0,0.4166666666666667,0.47619047619047616,1,0.40860215053763443,0.5717048387096775,0.4838709677419355,0.5380952380952381,6,7,0.12727272727272726,1,0.02631578947368421
"2021-01-27","MIL",99,108,16,39,0.41025641025641024,22,55,0.4,0.4,10,16,16,54,12,0.5,0.5333333333333333,0.8181818181818182,0.5851063829787234,0.5219085106382978,0.5212765957446809,0.5408163265306123,2,3,0.07692307692307693,0,0
"2021-01-29","SAC",100,124,29,54,0.5370370370370371,13,32,0.40625,0.40625,27,22,36,27,12,0.3793103448275862,0.39285714285714285,0.6923076923076923,0.37209302325581395,0.5267282352941177,0.563953488372093,0.6089108910891089,2,5,0.09259259259259259,0,0
"2021-01-31","ORL",98,115,29,51,0.5686274509803921,12,39,0.3076923076923077,0.3076923076923077,21,32,26,33,3,0.5517241379310345,0.5714285714285714,0.9166666666666666,0.43333333333333335,0.5226783333333334,0.5222222222222223,0.575,2,3,0.058823529411764705,2,0.05128205128205128
"2021-02-02","ORL",99,123,20,38,0.5263157894736842,20,45,0.4444444444444444,0.4444444444444444,23,32,8,48,12,0.8,0.8,0.8,0.5421686746987951,0.5641493975903614,0.6024096385542169,0.6542553191489362,0,4,0.10526315789473684,0,0
"2021-02-05","BKN",99,123,36,65,0.5538461538461539,13,32,0.40625,0.40625,12,28,44,24,15,0.3888888888888889,0.4375,0.6153846153846154,0.32989690721649484,0.5374087628865979,0.5721649484536082,0.5980392156862745,8,6,0.09230769230769231,0,0
"2021-02-06","ATL",99,121,28,59,0.4745762711864407,13,38,0.34210526315789475,0.34210526315789475,26,28,28,30,9,0.5,0.6363636363636364,0.7692307692307693,0.3917525773195876,0.5844773195876288,0.4896907216494845,0.536036036036036,12,10,0.1694915254237288,0,0
"2021-02-08","MEM",95,128,22,40,0.55,20,37,0.5405405405405406,0.5405405405405406,24,28,16,42,18,0.6363636363636364,0.6666666666666666,0.7,0.4805194805194805,0.5546305194805194,0.6753246753246753,0.7191011235955056,2,4,0.1,0,0
"2021-02-10","WAS",104,137,30,61,0.4918032786885246,19,32,0.59375,0.59375,20,28,32,42,15,0.4666666666666667,0.5384615384615384,0.7368421052631579,0.34408602150537637,0.48532903225806445,0.6290322580645161,0.6666666666666666,8,3,0.04918032786885246,0,0
"2021-02-11","BOS",99,106,32,55,0.5818181818181818,9,28,0.32142857142857145,0.32142857142857145,15,40,24,18,9,0.625,0.625,0.6666666666666666,0.3373493975903614,0.4808682926829268,0.5481927710843374,0.5769230769230769,0,6,0.10909090909090909,0,0
"2021-02-14","MIN",101,112,28,58,0.4827586206896552,10,33,0.30303030303030304,0.30303030303030304,26,32,24,24,6,0.5714285714285714,0.6153846153846154,0.8,0.3626373626373626,0.5255827777777777,0.4725274725274725,0.5384615384615384,4,7,0.1206896551724138,1,0.030303030303030304
"2021-02-16","MIL",104,124,29,48,0.6041666666666666,17,43,0.3953488372093023,0.3953488372093023,15,20,38,45,6,0.3448275862068966,0.35714285714285715,0.8823529411764706,0.4725274725274725,0.5256434065934066,0.5989010989010989,0.62,2,4,0.08333333333333333,1,0.023255813953488372
