"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2020-12-23","NOP",104,113,23,38,0.6052631578947368,19,42,0.4523809523809524,0.4523809523809524,10,30,16,45,12,0.6521739130434783,0.7142857142857143,0.7894736842105263,0.525,0.505936875,0.64375,0.6348314606741573,4,3,0.07894736842105263,2,0.047619047619047616
"2020-12-26","SAS",103,119,33,66,0.5,14,34,0.4117647058823529,0.4117647058823529,11,46,20,39,3,0.696969696969697,0.71875,0.9285714285714286,0.34,0.521829,0.54,0.5613207547169812,2,9,0.13636363636363635,0,0
"2020-12-29","PHI",103,100,24,53,0.4528301886792453,8,31,0.25806451612903225,0.25806451612903225,28,26,22,24,0,0.5416666666666666,0.5909090909090909,1,0.36904761904761907,0.48487916666666664,0.42857142857142855,0.5,4,7,0.1320754716981132,0,0
"2020-12-31","NYK",101,83,29,52,0.5576923076923077,3,36,0.08333333333333333,0.08333333333333333,16,36,22,9,0,0.6206896551724138,0.6923076923076923,1,0.4090909090909091,0.4906252873563218,0.3806818181818182,0.4322916666666667,6,5,0.09615384615384616,1,0.027777777777777776
"2021-01-02","NOP",99,120,21,45,0.4666666666666667,14,38,0.3684210526315789,0.3684210526315789,36,30,12,33,9,0.7142857142857143,0.75,0.7857142857142857,0.4578313253012048,0.5440379518072289,0.5060240963855421,0.5714285714285714,2,3,0.06666666666666667,1,0.02631578947368421
"2021-01-04","BOS",103,126,26,55,0.4727272727272727,15,29,0.5172413793103449,0.5172413793103449,29,18,34,30,15,0.34615384615384615,0.4090909090909091,0.6666666666666666,0.34523809523809523,0.4851815476190476,0.5773809523809523,0.6494845360824743,8,3,0.05454545454545454,1,0.034482758620689655
"2021-01-06","PHX",97,123,19,43,0.4418604651162791,21,40,0.525,0.525,22,20,18,60,3,0.5263157894736842,0.5263157894736842,0.9523809523809523,0.4819277108433735,0.5353632530120482,0.608433734939759,0.6559139784946236,0,5,0.11627906976744186,0,0
"2021-01-08","SAC",99,123,31,47,0.6595744680851063,15,34,0.4411764705882353,0.4411764705882353,16,46,16,39,6,0.7419354838709677,0.7931034482758621,0.8666666666666667,0.41975308641975306,0.526941975308642,0.6604938271604939,0.6612903225806451,4,5,0.10638297872340426,0,0
"2021-01-10","GSW",100,106,25,47,0.5319148936170213,13,46,0.2826086956521739,0.2826086956521739,17,36,14,36,3,0.72,0.8181818181818182,0.9230769230769231,0.4946236559139785,0.5118188172043011,0.478494623655914,0.525,6,8,0.1702127659574468,2,0.043478260869565216
"2021-01-11","POR",96,112,24,41,0.5853658536585366,14,42,0.3333333333333333,0.3333333333333333,22,18,30,27,15,0.375,0.4090909090909091,0.6428571428571429,0.5060240963855421,0.5378228915662651,0.5421686746987951,0.5967741935483871,4,4,0.0975609756097561,1,0.023809523809523808
"2021-01-14","CHA",96,108,27,52,0.5192307692307693,15,35,0.42857142857142855,0.42857142857142855,9,34,20,45,0,0.6296296296296297,0.68,1,0.40229885057471265,0.47889244186046515,0.5689655172413793,0.5806451612903226,4,6,0.11538461538461539,0,0
"2021-01-16","CHA",101,113,23,51,0.45098039215686275,15,36,0.4166666666666667,0.4166666666666667,22,26,20,39,6,0.5652173913043478,0.5909090909090909,0.8666666666666667,0.41379310344827586,0.5091166666666667,0.5229885057471264,0.565,2,7,0.13725490196078433,1,0.027777777777777776
"2021-01-18","DAL",98,93,22,46,0.4782608695652174,9,36,0.25,0.25,22,24,20,27,0,0.5454545454545454,0.6,1,0.43902439024390244,0.5074067073170732,0.4329268292682927,0.4945652173913043,4,3,0.06521739130434782,3,0.08333333333333333
"2021-01-20","MIA",96,111,21,40,0.525,18,40,0.45,0.45,15,24,18,51,3,0.5714285714285714,0.6,0.9444444444444444,0.5,0.506713125,0.6,0.6395348837209303,2,2,0.05,1,0.025
"2021-01-22","MIA",95,81,26,46,0.5652173913043478,7,31,0.22580645161290322,0.22580645161290322,8,24,28,21,0,0.46153846153846156,0.46153846153846156,1,0.4025974025974026,0.5022214285714286,0.474025974025974,0.49390243902439024,0,3,0.06521739130434782,0,0
"2021-01-24","IND",100,102,22,48,0.4583333333333333,13,39,0.3333333333333333,0.3333333333333333,19,22,22,36,3,0.5,0.5,0.9230769230769231,0.4482758620689655,0.566019540229885,0.47701149425287354,0.53125,0,8,0.16666666666666666,0,0
"2021-01-25","IND",100,129,28,49,0.5714285714285714,12,29,0.41379310344827586,0.41379310344827586,37,32,24,30,6,0.5714285714285714,0.5714285714285714,0.8333333333333334,0.3717948717948718,0.5551589743589743,0.5897435897435898,0.6428571428571429,0,5,0.10204081632653061,1,0.034482758620689655
"2021-01-27","MIL",99,115,24,49,0.4897959183673469,16,44,0.36363636363636365,0.36363636363636365,19,34,14,39,9,0.7083333333333334,0.7391304347826086,0.8125,0.4731182795698925,0.5264844086021505,0.5161290322580645,0.5528846153846154,2,6,0.12244897959183673,2,0.045454545454545456
"2021-01-29","SAC",100,126,27,42,0.6428571428571429,16,36,0.4444444444444444,0.4444444444444444,24,32,22,45,3,0.5925925925925926,0.6153846153846154,0.9375,0.46153846153846156,0.5221455128205128,0.6538461538461539,0.6833333333333333,2,2,0.047619047619047616,0,0
