"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2020-12-23","POR",99,120,24,44,0.5454545454545454,19,50,0.38,0.3877551020408163,15,22,26,39,18,0.4583333333333333,0.5789473684210527,0.6842105263157895,0.5319148936170213,0.5395430107526882,0.5585106382978723,0.5891089108910891,10,3,0.06818181818181818,0,0
"2020-12-26","MIN",104,111,26,60,0.43333333333333335,10,34,0.29411764705882354,0.30303030303030304,29,20,32,15,15,0.38461538461538464,0.47619047619047616,0.5,0.3617021276595745,0.5137150537634408,0.43617021276595747,0.5045454545454545,10,5,0.08333333333333333,0,0
"2020-12-28","OKC",99,110,30,50,0.6,13,36,0.3611111111111111,0.3611111111111111,11,30,30,27,12,0.5,0.5357142857142857,0.6923076923076923,0.4186046511627907,0.5212819767441861,0.5755813953488372,0.5913978494623656,4,4,0.08,1,0.027777777777777776
"2020-12-31","PHX",95,95,23,50,0.46,12,34,0.35294117647058826,0.35294117647058826,13,18,28,21,15,0.391304347826087,0.45,0.5833333333333334,0.40476190476190477,0.494360119047619,0.4880952380952381,0.510752688172043,6,5,0.1,1,0.029411764705882353
"2021-01-01","LAC",90,106,26,47,0.5531914893617021,15,42,0.35714285714285715,0.35714285714285715,9,34,18,33,12,0.6538461538461539,0.7083333333333334,0.7333333333333333,0.47191011235955055,0.521673595505618,0.5449438202247191,0.5585106382978723,4,6,0.1276595744680851,2,0.047619047619047616
"2021-01-03","SAS",106,130,28,48,0.5833333333333334,21,41,0.5121951219512195,0.5121951219512195,11,24,32,51,12,0.42857142857142855,0.46153846153846156,0.8095238095238095,0.4606741573033708,0.5505898876404494,0.6685393258426966,0.6701030927835051,4,4,0.08333333333333333,0,0
"2021-01-05","BKN",102,96,22,52,0.4230769230769231,11,34,0.3235294117647059,0.3235294117647059,19,16,28,27,6,0.36363636363636365,0.4,0.8181818181818182,0.3953488372093023,0.5392761627906977,0.4476744186046512,0.4897959183673469,4,5,0.09615384615384616,0,0
"2021-01-06","NYK",97,100,26,47,0.5531914893617021,14,44,0.3181818181818182,0.3181818181818182,6,16,36,36,6,0.3076923076923077,0.3333333333333333,0.8571428571428571,0.4835164835164835,0.5401912087912089,0.5164835164835165,0.5208333333333334,4,5,0.10638297872340426,0,0
"2021-01-08","MIL",102,131,24,44,0.5454545454545454,25,53,0.4716981132075472,0.4716981132075472,8,18,30,66,9,0.375,0.391304347826087,0.88,0.5463917525773195,0.5291639175257732,0.634020618556701,0.6359223300970874,2,5,0.11363636363636363,0,0
"2021-01-10","DET",92,96,24,47,0.5106382978723404,11,35,0.3142857142857143,0.3142857142857143,15,14,34,30,3,0.2916666666666667,0.3181818181818182,0.9090909090909091,0.4268292682926829,0.5191067073170732,0.49390243902439024,0.5163043478260869,4,7,0.14893617021276595,0,0
"2021-01-12","CLE",97,117,18,39,0.46153846153846156,24,45,0.5333333333333333,0.5333333333333333,9,18,18,51,21,0.5,0.5294117647058824,0.7083333333333334,0.5357142857142857,0.5406630952380953,0.6428571428571429,0.65,2,4,0.10256410256410256,0,0
"2021-01-15","ATL",101,116,23,48,0.4791666666666667,20,44,0.45454545454545453,0.46511627906976744,10,22,24,48,12,0.4782608695652174,0.6111111111111112,0.8,0.4782608695652174,0.5181554945054945,0.5760869565217391,0.5918367346938775,10,1,0.020833333333333332,0,0
"2021-01-17","DEN",93,109,24,39,0.6153846153846154,15,37,0.40540540540540543,0.4166666666666667,16,20,28,42,3,0.4166666666666667,0.45454545454545453,0.9333333333333333,0.4868421052631579,0.5185193333333333,0.6118421052631579,0.6264367816091954,4,5,0.1282051282051282,1,0.02702702702702703
"2021-01-19","NOP",96,118,22,38,0.5789473684210527,21,47,0.44680851063829785,0.44680851063829785,11,20,24,54,9,0.45454545454545453,0.5882352941176471,0.8571428571428571,0.5529411764705883,0.5419058823529411,0.6294117647058823,0.6413043478260869,10,3,0.07894736842105263,0,0
"2021-01-21","NOP",104,129,27,49,0.5510204081632653,17,39,0.4358974358974359,0.4358974358974359,24,30,24,36,15,0.5555555555555556,0.625,0.7058823529411765,0.4431818181818182,0.48804659090909086,0.5965909090909091,0.6428571428571429,6,2,0.04081632653061224,0,0
"2021-01-23","GSW",103,127,25,44,0.5681818181818182,20,50,0.4,0.4,17,26,24,45,15,0.52,0.6190476190476191,0.75,0.5319148936170213,0.5152441489361702,0.5851063829787234,0.6057692307692307,8,8,0.18181818181818182,0,0
"2021-01-26","NYK",91,108,22,44,0.5,15,48,0.3125,0.3125,19,20,24,42,3,0.45454545454545453,0.5263157894736842,0.9333333333333333,0.5217391304347826,0.5314826086956522,0.483695652173913,0.5294117647058824,6,4,0.09090909090909091,0,0
"2021-01-27","DAL",96,116,26,50,0.52,16,41,0.3902439024390244,0.3902439024390244,16,22,30,27,21,0.4230769230769231,0.4583333333333333,0.5625,0.45054945054945056,0.509889010989011,0.5494505494505495,0.58,4,6,0.12,1,0.024390243902439025
"2021-01-29","DAL",97,120,18,39,0.46153846153846156,20,48,0.4166666666666667,0.4166666666666667,24,20,16,33,27,0.5555555555555556,0.625,0.55,0.5517241379310345,0.5087597701149424,0.5517241379310345,0.6122448979591837,4,3,0.07692307692307693,1,0.020833333333333332
"2021-01-31","DEN",97,117,12,28,0.42857142857142855,20,47,0.425531914893617,0.43478260869565216,33,16,8,60,0,0.6666666666666666,0.8,1,0.6266666666666667,0.5041824324324324,0.56,0.6223404255319149,4,2,0.07142857142857142,0,0
"2021-02-02","DET",100,117,22,40,0.55,16,42,0.38095238095238093,0.38095238095238093,25,24,20,33,15,0.5454545454545454,0.6,0.6875,0.5121951219512195,0.5296780487804877,0.5609756097560976,0.6157894736842106,4,4,0.1,1,0.023809523809523808
"2021-02-04","ATL",97,112,31,64,0.484375,13,27,0.48148148148148145,0.5,11,22,40,24,15,0.3548387096774194,0.3793103448275862,0.6153846153846154,0.2967032967032967,0.5663111111111111,0.554945054945055,0.5773195876288659,4,1,0.015625,0,0
"2021-02-05","CHA",103,138,22,37,0.5945945945945946,26,50,0.52,0.52,16,18,26,69,9,0.4090909090909091,0.45,0.8846153846153846,0.5747126436781609,0.5609086206896552,0.7011494252873564,0.7263157894736842,4,2,0.05405405405405406,0,0
"2021-02-07","IND",97,103,25,50,0.5,13,42,0.30952380952380953,0.30952380952380953,14,26,24,27,12,0.52,0.5652173913043478,0.6923076923076923,0.45652173913043476,0.5440722826086957,0.483695652173913,0.515,4,6,0.12,0,0
