"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2020-12-23","POR",98,100,25,59,0.423728813559322,12,33,0.36363636363636365,0.36363636363636365,14,26,24,30,6,0.52,0.5909090909090909,0.8333333333333334,0.358695652173913,0.5404885869565217,0.4673913043478261,0.5,6,3,0.05084745762711865,0,0
"2020-12-26","MIN",102,116,32,72,0.4444444444444444,13,29,0.4482758620689655,0.4482758620689655,13,22,42,30,9,0.34375,0.4074074074074074,0.7692307692307693,0.2871287128712871,0.4925896039603961,0.5099009900990099,0.5275229357798165,10,4,0.05555555555555555,0,0
"2020-12-28","OKC",99,109,25,48,0.5208333333333334,15,38,0.39473684210526316,0.39473684210526316,14,12,38,45,0,0.24,0.2727272727272727,1,0.4418604651162791,0.5453406976744186,0.5523255813953488,0.5691489361702128,6,6,0.125,0,0
"2020-12-31","PHX",96,106,24,51,0.47058823529411764,17,33,0.5151515151515151,0.5151515151515151,7,22,26,45,6,0.4583333333333333,0.4782608695652174,0.8823529411764706,0.39285714285714285,0.48978809523809524,0.5892857142857143,0.5965909090909091,2,3,0.058823529411764705,0,0
"2021-01-01","LAC",91,100,20,52,0.38461538461538464,13,33,0.3939393939393939,0.3939393939393939,21,16,24,33,6,0.4,0.4444444444444444,0.8461538461538461,0.38823529411764707,0.48010176470588234,0.4647058823529412,0.5208333333333334,4,3,0.057692307692307696,0,0
"2021-01-03","SAS",106,109,38,86,0.4418604651162791,6,19,0.3157894736842105,0.3157894736842105,15,34,42,18,0,0.4473684210526316,0.4722222222222222,1,0.18095238095238095,0.5414609523809524,0.44761904761904764,0.4823008849557522,4,10,0.11627906976744186,1,0.05263157894736842
"2021-01-05","BKN",101,130,38,57,0.6666666666666666,14,36,0.3888888888888889,0.3888888888888889,12,44,32,27,15,0.5789473684210527,0.6111111111111112,0.6428571428571429,0.3870967741935484,0.541697311827957,0.6344086021505376,0.6565656565656566,4,3,0.05263157894736842,0,0
"2021-01-06","NYK",97,112,37,65,0.5692307692307692,8,22,0.36363636363636365,0.36363636363636365,14,34,40,15,9,0.4594594594594595,0.4857142857142857,0.625,0.25287356321839083,0.5187850574712644,0.5632183908045977,0.5842105263157895,4,9,0.13846153846153847,0,0
"2021-01-08","MIL",103,118,31,56,0.5535714285714286,13,42,0.30952380952380953,0.30952380952380953,17,20,42,24,15,0.3225806451612903,0.3448275862068966,0.6153846153846154,0.42857142857142855,0.5352025510204081,0.5153061224489796,0.5571428571428572,4,8,0.14285714285714285,0,0
"2021-01-10","DET",91,86,19,45,0.4222222222222222,10,42,0.23809523809523808,0.23809523809523808,18,26,12,24,6,0.6842105263157895,0.7647058823529411,0.8,0.4827586206896552,0.5107408045977011,0.39080459770114945,0.4427083333333333,4,4,0.08888888888888889,1,0.023809523809523808
"2021-01-12","CLE",96,87,27,59,0.4576271186440678,8,31,0.25806451612903225,0.25806451612903225,9,30,24,24,0,0.5555555555555556,0.6,1,0.34444444444444444,0.5306788888888889,0.43333333333333335,0.453125,4,6,0.1016949152542373,2,0.06451612903225806
"2021-01-15","ATL",103,92,33,64,0.515625,5,28,0.17857142857142858,0.17857142857142858,11,32,34,15,0,0.48484848484848486,0.5333333333333333,1,0.30434782608695654,0.46443186813186815,0.44021739130434784,0.46938775510204084,6,6,0.09375,0,0
"2021-01-17","DEN",92,105,26,63,0.4126984126984127,14,37,0.3783783783783784,0.3783783783783784,11,26,26,36,6,0.5,0.5416666666666666,0.8571428571428571,0.37,0.5079636363636364,0.47,0.49065420560747663,4,6,0.09523809523809523,0,0
"2021-01-19","NOP",96,102,37,69,0.5362318840579711,6,26,0.23076923076923078,0.23076923076923078,10,26,48,12,6,0.35135135135135137,0.3939393939393939,0.6666666666666666,0.2736842105263158,0.4937852631578947,0.4842105263157895,0.51,8,7,0.10144927536231885,0,0
"2021-01-21","NOP",103,118,31,60,0.5166666666666667,11,25,0.44,0.44,23,32,30,33,0,0.5161290322580645,0.5925925925925926,1,0.29411764705882354,0.5003264705882353,0.5588235294117647,0.6020408163265306,8,7,0.11666666666666667,1,0.04
