"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2020-12-23","PHI",105,113,33,59,0.559322033898305,8,28,0.2857142857142857,0.2857142857142857,23,28,38,24,0,0.42424242424242425,0.4375,1,0.3218390804597701,0.5016109195402298,0.5172413793103449,0.5544554455445545,2,3,0.05084745762711865,1,0.03571428571428571
"2020-12-26","ORL",109,130,37,64,0.578125,11,31,0.3548387096774194,0.3548387096774194,23,30,44,30,3,0.40540540540540543,0.45454545454545453,0.9090909090909091,0.3263157894736842,0.4738205263157894,0.5631578947368421,0.6074766355140186,8,3,0.046875,0,0
"2020-12-27","ORL",100,120,28,60,0.4666666666666667,9,25,0.36,0.36,37,26,30,18,9,0.4642857142857143,0.4642857142857143,0.6666666666666666,0.29411764705882354,0.4517452941176471,0.48823529411764705,0.5833333333333334,0,4,0.06666666666666667,0,0
"2020-12-29","CHI",108,115,23,51,0.45098039215686275,15,36,0.4166666666666667,0.4166666666666667,24,28,18,36,9,0.6086956521739131,0.6363636363636364,0.8,0.41379310344827586,0.48585114942528734,0.5229885057471264,0.5637254901960784,2,5,0.09803921568627451,1,0.027777777777777776
"2020-12-31","CHI",103,133,36,56,0.6428571428571429,14,36,0.3888888888888889,0.3888888888888889,19,40,32,42,0,0.5555555555555556,0.5714285714285714,1,0.391304347826087,0.4627695652173913,0.6195652173913043,0.6565656565656566,2,3,0.05357142857142857,1,0.027777777777777776
"2021-01-01","MIN",103,109,29,52,0.5576923076923077,13,36,0.3611111111111111,0.3611111111111111,12,18,40,24,15,0.3103448275862069,0.34615384615384615,0.6153846153846154,0.4090909090909091,0.5470340909090909,0.5511363636363636,0.5677083333333334,6,3,0.057692307692307696,0,0
"2021-01-03","BKN",107,122,26,49,0.5306122448979592,14,32,0.4375,0.4375,28,26,26,36,6,0.5,0.5,0.8571428571428571,0.3950617283950617,0.5211981481481481,0.5802469135802469,0.6382978723404256,0,3,0.061224489795918366,0,0
"2021-01-06","PHI",108,141,32,52,0.6153846153846154,18,29,0.6206896551724138,0.6206896551724138,23,32,32,51,3,0.5,0.5,0.9444444444444444,0.35802469135802467,0.5089697530864198,0.7283950617283951,0.7393617021276596,0,2,0.038461538461538464,0,0
"2021-01-08","BOS",106,116,29,54,0.5370370370370371,12,32,0.375,0.375,22,22,36,30,6,0.3793103448275862,0.4074074074074074,0.8333333333333334,0.37209302325581395,0.4825081395348837,0.5465116279069767,0.5808080808080808,4,4,0.07407407407407407,0,0
"2021-01-09","MIA",107,128,30,50,0.6,16,43,0.37209302325581395,0.37209302325581395,20,34,26,45,3,0.5666666666666667,0.5862068965517241,0.9375,0.46236559139784944,0.4755768817204301,0.5806451612903226,0.6047619047619047,2,2,0.04,0,0
